"CountryName","RegionName","Sum.Cases","Sum.Cost","PrescriptionIndex"
"Afghanistan","",6533131.87719874,1491.3,5
"Albania","",299712.338837424,1615.5,5
"Algeria","",7286405.77442994,1472.85,5
"Andorra","",1178.24813235821,1554.3,5
"Angola","",5463154.44812555,1542.6,5
"Argentina","",3443756.41289377,1513.8,5
"Aruba","",4632.02017597943,1517.4,5
"Australia","",2688460.37731053,1462.05,5
"Austria","",658755.226923201,1519.65,5
"Azerbaijan","",1272704.25887997,1503,5
"Bahamas","",47255.4146099242,1513.35,5
"Bahrain","",85124.8230918311,1556.55,5
"Bangladesh","",26504410.300555,1479.6,5
"Barbados","",27929.5409782297,1515.15,5
"Belarus","",1010185.53689351,1514.25,5
"Belgium","",566941.107959263,1540.35,5
"Belize","",41800.0121077833,1503,5
"Benin","",1867930.90662754,1496.7,5
"Bermuda","",9086.40219305031,1587.6,5
"Bhutan","",129451.220470209,1521.9,5
"Bolivia","",1361639.0853531,1602,5
"Bosnia and Herzegovina","",307669.6834285,1457.1,5
"Botswana","",307980.239743661,1561.5,5
"Brazil","",16504641.8685296,1614.6,5
"Brunei","",55561.9819970296,1548,5
"Bulgaria","",730502.999876761,1329.3,5
"Burkina Faso","",3705587.88931415,1606.95,5
"Burundi","",2057752.49877416,1570.95,5
"Cambodia","",2076388.19287132,1414.35,5
"Cameroon","",0,0,5
"Canada","",4215282.94924753,1572.3,5
"Cape Verde","",56969.6518106474,1333.35,5
"Central African Republic","",509851.209120457,1545.75,5
"Chad","",2843807.57874882,1567.35,5
"Chile","",1735806.09507401,1461.6,5
"China","",53808942.1369282,1498.05,5
"Colombia","",4030003.99006132,1490.4,5
"Comoros","",120692.392208317,1457.55,5
"Congo","",474447.516316703,1451.7,5
"Costa Rica","",429284.989030088,1464.75,5
"Cote d'Ivoire","",4535937.350189,1432.8,5
"Croatia","",221208.144286396,1559.7,5
"Cuba","",1877614.61328973,1455.3,5
"Cyprus","",107668.72289063,1544.85,5
"Czech Republic","",242708.830667311,1503.45,5
"Democratic Republic of Congo","",15136697.1951956,1651.05,5
"Denmark","",522852.105387912,1574.1,5
"Djibouti","",158712.150239487,1597.05,5
"Dominica","",11653.6836686579,1532.25,5
"Dominican Republic","",1342838.78496223,1479.6,5
"Ecuador","",2509935.71903902,1721.25,5
"Egypt","",17776986.5109156,1470.6,5
"El Salvador","",957989.741938155,1622.25,5
"Eritrea","",913045.143032203,1540.8,5
"Estonia","",109513.992457093,1560.6,5
"Eswatini","",144240.282134902,1575.9,5
"Ethiopia","",18591044.8498172,1652.4,5
