"CountryName","RegionName","SumCases","SumCost","AvgCases","AvgCost","PrescriptionIndex"
"Afghanistan","",5315572.84217071,3060,59061.9204685634,34,6
"Albania","",285617.104038609,1530,3173.52337820677,17,6
"Algeria","",4693415.32010835,3060,52149.059112315,34,6
"Andorra","",1067.73113816487,1530,11.863679312943,17,6
"Angola","",3439001.2239793,3060,38211.1247108812,34,6
"Argentina","",2906786.2468706,1710,32297.6249652289,19,6
"Aruba","",4181.43020064263,1530,46.4603355626959,17,6
"Australia","",1236341.75756871,3060,13737.1306396524,34,6
"Austria","",474877.075170955,2610,5276.41194634395,29,6
"Azerbaijan","",824546.235826066,3060,9161.62484251185,34,6
"Bahamas","",27611.2081655931,3060,306.791201839923,34,6
"Bahrain","",59345.8603055426,2475,659.398447839362,27.5,6
"Bangladesh","",16462464.0478061,3060,182916.267197846,34,6
"Barbados","",23868.0873164036,1530,265.200970182263,17,6
"Belarus","",967040.266379506,1530,10744.8918486612,17,6
"Belgium","",399033.851074092,2430,4433.70945637881,27,6
"Belize","",29960.7692077093,3060,332.897435641214,34,6
"Benin","",1139765.71413556,3060,12664.0634903951,34,6
"Bermuda","",6951.68750319243,3060,77.2409722576937,34,6
"Bhutan","",86541.2771694243,3060,961.569746326937,34,6
"Bolivia","",1297478.55685448,1530,14416.4284094942,17,6
"Bosnia and Herzegovina","",217285.106648107,3060,2414.27896275674,34,6
"Botswana","",293388.740840023,1530,3259.87489822248,17,6
"Brazil","",13235744.7126997,1800,147063.830141107,20,6
"Brunei","",28580.4135082892,3060,317.560150092102,34,6
"Bulgaria","",513761.825563753,3060,5708.46472848615,34,6
"Burkina Faso","",2741942.57426956,3060,30466.0286029951,34,6
"Burundi","",1709519.21351279,2700,18994.6579279199,30,6
"Cambodia","",1104984.46082337,3060,12277.6051202597,34,6
"Cameroon","",0,0,0,0,6
"Canada","",3593017.03434218,1755,39922.4114926909,19.5,6
"Cape Verde","",54025.6019908313,1530,600.284466564792,17,6
"Central African Republic","",250133.219868919,3060,2779.25799854355,34,6
"Chad","",1873453.03422399,3060,20816.144824711,34,6
"Chile","",1271169.94236345,2700,14124.110470705,30,6
"China","",18605394.1207808,3060,206726.601342009,34,6
"Colombia","",3405298.36182299,1710,37836.6484646998,19,6
"Comoros","",115483.755737146,1530,1283.15284152384,17,6
"Congo","",210057.674360663,3060,2333.97415956292,34,6
"Costa Rica","",358377.993109053,1755,3981.9777012117,19.5,6
"Cote d'Ivoire","",3593572.94588657,3060,39928.5882876286,34,6
"Croatia","",154973.191566991,2475,1721.92435074434,27.5,6
"Cuba","",1456606.64276247,3060,16184.5182529163,34,6
"Cyprus","",98981.0095819184,1575,1099.78899535465,17.5,6
"Czech Republic","",213179.441902814,1530,2368.66046558682,17,6
"Democratic Republic of Congo","",9710214.02223966,3060,107891.266913774,34,6
"Denmark","",390007.475474803,2610,4333.41639416447,29,6
"Djibouti","",102878.449399116,3060,1143.0938822124,34,6
"Dominica","",9358.5757936482,3060,103.98417548498,34,6
"Dominican Republic","",1070901.20424413,2520,11898.9022693793,28,6
"Ecuador","",1889756.62175042,3060,20997.2957972269,34,6
"Egypt","",12398197.3374958,3060,137757.748194398,34,6
"El Salvador","",766384.651748476,3060,8515.38501942751,34,6
"Eritrea","",517694.619076343,3060,5752.16243418159,34,6
"Estonia","",101921.096985015,1530,1132.45663316683,17,6
"Eswatini","",137826.343854693,1530,1531.4038206077,17,6
"Ethiopia","",12218093.4799783,3060,135756.594221981,34,6
"Faeroe Islands","",5722.46187473018,3060,63.5829097192242,34,6
"Fiji","",70153.551737392,3060,779.483908193245,34,6
"Finland","",653184.664828657,3060,7257.60738698508,34,6
"France","",3901630.97396352,1665,43351.4552662613,18.5,6
"Gabon","",261445.184922322,3060,2904.94649913691,34,6
"Gambia","",338665.384034474,2700,3762.94871149415,30,6
"Georgia","",106468.402894908,1710,1182.98225438786,19,6
"Germany","",7135810.09761313,1800,79286.7788623681,20,6
"Ghana","",3421679.19378976,3060,38018.6577087751,34,6
"Greece","",1081761.116327,3060,12019.5679591888,34,6
"Greenland","",8802.44893591825,1530,97.8049881768695,17,6
"Guam","",7256.94957682297,3060,80.6327730758107,34,6
"Guatemala","",2119733.63772305,3060,23552.5959747005,34,6
"Guinea","",1321083.82278155,3060,14678.7091420172,34,6
"Guyana","",106578.941797895,1530,1184.21046442106,17,6
"Haiti","",1176932.04658829,3060,13077.0227398699,34,6
"Honduras","",1051151.91440588,3060,11679.4657156208,34,6
"Hong Kong","",805893.987400477,3060,8954.37763778308,34,6
"Hungary","",657935.925697819,2385,7310.39917442021,26.5,6
"Iceland","",36144.0360586131,2340,401.600400651257,26,6
"India","",145826658.852218,3060,1620296.20946909,34,6
"Indonesia","",34351117.4252728,3060,381679.082503032,34,6
"Iran","",8343457.16475579,3060,92705.0796083976,34,6
"Iraq","",3855401.8102556,3060,42837.7978917289,34,6
"Ireland","",141602.029924189,1530,1573.35588804655,17,6
"Israel","",282081.044462703,1530,3134.23382736337,17,6
"Italy","",3877828.87741811,1755,43086.9875268679,19.5,6
"Jamaica","",334020.581603883,3060,3711.3397955987,34,6
