"CountryName","RegionName","Date","PredictedDailyNewCases","PredictedDailyNewDeaths","PredictedDailyNewHospital","PredictedDailyNewICU","Cost","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","H2_Testing.policy","H3_Contact.tracing","H6_Facial.Coverings"
"Afghanistan","",2021-02-13,17540.7494113274,NA,NA,NA,34,3,3,2,4,2,3,2,4,2,3,2,4
"Afghanistan","",2021-02-14,19253.0429656904,NA,NA,NA,34,3,3,2,4,2,3,2,4,2,3,2,4
"Afghanistan","",2021-02-15,22711.3254642893,NA,NA,NA,34,3,3,2,4,2,3,2,4,2,3,2,4
"Afghanistan","",2021-02-16,23395.5419869753,NA,NA,NA,34,3,3,2,4,2,3,2,4,2,3,2,4
"Afghanistan","",2021-02-17,25582.3445067333,NA,NA,NA,34,3,3,2,4,2,3,2,4,2,3,2,4
"Afghanistan","",2021-02-18,28137.8410431471,NA,NA,NA,34,3,3,2,4,2,3,2,4,2,3,2,4
"Afghanistan","",2021-02-19,30799.2449016715,NA,4385.18735283185,1315.55620584956,34,3,3,2,4,2,3,2,4,2,3,2,4
"Afghanistan","",2021-02-20,32396.1921715219,NA,4813.2607414226,1443.97822242678,34,3,3,2,4,2,3,2,4,2,3,2,4
"Afghanistan","",2021-02-21,35112.4586912169,NA,5677.83136607232,1703.3494098217,34,3,3,2,4,2,3,2,4,2,3,2,4
"Afghanistan","",2021-02-22,39595.1992300908,NA,5848.88549674383,1754.66564902315,34,3,3,2,4,2,3,2,4,2,3,2,4
"Afghanistan","",2021-02-23,41306.9267363148,NA,6395.58612668331,1918.67583800499,34,3,3,2,4,2,3,2,4,2,3,2,4
"Afghanistan","",2021-02-24,44530.8916848963,NA,7034.46026078679,2110.33807823604,34,3,3,2,4,2,3,2,4,2,3,2,4
"Afghanistan","",2021-02-25,48114.2554394212,NA,7699.81122541788,2309.94336762536,34,3,3,2,4,2,3,2,4,2,3,2,4
