"CountryName","RegionName","Sum.Cases","Sum.Cost","PrescriptionIndex"
"Taiwan","",361480.199143951,3060,1
"Tajikistan","",93159.6611747237,3060,1
"Tanzania","",0,3060,1
"Thailand","",7780971.01665626,3060,1
"Timor-Leste","",52503.6474117891,3060,1
"Togo","",1077483.78077119,3015,1
"Trinidad and Tobago","",160099.35298797,3060,1
"Tunisia","",1193492.83284648,3060,1
"Turkey","",6407917.29657831,3060,1
"Uganda","",4975666.21022517,3060,1
"Ukraine","",3439300.68189093,3060,1
"United Arab Emirates","",809983.926162259,3060,1
"United Kingdom","",2708755.68045917,3060,1
"United Kingdom","England",3548501.37509018,765,1
"United Kingdom","Northern Ireland",74999.4810673436,3060,1
"United Kingdom","Scotland",388197.690392052,3060,1
"United Kingdom","Wales",133559.613710861,1605,1
"United States","",7947514.87758662,3060,1
"United States","Alabama",102951.617542537,2040,1
"United States","Alaska",16829.7485724615,3060,1
"United States","Arizona",132257.989423361,3060,1
"United States","Arkansas",51433.247030349,3060,1
"United States","California",902372.703251694,3060,1
"United States","Colorado",160490.075843696,3060,1
"United States","Connecticut",130381.499474188,3060,1
"United States","Delaware",25381.465615983,3030,1
"United States","Florida",568964.214422366,3060,1
"United States","Georgia",265853.81194607,3060,1
"United States","Hawaii",139240.322195865,3060,1
"United States","Idaho",29993.0236171413,3030,1
"United States","Illinois",212312.226366187,3060,1
"United States","Indiana",119721.119047306,3060,1
"United States","Iowa",41327.5127834634,3060,1
"United States","Kansas",82062.8617565133,3060,1
"United States","Kentucky",125191.938771379,3060,1
"United States","Louisiana",121323.101176204,2970,1
"United States","Maine",108441.150722063,3060,1
"United States","Maryland",254194.917333393,3060,1
"United States","Massachusetts",198150.635872946,3060,1
"United States","Michigan",353514.704623301,3060,1
"United States","Minnesota",105343.989408936,3060,1
"United States","Mississippi",96852.8034661386,1065,1
"United States","Missouri",244921.852561474,795,1
"United States","Montana",32994.6130950802,705,1
"United States","Nebraska",35115.2006234169,1185,1
"United States","Nevada",87973.9728279146,1065,1
"United States","New Hampshire",106766.532413607,1155,1
"United States","New Jersey",388853.894906563,1065,1
"United States","New Mexico",63546.2810031144,1155,1
"United States","New York",840066.172370177,1515,1
"United States","North Carolina",533574.593387961,1005,1
"United States","North Dakota",3922.56186358989,870,1
"United States","Ohio",501802.733231617,1155,1
"United States","Oklahoma",109700.474503317,900,1
"United States","Oregon",393362.384709628,1095,1
"United States","Pennsylvania",627593.485191043,900,1
"United States","Rhode Island",41692.6445647633,900,1
"United States","South Carolina",186828.272785163,990,1
"United States","South Dakota",6573.5872656105,795,1
"United States","Tennessee",112168.229107449,1065,1
"United States","Texas",1215901.14931363,1065,1
"United States","Utah",69865.8805242066,900,1
"United States","Vermont",65307.0213384954,2010,1
"United States","Virginia",573680.544090067,1140,1
"United States","Washington",707420.168477268,840,1
"United States","Washington DC",35820.7621050384,3060,1
"United States","West Virginia",87835.5032930945,930,1
"United States","Wisconsin",119011.621626333,690,1
"United States","Wyoming",16850.5058042894,810,1
"Uruguay","",371902.962872648,3060,1
"Uzbekistan","",4683293.80129076,930,1
"Vanuatu","",0,1035,1
"Venezuela","",4393844.66550772,1305,1
"Vietnam","",653418.139776679,1080,1
"Yemen","",347696.377260344,1080,1
"Zambia","",2817950.36676533,1425,1
"Zimbabwe","",2208631.48498008,1290,1
