"CountryName","RegionName","Sum.Cases","Sum.Cost","Avg.Cases","Avg.Cost","PrescriptionIndex"
"Afghanistan","",7683150.42371035,31.2,85368.3380412262,0.346666666666667,7
"Albania","",358151.2986342,47.4,3979.45887371333,0.526666666666667,7
"Algeria","",5083992.43100393,1451.25,56488.8047889326,16.125,7
"Andorra","",1761.55793092742,0,19.5728658991936,0,7
"Angola","",3469952.45504851,1978.8,38555.0272783168,21.9866666666667,7
"Argentina","",4941666.10935874,76.8,54907.4012150971,0.853333333333333,7
"Aruba","",7047.62201117687,12.9,78.3069112352985,0.143333333333333,7
"Australia","",1791743.88723718,1057.95,19908.2654137465,11.755,7
"Austria","",682244.132931804,97.2,7580.49036590893,1.08,7
"Azerbaijan","",997815.173078941,1191,11086.8352564327,13.2333333333333,7
"Bahamas","",33953.336859292,1082.4,377.259298436578,12.0266666666667,7
"Bahrain","",125636.412068863,196.65,1395.96013409848,2.185,7
"Bangladesh","",17842230.3036979,1852.05,198247.003374421,20.5783333333333,7
"Barbados","",36543.910221872,13.05,406.043446909689,0.145,7
"Belarus","",1357503.12926091,26.1,15083.368102899,0.29,7
"Belgium","",761640.578276269,206.1,8462.67309195854,2.29,7
"Belize","",45496.533221696,326.85,505.517035796622,3.63166666666667,7
"Benin","",1116100.44569385,2082.3,12401.116063265,23.1366666666667,7
"Bermuda","",10071.5583352714,220.8,111.906203725238,2.45333333333333,7
"Bhutan","",87201.0323108567,2132.4,968.900359009519,23.6933333333333,7
"Bolivia","",1782649.54979573,20.1,19807.2172199526,0.223333333333333,7
"Bosnia and Herzegovina","",373195.926323046,222.3,4146.6214035894,2.47,7
"Botswana","",413757.188289036,3.6,4597.3020921004,0.04,7
"Brazil","",21333324.5388781,229.5,237036.939320868,2.55,7
"Brunei","",34194.8009514509,1456.8,379.942232793899,16.1866666666667,7
"Bulgaria","",805984.048173816,201.15,8955.3783130424,2.235,7
"Burkina Faso","",3244583.25503306,1081.2,36050.9250559229,12.0133333333333,7
"Burundi","",2532999.97153135,0,28144.4441281261,0,7
"Cambodia","",1347531.89145418,1232.55,14972.5765717131,13.695,7
"Cameroon","",0,0,0,0,7
"Canada","",4782993.48991694,70.2,53144.3721101882,0.78,7
"Cape Verde","",73746.2850029945,50.4,819.403166699939,0.56,7
"Central African Republic","",317826.771130432,1311.75,3531.40856811591,14.575,7
"Chad","",2019531.38940321,1953.45,22439.2376600357,21.705,7
"Chile","",2172146.84865611,211.35,24134.9649850679,2.34833333333333,7
"China","",57031747.9621985,117.45,633686.088468872,1.305,7
"Colombia","",5120030.23160205,168.75,56889.2247955783,1.875,7
"Comoros","",162194.979640385,0,1802.16644044872,0,7
"Congo","",231531.483388875,1549.05,2572.57203765416,17.2116666666667,7
"Costa Rica","",547864.132630139,198.45,6087.37925144599,2.205,7
"Cote d'Ivoire","",4421444.57044746,189.45,49127.1618938607,2.105,7
"Croatia","",266342.189453797,237.75,2959.35766059775,2.64166666666667,7
"Cuba","",1788237.01982533,118.8,19869.3002202814,1.32,7
"Cyprus","",135189.166815829,145.2,1502.10185350921,1.61333333333333,7
"Czech Republic","",379713.497491653,22.2,4219.03886101837,0.246666666666667,7
"Democratic Republic of Congo","",9907216.41464989,1796.85,110080.182384999,19.965,7
"Denmark","",548962.65732667,168.3,6099.58508140745,1.87,7
"Djibouti","",113770.376928162,1501.8,1264.1152992018,16.6866666666667,7
"Dominica","",12879.5440740942,148.5,143.106045267713,1.65,7
"Dominican Republic","",1618987.93175022,114.15,17988.7547972247,1.26833333333333,7
"Ecuador","",2428124.23165718,267.3,26979.1581295242,2.97,7
"Egypt","",13270786.5155986,1704.9,147453.183506651,18.9433333333333,7
"El Salvador","",843351.531480539,1180.35,9370.57257200599,13.115,7
"Eritrea","",525659.498367294,2009.7,5840.66109296993,22.33,7
"Estonia","",154945.952020278,44.4,1721.6216891142,0.493333333333333,7
"Eswatini","",181730.730061491,55.2,2019.23033401656,0.613333333333333,7
"Ethiopia","",12581661.5261392,2058.75,139796.239179325,22.875,7
"Faeroe Islands","",8677.11845761441,96.3,96.4124273068267,1.07,7
"Fiji","",78715.479898388,1513.8,874.616443315422,16.82,7
"Finland","",820176.486185823,288,9113.07206873136,3.2,7
