"CountryName","RegionName","Date","PredictedDailyNewCases","PredictedDailyNewDeaths","PredictedDailyNewHospital","PredictedDailyNewICU"
"Afghanistan","",2021-02-10,14117.2618179014,NA,NA,NA
"Afghanistan","",2021-02-11,15982.8127127556,NA,NA,NA
"Afghanistan","",2021-02-12,17921.0538733485,NA,NA,NA
"Afghanistan","",2021-02-13,19987.0714072454,NA,NA,NA
"Afghanistan","",2021-02-14,22357.4918777648,NA,NA,NA
"Afghanistan","",2021-02-15,26558.0409658905,NA,NA,NA
"Afghanistan","",2021-02-16,28105.2067339461,NA,3529.31545447535,1058.79463634261
"Afghanistan","",2021-02-17,31859.3103795094,NA,3995.70317818889,1198.71095345667
"Afghanistan","",2021-02-18,35795.9353044622,NA,4480.26346833712,1344.07904050114
"Afghanistan","",2021-02-19,40012.3643644516,NA,4996.76785181135,1499.0303555434
"Afghanistan","",2021-02-20,44575.8364582308,NA,5589.3729694412,1676.81189083236
"Afghanistan","",2021-02-21,49673.9295343936,NA,6639.51024147262,1991.85307244179
"Afghanistan","",2021-02-22,56839.9514673723,NA,7026.30168348654,2107.89050504596
"Afghanistan","",2021-02-23,61581.5090626474,141.172618179014,7964.82759487735,2389.44827846321
"Afghanistan","",2021-02-24,68778.7312962255,159.828127127556,8948.98382611555,2684.69514783466
"Afghanistan","",2021-02-25,76381.6523065757,179.210538733485,10003.0910911129,3000.92732733387
"Afghanistan","",2021-02-26,84463.3011936707,199.870714072454,11143.9591145577,3343.18773436731
"Afghanistan","",2021-02-27,93052.6343233805,223.574918777648,12418.4823835984,3725.54471507952
"Afghanistan","",2021-02-28,102281.838319899,265.580409658905,14209.9878668431,4262.99636005292
"Afghanistan","",2021-03-01,113609.575148362,281.052067339461,15395.3772656618,4618.61317969855
"Afghanistan","",2021-03-02,122430.305218894,318.593103795094,17194.6828240564,5158.40484721691
"Afghanistan","",2021-03-03,133549.314537301,357.959353044622,19095.4130766439,5728.62392299318
"Afghanistan","",2021-03-04,144798.628320064,400.123643644516,21115.8252984177,6334.7475895253
"Afghanistan","",2021-03-05,156109.211652425,445.758364582308,23263.1585808451,6978.94757425354
"Afghanistan","",2021-03-06,167357.970259236,496.739295343936,25570.4595799747,7671.13787399242
"Afghanistan","",2021-03-07,178517.406884442,568.399514673723,28402.3937870905,8520.71813612716
"Afghanistan","",2021-03-08,190880.86553451,615.815090626474,30607.5763047236,9182.27289141707
"Afghanistan","",2021-03-09,199636.261326705,687.787312962255,33387.3286343253,10016.1985902976
"Afghanistan","",2021-03-10,209538.514484848,763.816523065757,36199.6570800159,10859.8971240048
"Afghanistan","",2021-03-11,218250.101603263,844.633011936707,39027.3029131064,11708.1908739319
"Afghanistan","",2021-03-12,225632.66773803,930.526343233805,41839.492564809,12551.8477694427
