"CountryName","RegionName","SumCases","SumCost","AvgCases","AvgCost","PrescriptionIndex"
"Afghanistan","",5291417.27881213,3060,58793.5253201348,34,1
"Afghanistan","",5291417.27881213,3060,58793.5253201348,34,4
"Afghanistan","",5291417.27881213,3060,58793.5253201348,34,6
"Afghanistan","",5291417.27881213,3060,58793.5253201348,34,8
"Afghanistan","",6483730.06908278,405,72041.4452120309,4.5,2
"Afghanistan","",6533131.87719874,1530,72590.3541910971,17,3
"Afghanistan","",6533131.87719874,1530,72590.3541910971,17,5
"Afghanistan","",6841909.50806995,840,76021.2167563328,9.33333333333333,9
"Afghanistan","",8059817.20824648,0,89553.524536072,0,0
"Afghanistan","",8059817.20824648,0,89553.524536072,0,7
"Albania","",251884.411816735,3060,2798.71568685261,34,4
"Albania","",251884.411816735,3060,2798.71568685261,34,8
"Albania","",252779.546425991,3030,2808.66162695546,33.6666666666667,1
"Albania","",299712.338837424,1530,3330.1370981936,17,3
"Albania","",299712.338837424,1530,3330.1370981936,17,5
"Albania","",299712.338837424,1530,3330.1370981936,17,6
"Albania","",334906.857692118,315,3721.1873076902,3.5,2
"Albania","",347238.648944054,1080,3858.20721048948,12,9
"Albania","",419957.198645359,45,4666.19109605955,0.5,7
"Albania","",432992.627905993,0,4811.02919895547,0,0
"Algeria","",4438750.60959486,3060,49319.4512177207,34,4
"Algeria","",4438750.60959486,3060,49319.4512177207,34,6
"Algeria","",4456055.97125096,2940,49511.7330138995,32.6666666666667,2
"Algeria","",5060193.49525908,1995,56224.3721695453,22.1666666666667,7
"Algeria","",5165206.7935722,2625,57391.1865952467,29.1666666666667,1
"Algeria","",5165206.7935722,2625,57391.1865952467,29.1666666666667,8
"Algeria","",7286405.77442994,1530,80960.0641603327,17,3
"Algeria","",7286405.77442994,1530,80960.0641603327,17,5
"Algeria","",8074858.32242949,555,89720.6480269943,6.16666666666667,9
"Algeria","",8921091.95588076,0,99123.2439542307,0,0
"Andorra","",1114.4517997751,3060,12.3827977752789,34,1
"Andorra","",1114.4517997751,3060,12.3827977752789,34,4
"Andorra","",1114.4517997751,3060,12.3827977752789,34,8
"Andorra","",1178.24813235821,1530,13.0916459150912,17,3
"Andorra","",1178.24813235821,1530,13.0916459150912,17,5
"Andorra","",1178.24813235821,1530,13.0916459150912,17,6
"Andorra","",1307.92521555031,1170,14.5325023950035,13,9
"Andorra","",1761.55793092742,0,19.5728658991936,0,0
"Andorra","",1761.55793092742,0,19.5728658991936,0,2
