"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"84","2020/05/28",399,4,22473,1028,4457,0.000591818167166551,1.05075178525098e-05,0.000117373451299841,37972812
"85","2020/05/29",352,10,22825,1038,4568,0.000601087957352223,9.26979018567284e-06,0.000120296595364073,37972812
"86","2020/05/30",330,13,23155,1051,4626,0.000609778385651292,8.69042829906829e-06,0.000121824003974212,37972812
"87","2020/05/31",416,10,23571,1061,4686,0.00062073359223436,1.09552065830679e-05,0.00012340408184677,37972812
"88","2020/06/01",215,3,23786,1064,4518,0.000626395537944359,5.66194570999904e-06,0.000118979863803608,37972812
"89","2020/06/02",379,10,24165,1074,4426,0.000636376363172683,9.98082522832389e-06,0.000116557077732352,37972812
"90","2020/06/03",230,18,24395,1092,4252,0.000642433328350821,6.05696517813851e-06,0.000111974851901934,37972812
"91","2020/06/04",292,23,24687,1115,4068,0.000650123040663936,7.68971231311497e-06,0.000107129279759424,37972812
"92","2020/06/05",361,2,25048,1117,4117,0.000659629842530493,9.50680186655652e-06,0.000108419676688679,37972812
"93","2020/06/06",371,20,25419,1137,4093,0.000669399990709142,9.7701481786495e-06,0.000107787645539656,37972812
"94","2020/06/07",567,16,25986,1153,4355,0.000684331726604814,1.49317358956719e-05,0.000114687318916492,37972812
"95","2020/06/08",575,4,26561,1157,4487,0.00069947413955016,1.51424129453463e-05,0.000118163490236119,37972812
"96","2020/06/09",599,9,27160,1166,4687,0.00071524858364453,1.57744440943694e-05,0.000123430416477979,37972812
"97","2020/06/10",400,17,27560,1183,4735,0.000725782436128249,1.05338524837191e-05,0.000124694478776025,37972812
"98","2020/06/11",197,23,27757,1206,4602,0.00073097035847648,5.18792234823168e-06,0.000121191972825189,37972812
"99","2020/06/12",444,9,28201,1215,4630,0.000742662934733409,1.16925762569282e-05,0.000121929342499049,37972812
"100","2020/06/13",376,7,28577,1222,4791,0.000752564756068105,9.90182133469599e-06,0.000126169218123746,37972812
"101","2020/06/14",440,15,29017,1237,4852,0.000764151993800196,1.15872377320911e-05,0.000127775630627513,37972812
"102","2020/06/15",375,10,29392,1247,4997,0.000774027480503682,9.87548670348669e-06,0.000131594152152861,37972812
"103","2020/06/16",396,9,29788,1256,5101,0.000784455994462564,1.04285139588819e-05,0.000134332953798628,37972812
"104","2020/06/17",407,16,30195,1272,5147,0.000795174189364749,1.07181949021842e-05,0.000135544346834256,37972812
"105","2020/06/18",506,14,30701,1286,5282,0.000808499512756653,1.33253233919047e-05,0.000139099522047511,37972812
"106","2020/06/19",314,30,31015,1316,5029,0.000816768586956373,8.26907419971953e-06,0.000132436860351559,37972812
"107","2020/06/20",301,18,31316,1334,4755,0.000824695310950372,7.92672399399865e-06,0.000125221171400211,37972812
"108","2020/06/21",304,12,31620,1346,4460,0.000832701038837998,8.00572788762655e-06,0.000117452455193468,37972812
"109","2020/06/22",311,10,31931,1356,4371,0.00084089110914409,8.19007030609163e-06,0.000115108673015841,37972812
"110","2020/06/23",296,3,32227,1359,4470,0.000848686159982042,7.79505083795216e-06,0.000117715801505561,37972812
"111","2020/06/24",300,16,32527,1375,4326,0.000856586549344831,7.90038936278936e-06,0.000113923614611423,37972812
"112","2020/06/25",294,21,32821,1396,4244,0.000864328930920365,7.74238157553357e-06,0.00011176417485226,37972812
"113","2020/06/26",298,16,33119,1412,4102,0.000872176651020736,7.84772010037076e-06,0.00010802465722054,37972812
"114","2020/06/27",276,17,33395,1429,4003,0.000879445009234502,7.26835821376621e-06,0.000105417528730819,37972812
"115","2020/06/28",319,6,33714,1435,3926,0.000887845756590268,8.40074735576601e-06,0.000103389762127703,37972812
"116","2020/06/29",193,3,33907,1438,3712,0.000892928340413662,5.08258382339449e-06,9.77541510489136e-05,37972812
"117","2020/06/30",247,6,34154,1444,3453,0.000899432994322359,6.50465390869657e-06,9.09334815657055e-05,37972812
"118","2020/07/01",239,19,34393,1463,3378,0.000905726971181381,6.29397685902219e-06,8.89583842250081e-05,37972812
"119","2020/07/02",382,14,34775,1477,3459,0.000915786800303333,1.00598291219518e-05,9.10914893529613e-05,37972812
"120","2020/07/03",371,15,35146,1492,3526,0.000925556948481982,9.7701481786495e-06,9.28559096439842e-05,37972812
"121","2020/07/04",259,15,35405,1507,3474,0.00093237761796519,6.82066948320814e-06,9.14865088211007e-05,37972812
"122","2020/07/05",314,5,35719,1512,3492,0.00094064669216491,8.26907419971953e-06,9.19605321828681e-05,37972812
"123","2020/07/06",231,5,35950,1517,3423,0.000946729991974258,6.0832998093478e-06,9.01434426294266e-05,37972812
"124","2020/07/07",205,4,36155,1521,3334,0.000952128591372164,5.39859939790606e-06,8.7799660451799e-05,37972812
"125","2020/07/08",257,7,36412,1528,3293,0.000958896591592953,6.76800022078955e-06,8.67199405722178e-05,37972812
"126","2020/07/09",277,14,36689,1542,3294,0.000966191284437929,7.29469284497551e-06,8.67462752034271e-05,37972812
"127","2020/07/10",262,9,36951,1551,3237,0.000973090957814765,6.89967337683604e-06,8.52452012244971e-05,37972812
"128","2020/07/11",265,11,37216,1562,3309,0.000980069635085229,6.97867727046393e-06,8.71412946715666e-05,37972812
"129","2020/07/12",305,6,37521,1568,3367,0.000988101697604065,8.03206251883585e-06,8.86687032817059e-05,37972812
"130","2020/07/13",370,3,37891,1571,3498,0.000997845511151505,9.7438135474402e-06,9.21185399701239e-05,37972812
"131","2020/07/14",299,5,38190,1576,3415,0.00100571956588308,7.87405473158006e-06,8.99327655797522e-05,37972812
"132","2020/07/15",267,12,38457,1588,3311,0.00101275091241597,7.03134653288253e-06,8.71939639339852e-05,37972812
"133","2020/07/16",323,6,38780,1594,3375,0.00102125699829657,8.50608588060321e-06,8.88793803313803e-05,37972812
"134","2020/07/17",274,11,39054,1605,3335,0.00102847268724792,7.21568895134761e-06,8.78259950830083e-05,37972812
"135","2020/07/18",353,7,39407,1612,3457,0.0010377688120648,9.29612481688214e-06,9.10388200905427e-05,37972812
"136","2020/07/19",339,6,39746,1618,3591,0.00104669625204475,8.92743997995197e-06,9.45676606725886e-05,37972812
"137","2020/07/20",358,6,40104,1624,3692,0.00105612405001768,9.42779797292863e-06,9.72274584247277e-05,37972812
"138","2020/07/21",279,3,40383,1627,3694,0.00106347141212508,7.3473621073941e-06,9.72801276871463e-05,37972812
"139","2020/07/22",399,9,40782,1636,3831,0.00107397892997758,1.05075178525098e-05,0.00010088797216282,37972812
"140","2020/07/23",380,6,41162,1642,3946,0.00108398608983712,1.00071598595332e-05,0.000103916454751889,37972812
"141","2020/07/24",418,9,41580,1651,4059,0.0010949939656826,1.10078758454865e-05,0.00010689226807854,37972812
"142","2020/07/25",458,4,42038,1655,4147,0.00110705522677646,1.20612610938584e-05,0.000109209715624958,37972812
"143","2020/07/26",584,9,42622,1664,4432,0.00112243465140269,1.53794246262299e-05,0.000116715085519608,37972812
"144","2020/07/27",443,7,43065,1671,4608,0.00113410089302841,1.16662416257189e-05,0.000121349980612445,37972812
"145","2020/07/28",337,5,43402,1676,4622,0.00114297566374595,8.87477071753338e-06,0.000121718665449375,37972812
"146","2020/07/29",502,6,43904,1682,4850,0.00115619564861301,1.32199848670675e-05,0.000127722961365095,37972812
"147","2020/07/30",512,12,44416,1694,5009,0.00116967897979217,1.34833311791605e-05,0.000131910167727373,37972812
"148","2020/07/31",615,15,45031,1709,5285,0.00118587477798589,1.61957981937182e-05,0.000139178525941139,37972812
"149","2020/08/01",657,7,45688,1716,5584,0.0012031766306904,1.73018527045087e-05,0.000147052580672719,37972812
"150","2020/08/02",658,5,46346,1721,5963,0.00122050481802612,1.7328187335718e-05,0.000157033405901043,37972812
"151","2020/08/03",548,10,46894,1731,6112,0.00123493619592881,1.44313779026952e-05,0.000160957265951228,37972812
"152","2020/08/04",575,1,47469,1732,6307,0.00125007860887416,1.51424129453463e-05,0.000166092519037042,37972812
"153","2020/08/05",680,6,48149,1738,6569,0.00126798615809648,1.79075492223225e-05,0.000172992192413878,37972812
"154","2020/08/06",640,18,48789,1756,6751,0.00128484032207043,1.68541639739506e-05,0.00017778509529397,37972812
"155","2020/08/07",726,18,49515,1774,6893,0.00130395926432838,1.91189422579502e-05,0.00018152461292569,37972812
"156","2020/08/08",809,13,50324,1787,7259,0.00132526398097671,2.1304716648322e-05,0.000191163087948293,37972812
"157","2020/08/09",843,13,51167,1800,7765,0.00134746407508614,2.22000941094381e-05,0.000204488411340198,37972812
"158","2020/08/10",624,7,51791,1807,7887,0.00136389688496075,1.64328098746019e-05,0.000207701236347732,37972812
"159","2020/08/11",619,2,52410,1809,7994,0.0013801980216793,1.63011367185554e-05,0.000210519041887127,37972812
"160","2020/08/12",551,12,52961,1821,7930,0.00139470840347562,1.45103817963231e-05,0.000208833625489732,37972812
"161","2020/08/13",715,9,53676,1830,7988,0.00141353766479027,1.8829261314648e-05,0.000210361034099871,37972812
"162","2020/08/14",811,14,54487,1844,8141,0.00143489505070101,2.13573859107406e-05,0.000214390232674894,37972812
"163","2020/08/15",832,14,55319,1858,8425,0.00145680546386715,2.19104131661358e-05,0.000221869267938334,37972812
"164","2020/08/16",771,11,56090,1869,8621,0.00147710946452952,2.03040006623686e-05,0.000227030855655357,37972812
"165","2020/08/17",594,8,56684,1877,8535,0.00149275223546784,1.56427709383229e-05,0.000224766077371357,37972812
"166","2020/08/18",595,8,57279,1885,8490,0.00150842134103737,1.56691055695322e-05,0.000223581018966939,37972812
"167","2020/08/19",597,11,57876,1896,8361,0.00152414311586932,1.57217748319508e-05,0.000220183851540939,37972812
"168","2020/08/20",735,17,58611,1913,8287,0.00154349906980816,1.93559539388339e-05,0.000218235088831451,37972812
"169","2020/08/21",767,12,59378,1925,8211,0.00156369773194569,2.01986621375315e-05,0.000216233656859545,37972812
"170","2020/08/22",903,13,60281,1938,8490,0.00158747790392768,2.3780171981996e-05,0.000223581018966939,37972812
"171","2020/08/23",900,13,61181,1951,8771,0.00161117907201605,2.37011680883681e-05,0.000230981050336751,37972812
"172","2020/08/24",581,4,61762,1955,8801,0.00162647949274865,1.53004207326021e-05,0.00023177108927303,37972812
"173","2020/08/25",548,5,62310,1960,8634,0.00164091087065135,1.44313779026952e-05,0.000227373205861078,37972812
"174","2020/08/26",763,17,63073,1977,8586,0.00166100419426404,2.00933236126943e-05,0.000226109143563031,37972812
"175","2020/08/27",729,17,63802,1994,8483,0.00168020214041562,1.91979461515781e-05,0.000223396676548474,37972812
"176","2020/08/28",887,16,64689,2010,8599,0.00170356095829827,2.33588178826472e-05,0.000226451493768752,37972812
"177","2020/08/29",791,8,65480,2018,8796,0.00172439165158482,2.08306932865546e-05,0.000231639416116984,37972812
"178","2020/08/30",759,14,66239,2032,8960,0.00174437963667268,1.99879850878571e-05,0.000235958295635309,37972812
"179","2020/08/31",631,1,66870,2033,8994,0.00176099678896575,1.66171522930669e-05,0.000236853673096425,37972812
"180","2020/09/01",502,6,67372,2039,8761,0.00177421677383282,1.32199848670675e-05,0.000230717704024658,37972812
"181","2020/09/02",550,19,67922,2058,8544,0.00178870082099793,1.44840471651138e-05,0.000225003089052241,37972812
"182","2020/09/03",595,20,68517,2078,8236,0.00180436992656746,1.56691055695322e-05,0.000216892022639777,37972812
"183","2020/09/04",612,14,69129,2092,7948,0.00182048672086755,1.61167943000903e-05,0.000209307648851499,37972812
"184","2020/09/05",691,8,69820,2100,8058,0.00183868395103318,1.81972301656248e-05,0.000212204458284522,37972812
"185","2020/09/06",567,13,70387,2113,8077,0.00185361568692885,1.49317358956719e-05,0.000212704816277499,37972812
"186","2020/09/07",437,7,70824,2120,7751,0.00186512392076731,1.15082338384632e-05,0.000204119726503268,37972812
"187","2020/09/08",302,4,71126,2124,7324,0.00187307697939252,7.95305862520795e-06,0.000192874838976897,37972812
"188","2020/09/09",400,12,71526,2136,6837,0.00188361083187624,1.05338524837191e-05,0.000180049873577969,37972812
"189","2020/09/10",421,11,71947,2147,6467,0.00189469771161535,1.10868797391144e-05,0.000170306060030529,37972812
"190","2020/09/11",506,12,72453,2159,6214,0.00190802303500726,1.33253233919047e-05,0.000163643398334577,37972812
"191","2020/09/12",594,10,73047,2169,6177,0.00192366580594558,1.56427709383229e-05,0.000162669016979833,37972812
"192","2020/09/13",603,13,73650,2182,6278,0.00193954558856479,1.58797826192066e-05,0.000165328814731972,37972812
"193","2020/09/14",502,6,74152,2188,6230,0.00195276557343185,1.32199848670675e-05,0.000164064752433926,37972812
"194","2020/09/15",377,15,74529,2203,6012,0.00196269372939776,9.92815596590529e-06,0.000158323802830299,37972812
"195","2020/09/16",605,24,75134,2227,6005,0.00197862618127938,1.59324518816252e-05,0.000158139460411834,37972812
"196","2020/09/17",600,10,75734,2237,5914,0.00199442696000496,1.58007787255787e-05,0.000155743008971787,37972812
"197","2020/09/18",837,16,76571,2253,6184,0.00201646904632715,2.20420863221823e-05,0.000162853359398298,37972812
"198","2020/09/19",757,17,77328,2270,6504,0.00203640436215258,1.99353158254385e-05,0.000171280441385273,37972812
"199","2020/09/20",1002,12,78330,2282,7204,0.0020627916626243,2.63873004717164e-05,0.000189714683231782,37972812
"200","2020/09/21",910,11,79240,2293,7714,0.00208675617702476,2.3964514400461e-05,0.000203145345148524,37972812
"201","2020/09/22",748,5,79988,2298,8041,0.00210645448116932,1.96983041445548e-05,0.000211756769553964,37972812
"202","2020/09/23",711,18,80699,2316,8246,0.00212517840395913,1.87239227898108e-05,0.00021715536895187,37972812
"203","2020/09/24",974,28,81673,2344,8626,0.00215082833475698,2.56499307978561e-05,0.000227162528811403,37972812
"204","2020/09/25",1136,25,82809,2369,9159,0.00218074447581075,2.99161410537624e-05,0.000241198887245959,37972812
"205","2020/09/26",1587,23,84396,2392,10244,0.0022225375355399,4.17930597291557e-05,0.000269771962108047,37972812
"206","2020/09/27",1584,32,85980,2424,11451,0.00226425159137543,4.17140558355278e-05,0.00030155786197767,37972812
"207","2020/09/28",1350,8,87330,2432,12196,0.00229980334350798,3.55517521325521e-05,0.000321177162228597,37972812
"208","2020/09/29",1306,15,88636,2447,12902,0.00233419637186732,3.4393028359343e-05,0.000339769411862361,37972812
"209","2020/09/30",1326,36,89962,2483,13391,0.00236911609285085,3.4919720983529e-05,0.000352647046523708,37972812
"210","2020/10/01",1552,30,91514,2513,14186,0.00240998744048768,4.08713476368303e-05,0.000373583078335099,37972812
"211","2020/10/02",1967,30,93481,2543,15151,0.00246178766007637,5.18002195886889e-05,0.000398995997452072,37972812
"212","2020/10/03",2292,27,95773,2570,16533,0.00252214663480808,6.03589747317107e-05,0.000435390457783321,37972812
"213","2020/10/04",2367,34,98140,2604,18152,0.00258448070688049,6.2334072072408e-05,0.000478026225711175,37972812
"214","2020/10/05",0,0,98140,2604,17441,0.00258448070688049,0,0.000459302302921364,37972812
"215","2020/10/06",3940,55,102080,2659,20407,0.00268823915384512,0.000103758446964634,0.000537410819088141,37972812
"216","2020/10/07",2236,58,104316,2717,21507,0.00274712338922911,5.888423538399e-05,0.000566378913418369,37972812
"217","2020/10/08",3003,75,107319,2792,22923,0.00282620628675064,7.90828975215214e-05,0.000603668751210735,37972812
"218","2020/10/09",4280,75,111599,2867,25619,0.00293891850832643,0.000112712221575795,0.000674666916951002,37972812
"219","2020/10/10",4739,52,116338,2919,29008,0.00306371832562729,0.000124799817300863,0.000763914982119312,37972812
"220","2020/10/11",5300,53,121638,2972,33002,0.00320329187103657,0.000139573545409279,0.000869095499169248,37972812
"221","2020/10/12",4178,32,125816,3004,35854,0.00331331796022902,0.000110026089192446,0.000944201867378165,37972812
"222","2020/10/13",4394,35,130210,3039,38696,0.00342903232976267,0.000115714369533655,0.00101904488927499,37972812
"223","2020/10/14",5068,62,135278,3101,41797,0.00356249624073139,0.000133463910968722,0.00110070858065502,37972812
"224","2020/10/15",6526,116,141804,3217,46031,0.00373435604400327,0.000171859803271878,0.00121220940919519,37972812
"225","2020/10/16",8099,91,149903,3308,51763,0.00394764022216738,0.000213284178164103,0.00136315951528688,37972812
"226","2020/10/17",7705,132,157608,3440,59468,0.00415054855563502,0.00020290833346764,0.00156606784875452,37972812
"227","2020/10/18",9622,84,167230,3524,65150,0.00440394037713088,0.000253391821495864,0.00171570122328576,37972812
