"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","p_cases","p_cases_daily","p_cases_active","p_infect","population"
"1","2019/12/31",0,0,0,0,0,0,0,0,0,0,8544527
"2","2020/01/01",0,0,0,0,0,0,0,0,0,0,8544527
"3","2020/01/02",0,0,0,0,0,0,0,0,0,0,8544527
"4","2020/01/03",0,0,0,0,0,0,0,0,0,0,8544527
"5","2020/01/04",0,0,0,0,0,0,0,0,0,0,8544527
"6","2020/01/05",0,0,0,0,0,0,0,0,0,0,8544527
"7","2020/01/06",0,0,0,0,0,0,0,0,0,0,8544527
"8","2020/01/07",0,0,0,0,0,0,0,0,0,0,8544527
"9","2020/01/08",0,0,0,0,0,0,0,0,0,0,8544527
"10","2020/01/09",0,0,0,0,0,0,0,0,0,0,8544527
"11","2020/01/10",0,0,0,0,0,0,0,0,0,0,8544527
"12","2020/01/11",0,0,0,0,0,0,0,0,0,0,8544527
"13","2020/01/12",0,0,0,0,0,0,0,0,0,0,8544527
"14","2020/01/13",0,0,0,0,0,0,0,0,0,0,8544527
"15","2020/01/14",0,0,0,0,0,0,0,0,0,0,8544527
"16","2020/01/15",0,0,0,0,0,0,0,0,0,0,8544527
"17","2020/01/16",0,0,0,0,0,0,0,0,0,0,8544527
"18","2020/01/17",0,0,0,0,0,0,0,0,0,0,8544527
"19","2020/01/18",0,0,0,0,0,0,0,0,0,0,8544527
"20","2020/01/19",0,0,0,0,0,0,0,0,0,0,8544527
"21","2020/01/20",0,0,0,0,0,0,0,0,0,0,8544527
"22","2020/01/21",0,0,0,0,0,0,0,0,0,0,8544527
"23","2020/01/22",0,0,0,0,0,0,0,0,0,0,8544527
"24","2020/01/23",0,0,0,0,0,0,0,0,0,0,8544527
"25","2020/01/24",0,0,0,0,0,0,0,0,0,0,8544527
"26","2020/01/25",0,0,0,0,0,0,0,0,0,0,8544527
"27","2020/01/26",0,0,0,0,0,0,0,0,0,0,8544527
"28","2020/01/27",0,0,0,0,0,0,0,0,0,0,8544527
"29","2020/01/28",0,0,0,0,0,0,0,0,0,0,8544527
"30","2020/01/29",0,0,0,0,0,0,0,0,0,0,8544527
"31","2020/01/30",0,0,0,0,0,0,0,0,0,0,8544527
"32","2020/01/31",0,0,0,0,0,0,0,0,0,0,8544527
"33","2020/02/01",0,0,0,0,0,0,0,0,0,0,8544527
"34","2020/02/02",0,0,0,0,0,0,0,0,0,0,8544527
"35","2020/02/03",0,0,0,0,0,0,0,0,0,0,8544527
"36","2020/02/04",0,0,0,0,0,0,0,0,0,0,8544527
"37","2020/02/05",0,0,0,0,0,0,0,0,0,0,8544527
"38","2020/02/06",0,0,0,0,0,0,0,0,0,0,8544527
"39","2020/02/07",0,0,0,0,0,0,0,0,0,0,8544527
"40","2020/02/08",0,0,0,0,0,0,0,0,0,0,8544527
"41","2020/02/09",0,0,0,0,0,0,0,0,0,0,8544527
"42","2020/02/10",0,0,0,0,0,0,0,0,0,0,8544527
"43","2020/02/11",0,0,0,0,0,0,0,0,0,0,8544527
"44","2020/02/12",0,0,0,0,0,0,0,0,0,0,8544527
"45","2020/02/13",0,0,0,0,0,0,0,0,0,0,8544527
"46","2020/02/14",0,0,0,0,0,0,0,0,0,0,8544527
"47","2020/02/15",0,0,0,0,0,0,0,0,0,0,8544527
"48","2020/02/16",0,0,0,0,0,0,0,0,0,0,8544527
"49","2020/02/17",0,0,0,0,0,0,0,0,0,0,8544527
"50","2020/02/18",0,0,0,0,0,0,0,0,0,0,8544527
"51","2020/02/19",0,0,0,0,0,0,0,0,0,0,8544527
"52","2020/02/20",0,0,0,0,0,0,0,0,0,0,8544527
"53","2020/02/21",0,0,0,0,0,0,0,0,0,0,8544527
"54","2020/02/22",0,0,0,0,0,0,0,0,0,0,8544527
"55","2020/02/23",0,0,0,0,0,0,0,0,0,0,8544527
"56","2020/02/24",0,0,0,0,0,0,0,0,0,0,8544527
"57","2020/02/25",0,0,0,0,0,0,0,0,0,0,8544527
"58","2020/02/26",1,0,1,0,1,1,1.17033979762718e-07,1.17033979762718e-07,1.17033979762718e-07,1.17033979762718e-07,8544527
"59","2020/02/27",0,0,1,0,1,1,1.17033979762718e-07,0,1.17033979762718e-07,1.17033979762718e-07,8544527
"60","2020/02/28",7,0,8,0,8,8,9.36271838101746e-07,8.19237858339028e-07,9.36271838101746e-07,9.36271838101746e-07,8544527
"61","2020/02/29",4,0,12,0,12,12,1.40440775715262e-06,4.68135919050873e-07,1.40440775715262e-06,1.40440775715262e-06,8544527
"62","2020/03/01",6,0,18,0,18,18,2.10661163572893e-06,7.0220387857631e-07,2.10661163572893e-06,2.10661163572893e-06,8544527
"63","2020/03/02",6,0,24,0,24,24,2.80881551430524e-06,7.0220387857631e-07,2.80881551430524e-06,2.80881551430524e-06,8544527
"64","2020/03/03",6,0,30,0,30,30,3.51101939288155e-06,7.0220387857631e-07,3.51101939288155e-06,3.51101939288155e-06,8544527
"65","2020/03/04",7,0,37,0,37,37,4.33025725122058e-06,8.19237858339028e-07,4.33025725122058e-06,4.33025725122058e-06,8544527
"66","2020/03/05",20,0,57,0,57,57,6.67093684647494e-06,2.34067959525437e-06,6.67093684647494e-06,6.67093684647494e-06,8544527
"67","2020/03/06",30,1,87,1,87,87,1.01819562393565e-05,3.51101939288155e-06,1.01819562393565e-05,1.01819562393565e-05,8544527
"68","2020/03/07",122,0,209,1,209,209,2.44601017704081e-05,1.42781455310516e-05,2.44601017704081e-05,2.44601017704081e-05,8544527
"69","2020/03/08",55,0,264,1,264,264,3.08969706573576e-05,6.43686888694951e-06,3.08969706573576e-05,3.08969706573576e-05,8544527
"70","2020/03/09",68,1,332,2,331,331,3.88552812812225e-05,7.95831062386484e-06,3.87382473014598e-05,3.87382473014598e-05,8544527
"71","2020/03/10",42,0,374,2,373,373,4.37707084312566e-05,4.91542715003417e-06,4.36536744514939e-05,4.36536744514939e-05,8544527
"72","2020/03/11",116,1,490,3,482,482,5.7346650083732e-05,1.35759416524753e-05,5.64103782456302e-05,5.64103782456302e-05,8544527
"73","2020/03/12",152,1,642,4,630,630,7.51358150076651e-05,1.77891649239332e-05,7.37314072505125e-05,7.37314072505125e-05,8544527
"74","2020/03/13",212,0,854,4,836,836,9.99470187173614e-05,2.48112037096963e-05,9.78404070816325e-05,9.78404070816325e-05,8544527
"75","2020/03/14",267,3,1121,7,1097,1097,0.000131195091314007,3.12480725966458e-05,0.000128386275799702,0.000128386275799702,8544527
"76","2020/03/15",238,4,1359,11,1329,1329,0.000159049178497534,2.7854087183527e-05,0.000155538159104653,0.000155538159104653,8544527
"77","2020/03/16",841,2,2200,13,2163,2163,0.00025747475547798,9.84255769804461e-05,0.00025314449822676,0.00025314449822676,8544527
"78","2020/03/17",0,1,2200,14,2143,2143,0.00025747475547798,0,0.000250803818631505,0.000250803818631505,8544527
"79","2020/03/18",450,5,2650,19,2563,2563,0.000310140046371203,5.26652908932232e-05,0.000299958090131847,0.000299958090131847,8544527
"80","2020/03/19",353,6,3003,25,2794,2794,0.000351453041227443,4.13129948562396e-05,0.000326992939457035,0.000326992939457035,8544527
"81","2020/03/20",860,8,3863,33,3599,3599,0.000452102263823381,0.000100649222595938,0.000421205293166023,0.000421205293166023,8544527
"82","2020/03/21",943,10,4806,43,4474,4474,0.000562465306739624,0.000110363042916243,0.000523610025458402,0.000523610025458402,8544527
"83","2020/03/22",1271,13,6077,56,5703,5703,0.000711215495018039,0.000148750188278415,0.000667444786586782,0.000667444786586782,8544527
"84","2020/03/23",894,4,6971,60,6481,6481,0.000815843872925909,0.00010462837790787,0.000758497222842177,0.000758497222842177,8544527
"85","2020/03/24",1044,6,8015,66,7373,7373,0.000938027347798187,0.000122183474872278,0.000862891532790522,0.000862891532790522,8544527
"86","2020/03/25",774,20,8789,86,7935,7935,0.00102861164813453,9.0584300336344e-05,0.00092866462941717,0.00092866462941717,8544527
