<<<<<<< Updated upstream
"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"1","2020/03/16",6,0,6,0,6,6,6,1.81918981472007e-07,1.81918981472007e-07,1.81918981472007e-07,1.81918981472007e-07,1.81918981472007e-07,32981715
"2","2020/03/17",2,0,8,0,8,8,8,2.42558641962675e-07,6.06396604906688e-08,2.42558641962675e-07,2.42558641962675e-07,2.42558641962675e-07,32981715
"3","2020/03/18",8,0,16,0,16,16,16,4.85117283925351e-07,2.42558641962675e-07,4.85117283925351e-07,4.85117283925351e-07,4.85117283925351e-07,32981715
"4","2020/03/19",7,0,23,0,23,23,23,6.97356095642692e-07,2.12238811717341e-07,6.97356095642692e-07,6.97356095642692e-07,6.97356095642692e-07,32981715
"5","2020/03/20",0,0,23,0,23,23,23,6.97356095642692e-07,0,6.97356095642692e-07,6.97356095642692e-07,6.97356095642692e-07,32981715
"6","2020/03/21",10,0,33,0,33,33,33,1.00055439809604e-06,3.03198302453344e-07,1.00055439809604e-06,1.00055439809604e-06,1.00055439809604e-06,32981715
"7","2020/03/22",0,0,33,0,33,33,33,1.00055439809604e-06,0,1.00055439809604e-06,1.00055439809604e-06,1.00055439809604e-06,32981715
"8","2020/03/23",13,0,46,0,46,46,46,1.39471219128538e-06,3.94157793189348e-07,1.39471219128538e-06,1.39471219128538e-06,1.39471219128538e-06,32981715
"9","2020/03/24",3,0,49,0,49,49,49,1.48567168202139e-06,9.09594907360033e-08,1.48567168202139e-06,1.48567168202139e-06,1.48567168202139e-06,32981715
"10","2020/03/25",6,0,55,0,55,55,55,1.66759066349339e-06,1.81918981472007e-07,1.66759066349339e-06,1.66759066349339e-06,1.66759066349339e-06,32981715
"11","2020/03/26",10,0,65,0,65,65,65,1.97078896594674e-06,3.03198302453344e-07,1.97078896594674e-06,1.97078896594674e-06,1.97078896594674e-06,32981715
"12","2020/03/27",18,0,83,0,83,83,83,2.51654591036276e-06,5.4575694441602e-07,2.51654591036276e-06,2.51654591036276e-06,2.51654591036276e-06,32981715
"13","2020/03/28",21,0,104,0,98,98,104,3.15326234551478e-06,6.36716435152023e-07,2.97134336404277e-06,2.97134336404277e-06,3.15326234551478e-06,32981715
"14","2020/03/29",29,1,133,1,125,125,133,4.03253742262948e-06,8.79275077114698e-07,3.7899787806668e-06,3.7899787806668e-06,4.03253742262948e-06,32981715
"15","2020/03/30",12,0,145,1,129,129,145,4.39637538557349e-06,3.63837962944013e-07,3.91125810164814e-06,3.91125810164814e-06,4.39637538557349e-06,32981715
"16","2020/03/31",4,1,149,2,126,126,149,4.51765470655483e-06,1.21279320981338e-07,3.82029861091214e-06,3.82029861091214e-06,4.51765470655483e-06,32981715
"17","2020/04/01",24,0,173,2,150,150,173,5.24533063244285e-06,7.27675925888026e-07,4.54797453680016e-06,4.54797453680016e-06,5.24533063244285e-06,32981715
"18","2020/04/02",14,0,187,2,154,154,187,5.66980825587754e-06,4.24477623434682e-07,4.6692538577815e-06,4.6692538577815e-06,5.66980825587754e-06,32981715
"19","2020/04/03",3,0,190,2,157,157,184,5.76076774661354e-06,9.09594907360033e-08,4.7602133485175e-06,4.7602133485175e-06,5.57884876514153e-06,32981715
"20","2020/04/04",37,0,227,2,181,181,219,6.88260146569091e-06,1.12183371907737e-06,5.48788927440553e-06,5.48788927440553e-06,6.64004282372824e-06,32981715
"21","2020/04/05",39,0,266,2,217,217,250,8.06507484525896e-06,1.18247337956804e-06,6.57940316323757e-06,6.57940316323757e-06,7.57995756133361e-06,32981715
