"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"17","2020/03/22",42,0,383,1,367,367,383,0.000184054268617354,2.01834968196576e-05,0.00017636531744796,0.00017636531744796,0.000184054268617354,2080908
"18","2020/03/23",31,0,414,1,383,383,414,0.000198951611508053,1.48973428906996e-05,0.000184054268617354,0.000184054268617354,0.000198951611508053,2080908
"19","2020/03/24",28,0,442,1,385,385,441,0.000212407276054492,1.34556645464384e-05,0.000185015387513528,0.000185015387513528,0.000211926716606405,2080908
"20","2020/03/25",38,2,480,3,384,384,474,0.000230668535081801,1.82612590273092e-05,0.000184534828065441,0.000184534828065441,0.000227785178393278,2080908
"21","2020/03/26",48,1,528,4,387,387,519,0.000253735388589981,2.30668535081801e-05,0.000185976506409702,0.000185976506409702,0.000249410353557197,2080908
"22","2020/03/27",49,1,577,5,396,396,565,0.000277282801546248,2.35474129562672e-05,0.000190301541442486,0.000190301541442486,0.000271516088169203,2080908
"23","2020/03/28",55,4,632,9,413,413,616,0.000303713571191038,2.64307696447897e-05,0.000198471052059966,0.000198471052059966,0.000296024620021644,2080908
"24","2020/03/29",59,0,691,9,438,438,660,0.000332066578628176,2.8353007437138e-05,0.000210485038262143,0.000210485038262143,0.000317169235737476,2080908
"25","2020/03/30",39,2,730,11,455,455,673,0.000350808397103572,1.87418184753963e-05,0.000218654548879624,0.000218654548879624,0.000323416508562608,2080908
"26","2020/03/31",33,0,763,11,477,477,667,0.000366666858890446,1.58584617868738e-05,0.00022922685673754,0.00022922685673754,0.000320533151874086,2080908
"27","2020/04/01",51,2,814,13,495,495,673,0.000391175390742887,2.45085318524413e-05,0.000237876926803107,0.000237876926803107,0.000323416508562608,2080908
"28","2020/04/02",27,2,841,15,500,500,660,0.000404150495841239,1.29751050983513e-05,0.000240279724043543,0.000240279724043543,0.000317169235737476,2080908
"29","2020/04/03",56,1,897,16,514,514,678,0.000431061824934115,2.69113290928768e-05,0.000247007556316762,0.000247007556316762,0.000325819305803044,2080908
"30","2020/04/04",37,4,934,20,520,520,681,0.000448842524513337,1.77806995792221e-05,0.000249890913005284,0.000249890913005284,0.000327260984147305,2080908
"31","2020/04/05",43,2,977,22,535,535,702,0.000469506580781082,2.06640562677447e-05,0.000257099304726591,0.000257099304726591,0.000337352732557134,2080908
"32","2020/04/06",20,6,997,28,517,517,711,0.000479117769742824,9.6111889617417e-06,0.000248449234661023,0.000248449234661023,0.000341677767589917,2080908
"33","2020/04/07",24,2,1021,30,493,493,702,0.000490651196496914,1.153342675409e-05,0.000236915807906933,0.000236915807906933,0.000337352732557134,2080908
"34","2020/04/08",34,6,1055,36,478,478,714,0.000506990217731875,1.63390212349609e-05,0.000229707416185627,0.000229707416185627,0.000343119445934179,2080908
"35","2020/04/09",36,4,1091,40,459,459,708,0.00052429035786301,1.73001401311351e-05,0.000220576786671972,0.000220576786671972,0.000340236089245656,2080908
"36","2020/04/10",33,3,1124,43,433,433,710,0.000540148819649884,1.58584617868738e-05,0.000208082241021708,0.000208082241021708,0.00034119720814183,2080908
"37","2020/04/11",36,2,1160,45,430,430,718,0.000557448959781019,1.73001401311351e-05,0.000206640562677447,0.000206640562677447,0.000345041683726527,2080908
"38","2020/04/12",28,5,1188,50,425,425,708,0.000570904624327457,1.34556645464384e-05,0.000204237765437011,0.000204237765437011,0.000340236089245656,2080908
"39","2020/04/13",17,3,1205,53,391,391,677,0.000579074134944937,8.16951061748045e-06,0.00018789874420205,0.00018789874420205,0.000325338746354957,2080908
"40","2020/04/14",7,2,1212,55,371,371,635,0.000582438051081547,3.3639161366096e-06,0.000178287555240309,0.000178287555240309,0.000305155249535299,2080908
"41","2020/04/15",8,1,1220,56,323,323,588,0.000586282526666244,3.84447558469668e-06,0.000155220701732128,0.000155220701732128,0.000282568955475206,2080908
"42","2020/04/16",28,5,1248,61,314,314,557,0.000599738191212682,1.34556645464384e-05,0.000150895666699345,0.000150895666699345,0.000267671612584506,2080908
"43","2020/04/17",20,0,1268,61,291,291,538,0.000609349380174424,9.6111889617417e-06,0.000139842799393342,0.000139842799393342,0.000258540983070852,2080908
"44","2020/04/18",36,5,1304,66,307,307,541,0.000626649520305559,1.73001401311351e-05,0.000147531750562735,0.000147531750562735,0.000259982661415113,2080908
"45","2020/04/19",13,4,1317,70,296,296,503,0.000632896793130691,6.24727282513211e-06,0.000142245596633777,0.000142245596633777,0.000241721402387804,2080908
"46","2020/04/20",13,4,1330,74,275,275,489,0.000639144065955823,6.24727282513211e-06,0.000132153848223948,0.000132153848223948,0.000234993570114585,2080908
"47","2020/04/21",5,0,1335,74,244,244,438,0.000641546863196259,2.40279724043543e-06,0.000117256505333249,0.000117256505333249,0.000210485038262143,2080908
"48","2020/04/22",5,3,1340,77,216,216,406,0.000643949660436694,2.40279724043543e-06,0.00010380084078681,0.00010380084078681,0.000195107135923357,2080908
"49","2020/04/23",13,2,1353,79,193,193,376,0.000650196933261826,6.24727282513211e-06,9.27479734808074e-05,9.27479734808074e-05,0.000180690352480744,2080908
"50","2020/04/24",13,0,1366,79,178,178,369,0.000656444206086958,6.24727282513211e-06,8.55395817595011e-05,8.55395817595011e-05,0.000177326436344134,2080908
"51","2020/04/25",7,1,1373,80,168,168,352,0.000659808122223568,3.3639161366096e-06,8.07339872786303e-05,8.07339872786303e-05,0.000169156925726654,2080908
"52","2020/04/26",15,1,1388,81,176,176,333,0.000667016513944874,7.20839172130628e-06,8.4578462863327e-05,8.4578462863327e-05,0.000160026296212999,2080908
"53","2020/04/27",19,1,1407,82,187,187,316,0.000676147143458529,9.13062951365462e-06,8.98646167922849e-05,8.98646167922849e-05,0.000151856785595519,2080908
"54","2020/04/28",0,1,1407,83,159,159,283,0.000676147143458529,0,7.64089522458465e-05,7.64089522458465e-05,0.000135998323808645,2080908
"55","2020/04/29",1,3,1408,86,140,140,248,0.000676627702906616,4.80559448087085e-07,6.72783227321919e-05,6.72783227321919e-05,0.000119178743125597,2080908
"56","2020/04/30",10,3,1418,89,114,114,230,0.000681433297387487,4.80559448087085e-06,5.47837770819277e-05,5.47837770819277e-05,0.00011052867306003,2080908
"57","2020/05/01",11,2,1429,91,112,112,224,0.000686719451316445,5.28615392895794e-06,5.38226581857535e-05,5.38226581857535e-05,0.000107645316371507,2080908
"58","2020/05/02",5,2,1434,93,104,104,222,0.00068912224855688,2.40279724043543e-06,4.99781826010568e-05,4.99781826010568e-05,0.000106684197475333,2080908
"59","2020/05/03",5,1,1439,94,104,104,219,0.000691525045797315,2.40279724043543e-06,4.99781826010568e-05,4.99781826010568e-05,0.000105242519131072,2080908
"60","2020/05/04",0,2,1439,96,99,99,191,0.000691525045797315,0,4.75753853606214e-05,4.75753853606214e-05,9.17868545846332e-05,2080908
