"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRAC",803513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRAL",3340932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRAM",3938336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRAP",766679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRBA",15203934,0,0,0,0,0,0,20,1,0,0,0,0,0,0
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRCE",8904459,0.080672268907563,0.1275,0.0134453781512605,0.0216666666666667,0.00747663551401869,0.006,595,6,0.080672268907563,0.1275,0.0134453781512605,0.0216666666666667,0.00747663551401869,0.006
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRDF",2914830,0.0275229357798165,0.0288888888888889,0.00309597523219814,0.00181818181818182,0.00309597523219814,0.00181818181818182,327,12,0.0275229357798165,0.0288888888888889,0.00309597523219814,0.00181818181818182,0.00309597523219814,0.00181818181818182
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRES",3929911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRFN",3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRGO",6610681,0.012396694214876,0.0441666666666667,0,0,0,0,242,4,0.012396694214876,0.0441666666666667,0,0,0,0
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRMA",6904241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRMG",20869101,0.0176110260336907,0.0173368055555556,0.00483091787439614,0.0028,0.00402576489533011,0.0024,1306,12,0.0176110260336907,0.0173368055555556,0.00483091787439614,0.0028,0.00402576489533011,0.0024
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRMS",2651235,0.1,0.1,0,0,0,0,10,1,0.1,0.1,0,0,0,0
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRMT",3265486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRPA",8175113,0.176,0.208666666666667,0.024,0.0176666666666667,0.022,0.037,500,3,0.176,0.208666666666667,0.024,0.0176666666666667,0.022,0.037
"BR",2020-06-08,204453710,0.0045045045045045,0,0,222,8,0.0354945217104525,7511,0.0085976369135618,0.00781639772123386,7511,0.0346048561447315,0.00835081480121074,0.00835081480121074,"BRPB",3972202,0.0133333333333333,0.0133333333333333,0,0,0,0,150,1,0.0133333333333333,0.0133333333333333,0,0,0,0
