"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"1","UA","UA05",1604270,0,0,211,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"2","UA","UA07",1042855,0,0,150,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"3","UA","UA09",2263676,0,0,285,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"4","UA","UA12",3258705,0,0,344,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"5","UA","UA14",4387702,0,0,643,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"6","UA","UA18",1249225,0,0,134,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"7","UA","UA21",1259497,0,0,201,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"8","UA","UA23",1755663,0.004739336492891,0.00571428571428571,422,0.004739336492891,0.00571428571428571,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"9","UA","UA26",1382721,0,0,301,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"10","UA","UA30",2900920,NA,NA,0,NA,NA,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"11","UA","UA32",1731673,0.00540540540540541,0.0025,370,0.00540540540540541,0.0025,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"12","UA","UA35",974724,0,0,160,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"13","UA","UA40",381685,NA,NA,0,NA,NA,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"14","UA","UA43",1963770,NA,NA,120,NA,NA,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"15","UA","UA46",2535476,0.0166112956810631,0.0166666666666667,301,0.0166112956810631,0.0166666666666667,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"16","UA","UA48",1159634,0.005,0.005,200,0.005,0.005,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"17","UA","UA51",2387282,0,0,265,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"18","UA","UA53",1440684,0,0,350,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"19","UA","UA56",1162049,0,0,150,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"20","UA","UA59",1115051,0,0,115,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"21","UA","UA61",1066523,0,0,138,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"22","UA","UA63",2720342,0,0,300,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"23","UA","UA65",1063803,0,0,111,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"24","UA","UA68",1296103,0.0294117647058824,0.0383333333333333,136,0.0294117647058824,0.0383333333333333,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"25","UA","UA71",1246166,0,0,250,0,0,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"26","UA","UA74",1047023,0.02,0.02,150,0.02,0.02,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
"27","UA","UA77",910001,NA,NA,0,NA,NA,45307223,0.00959023539668701,0.00917874396135266,4588,0.00318404146706048,0.00339819095527273,5687,0.00604453954483435,0.00597932742163718
