"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs"
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT01",714200,0.0404680643588493,0.0344444444444444,0,0,2051,30,0.0404680643588493,0.0344444444444444,0,0
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT02",152758,0.00249791840133222,0.002,NA,NA,1201,15,0.00249791840133222,0.002,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT03",848185,0.00408371618172537,0.00916666666666667,0,0,1959,30,0.00408371618172537,0.00916666666666667,0,0
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT04",136252,0,0,NA,NA,50,2,0,0,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT05",196264,0.00738007380073801,0.00272727272727273,NA,NA,542,11,0.00738007380073801,0.00272727272727273,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT06",430104,0.00666666666666667,0.00577777777777778,0,0,1800,30,0.00666666666666667,0.00577777777777778,0,0
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT07",166706,0.00617283950617284,0.00555555555555556,NA,NA,810,9,0.00617283950617284,0.00555555555555556,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT08",451006,0.000515463917525773,0.000333333333333333,NA,NA,1940,30,0.000515463917525773,0.000333333333333333,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT09",160939,0.00952380952380952,0.00416666666666667,NA,NA,525,12,0.00952380952380952,0.00416666666666667,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT10",470930,0.00504201680672269,0.00533333333333333,0,0,1785,30,0.00504201680672269,0.00533333333333333,0,0
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT11",2250533,0.0102115244347192,0.00923856209150327,0.0087719298245614,0.0823809523809524,1371,30,0.0102115244347192,0.00923856209150327,0.0087719298245614,0.0823809523809524
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT12",118506,0.0135135135135135,0.012,NA,NA,370,5,0.0135135135135135,0.012,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT13",1817117,0.0305870744943266,0.0228888888888889,0,0,2027,30,0.0305870744943266,0.0228888888888889,0,0
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT14",453638,0.0182731841023298,0.0161818181818182,NA,NA,2189,30,0.0182731841023298,0.0161818181818182,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT15",851258,0.00503597122302158,0.00408333333333333,NA,NA,1390,30,0.00503597122302158,0.00408333333333333,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT16",244836,0.0136208853575482,0.0294117647058824,NA,NA,881,17,0.0136208853575482,0.0294117647058824,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT17",206661,0.00656455142231947,0.003,NA,NA,457,10,0.00656455142231947,0.003,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT18",377653,0.00289855072463768,0.00354166666666667,NA,NA,1035,16,0.00289855072463768,0.00354166666666667,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT20",245766,0.024,0.022962962962963,NA,NA,875,9,0.024,0.022962962962963,NA,NA
"PT","2020/07/13",10561097,0.0130674002751032,NA,2908,30,0.0139575371029727,24328,0.00302270846378436,10993,0.0138624967925217,0.00239037724929008,"PT30",267785,0.00280373831775701,0.00244444444444444,NA,NA,1070,15,0.00280373831775701,0.00244444444444444,NA,NA
