"date","region","regionname","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_stillsick","p_stillsick_error"
"2020/03/15","ESNA","Provincia:Navarra / Nafarroa",654214,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/16","ESNA","Provincia:Navarra / Nafarroa",654214,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/17","ESNA","Provincia:Navarra / Nafarroa",654214,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/18","ESNA","Provincia:Navarra / Nafarroa",654214,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/19","ESNA","Provincia:Navarra / Nafarroa",654214,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/20","ESNA","Provincia:Navarra / Nafarroa",654214,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/21","ESNA","Provincia:Navarra / Nafarroa",654214,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/22","ESNA","Provincia:Navarra / Nafarroa",654214,1,100,1,100,0.02,0.0274394957835607,NA,NA,NA,NA,NA,NA
"2020/03/23","ESNA","Provincia:Navarra / Nafarroa",654214,1,100,1,100,0.02,0.0274394957835607,NA,NA,NA,NA,NA,NA
"2020/03/24","ESNA","Provincia:Navarra / Nafarroa",654214,2,200,2,200,0.03,0.023641748209703,NA,NA,NA,NA,NA,NA
"2020/03/25","ESNA","Provincia:Navarra / Nafarroa",654214,3,300,2,200,0.03,0.0193034065803767,NA,NA,NA,NA,NA,NA
"2020/03/26","ESNA","Provincia:Navarra / Nafarroa",654214,3,300,2,200,0.03,0.0193034065803767,NA,NA,NA,NA,NA,NA
"2020/03/27","ESNA","Provincia:Navarra / Nafarroa",654214,3,300,1,100,0.03,0.0193034065803767,NA,NA,NA,NA,NA,NA
"2020/03/28","ESNA","Provincia:Navarra / Nafarroa",654214,4,350,1,50,0.0371428571428571,0.0198121976113582,NA,NA,NA,NA,NA,NA
"2020/03/29","ESNA","Provincia:Navarra / Nafarroa",654214,4,350,1,50,0.0371428571428571,0.0198121976113582,NA,NA,NA,NA,NA,NA
"2020/03/30","ESNA","Provincia:Navarra / Nafarroa",654214,4,350,1,50,0.0371428571428571,0.0198121976113582,NA,NA,NA,NA,NA,NA
"2020/03/31","ESNA","Provincia:Navarra / Nafarroa",654214,4,350,0,0,0.0371428571428571,0.0198121976113582,NA,NA,NA,NA,NA,NA
"2020/04/01","ESNA","Provincia:Navarra / Nafarroa",654214,4,350,0,0,0.0371428571428571,0.0198121976113582,NA,NA,NA,NA,NA,NA
"2020/04/02","ESNA","Provincia:Navarra / Nafarroa",654214,4,350,0,0,0.0371428571428571,0.0198121976113582,NA,NA,NA,NA,NA,NA
"2020/04/03","ESNA","Provincia:Navarra / Nafarroa",654214,4,350,0,0,0.0371428571428571,0.0198121976113582,NA,NA,NA,NA,NA,NA
"2020/04/04","ESNA","Provincia:Navarra / Nafarroa",654214,4,350,0,0,0.0371428571428571,0.0198121976113582,NA,NA,NA,NA,NA,NA
"2020/04/05","ESNA","Provincia:Navarra / Nafarroa",654214,4,350,0,0,0.0371428571428571,0.0198121976113582,NA,NA,NA,NA,NA,NA
"2020/04/06","ESNA","Provincia:Navarra / Nafarroa",654214,4,350,0,0,0.0371428571428571,0.0198121976113582,NA,NA,NA,NA,NA,NA
"2020/04/07","ESNA","Provincia:Navarra / Nafarroa",654214,5,450,1,100,0.0377777777777778,0.0176156117251531,NA,NA,NA,NA,NA,NA
"2020/04/08","ESNA","Provincia:Navarra / Nafarroa",654214,5,450,1,100,0.0377777777777778,0.0176156117251531,NA,NA,NA,NA,NA,NA
"2020/04/09","ESNA","Provincia:Navarra / Nafarroa",654214,8,640,4,290,0.0296875,0.0131492423742751,NA,NA,NA,NA,NA,NA
"2020/04/10","ESNA","Provincia:Navarra / Nafarroa",654214,9,760,4,310,0.0276315789473684,0.0116535855621741,NA,NA,NA,NA,NA,NA
"2020/04/11","ESNA","Provincia:Navarra / Nafarroa",654214,9,760,4,310,0.0276315789473684,0.0116535855621741,NA,NA,NA,NA,NA,NA
"2020/04/12","ESNA","Provincia:Navarra / Nafarroa",654214,11,850,3,210,0.0294117647058824,0.0113583875045513,NA,NA,NA,NA,NA,NA
"2020/04/13","ESNA","Provincia:Navarra / Nafarroa",654214,11,850,2,90,0.0294117647058824,0.0113583875045513,NA,NA,NA,NA,NA,NA
"2020/04/14","ESNA","Provincia:Navarra / Nafarroa",654214,11,850,2,90,0.0294117647058824,0.0113583875045513,NA,NA,NA,NA,NA,NA
