"date","region","regionname","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error","p_vaccinated","p_vaccinated_error","p_refusevaccine","p_refusevaccine_error"
"2021/01/30","ESM","Provincia:Madrid",6663394,50,2550,50,2550,0.189411764705882,0.0152083333793383,NA,NA,0.0169491525423729,0.00508228979506259,0.00242130750605327,0.00193506695401305,0.0129615082482325,0.00439353111354294,0.0170867150790261,0.00524969745676077,0.0170906200317965,0.00506440491770749
"2021/01/30","ESMA","Provincia:Málaga",1661785,22,2183,1,40,0.049015116811727,0.00905676399556228,0,0,NA,NA,NA,NA,NA,NA,0.00252365930599369,0.00247001802088636,NA,NA
"2021/01/30","ESMU","Provincia:Murcia",1493898,50,3850,1,50,0.0171428571428571,0.0041001951576219,0.00274348422496571,0.00379698605214537,NA,NA,NA,NA,NA,NA,0.00344827586206897,0.00477073197080519,NA,NA
"2021/01/30","ESNA","Provincia:Navarra / Nafarroa",654214,40,4279,0,0,0.0486094881981771,0.0064434265158563,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/30","ESOR","Provincia:Ourense",307651,3,365,0,0,0.0273972602739726,0.0167464582421361,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"2021/01/30","ESP","Provincia:Palencia",160980,3,256,0,0,0.09765625,0.036363371036863,NA,NA,NA,NA,NA,NA,NA,NA,0.588235294117647,0.0604057247579622,NA,NA
"2021/01/30","ESPO","Provincia:Pontevedra",942665,19,1616,0,0,0.0903465346534653,0.0139772312854447,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"2021/01/30","ESSA","Provincia:Salamanca",330119,3,40,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/30","ESTF","Provincia:Santa Cruz de Tenerife",1032983,15,1391,0,0,0.0647016534867002,0.0129275819356473,0.0108108108108108,0.00860340591572826,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"2021/01/30","ESSG","Provincia:Segovia",153129,5,430,1,25,0.195348837209302,0.0374734001046656,0.0048780487804878,0.00953745239297216,0,0,0,0,0,0,0.08,0.106344979985533,0.04,0.0768145868216849
"2021/01/30","ESSE","Provincia:Sevilla",1942389,19,1765,0,0,0.0985835694050991,0.0139072333064796,0.00285714285714286,0.00322848007627336,NA,NA,NA,NA,NA,NA,0.0181818181818182,0.0144153539870161,NA,NA
"2021/01/30","ESSO","Provincia:Soria",88636,3,290,0,0,0.0310344827586207,0.0199583901871678,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"2021/01/30","EST","Provincia:Tarragona",804664,5,497,0,0,0.0804828973843058,0.0239167191448794,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"2021/01/30","ESTE","Provincia:Teruel",134137,2,230,0,0,0.0652173913043478,0.0319095879731155,NA,NA,NA,NA,NA,NA,NA,NA,0.0260869565217391,0.0205994664294654,NA,NA
"2021/01/30","ESTO","Provincia:Toledo",694844,34,2905,1,100,0.104302925989673,0.0111148561480089,0.0163120567375887,0.00661182835421844,0,0,0,0,0,0,0.0032258064516129,0.00446344093549297,NA,NA
"2021/01/30","ESV","Provincia:Valencia / València",2565124,50,4600,0,0,0.071304347826087,0.0074364196086485,0.00197628458498024,0.00273623256300868,NA,NA,NA,NA,NA,NA,0.00482315112540193,0.00314345927689279,NA,NA
"2021/01/30","ESVA","Provincia:Valladolid",519546,16,2045,0,0,0.0518337408312958,0.0096083753342948,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"2021/01/30","ESZA","Provincia:Zamora",172539,4,635,1,30,0.0992125984251968,0.0232517578904753,NA,NA,0,0,0,0,0.166666666666667,0.133358657676536,0.00229885057471264,0.00450048242793666,0.333333333333333,0.168686841584221
"2021/01/30","ESZ","Provincia:Zaragoza",964693,7,550,0,0,0.0272727272727273,0.0136121453339457,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA
