"date","region","cases","cases_smooth","cum_cases","cum_cases_smooth","deads","deads_smooth","cum_deads","cum_deads_smooth"
2020-01-31,"ESAN",0,0.00127371246339614,0,0.00127371246339614,0,0,0,0
2020-02-01,"ESAN",2,0.00172273724180538,2,0.00299644970520152,0,0,0,0
2020-02-02,"ESAN",2,0.00233005867332237,4,0.00532650837852389,0,0,0,0
2020-02-03,"ESAN",1,0.00315148289980226,5,0.00847799127832615,0,0,0,0
2020-02-04,"ESAN",1,0.00426249073183454,6,0.0127404820101607,0,0,0,0
2020-02-05,"ESAN",1,0.00576517437161325,7,0.0185056563817739,0,0,0,0
2020-02-06,"ESAN",2,0.00779761998155432,9,0.0263032763633282,0,0,0,0
2020-02-07,"ESAN",2,0.0105465985565536,11,0.0368498749198819,0,0,0,0
2020-02-08,"ESAN",0,0.0142647370296847,11,0.0511146119495665,0,0,0,0
2020-02-09,"ESAN",1,0.0192937774149709,12,0.0704083893645375,0,0,0,0
2020-02-10,"ESAN",1,0.0260960224338592,13,0.0965044117983967,0,0,0,0
2020-02-11,"ESAN",1,0.0352968824643257,14,0.131801294262722,0,0,0,0
2020-02-12,"ESAN",1,0.0477424584379427,15,0.179543752700665,0,0,0,0
2020-02-13,"ESAN",2,0.0645774700049664,17,0.244121222705632,0,5.01355947393918e-06,0,5.01355947393918e-06
2020-02-14,"ESAN",1,0.0873507244848647,18,0.331471947190496,0,7.67442687803607e-06,0,1.26879863519752e-05
2020-02-15,"ESAN",4,0.118158045272511,22,0.449629992463007,0,1.17475075759066e-05,0,2.44354939278819e-05
2020-02-16,"ESAN",0,0.159840130206818,22,0.609470122669825,0,1.7982311438053e-05,0,4.24178053659349e-05
2020-02-17,"ESAN",2,0.216251776212704,24,0.825721898882529,0,2.75261388434782e-05,0,6.99439442094131e-05
2020-02-18,"ESAN",3,0.292624620477112,27,1.11834651935964,0,4.21352016991568e-05,0,0.00011207914590857
2020-02-19,"ESAN",2,0.396063986997288,29,1.51441050635693,0,6.44977936000931e-05,0,0.000176576939508663
2020-02-20,"ESAN",8,0.536227580485851,37,2.05063808684278,0,9.87289774330002e-05,0,0.000275305916941663
2020-02-21,"ESAN",5,0.726253489099118,42,2.7768915759419,0,0.000151127819624145,0,0.000426433736565809
2020-02-22,"ESAN",2,0.984031686956134,44,3.76092326289803,0,0.000231336511933209,0,0.000657770248499018
2020-02-23,"ESAN",2,1.33439998674474,46,5.09532324964277,0,0.000354114678387397,0,0.00101188492688642
2020-02-24,"ESAN",5,1.81321172005647,51,6.90853496969924,0,0.000542055363051016,0,0.00155394028993743
2020-02-25,"ESAN",9,2.47216937678931,60,9.38070434648855,0,0.000829742477693926,0,0.00238368276763136
2020-02-26,"ESAN",9,3.38654473587523,69,12.7672490823638,0,0.00127011473562604,0,0.00365379750325739
2020-02-27,"ESAN",11,4.66730276723229,80,17.4345518495961,0,0.00194420708625394,0,0.00559800458951133
2020-02-28,"ESAN",8,6.48018445647844,88,23.9147363060745,0,0.00297605484050522,0,0.00857405943001655
2020-02-29,"ESAN",9,9.07617103549838,97,32.9909073415729,0,0.00455548767100704,0,0.0131295471010236
2020-03-01,"ESAN",34,12.8338587144321,131,45.824766056005,0,0.00697301798963306,0,0.0201025650906566
2020-03-02,"ESAN",33,18.2638802904058,164,64.0886463464108,0,0.0106732107866291,0,0.0307757758772857
2020-03-03,"ESAN",42,26.0318494233208,206,90.1204957697316,0,0.0163363189715802,0,0.047112094848866
2020-03-04,"ESAN",34,36.9815357933258,240,127.102031563057,0,0.0250031407977733,0,0.0721152356466393
2020-03-05,"ESAN",61,52.1104212904134,301,179.212452853471,0,0.0382660187871358,0,0.110381254433775
2020-03-06,"ESAN",73,72.4795889957468,374,251.692041849218,0,0.0585767083014909,0,0.168957962735266
2020-03-07,"ESAN",77,99.0262037143034,451,350.718245563521,0,0.0897623574435657,0,0.258720320178832
2020-03-08,"ESAN",87,132.266573502373,538,482.984819065894,0,0.137821762297463,0,0.396542082476295
2020-03-09,"ESAN",169,172.25703520081,707,655.241854266704,0,0.212222910801909,0,0.608764993278204
2020-03-10,"ESAN",221,218.718446933523,928,873.960301200227,0,0.328030564764288,0,0.936795558042492
2020-03-11,"ESAN",263,270.764507473712,1191,1144.72480867394,0,0.50942539456219,0,1.44622095260468
2020-03-12,"ESAN",318,326.822712484716,1509,1471.54752115866,0,0.795577148481978,0,2.24179810108666
2020-03-13,"ESAN",487,384.647748258896,1996,1856.19526941755,2,1.24737216786243,2,3.48917026894909
2020-03-14,"ESAN",421,441.429064557226,2417,2297.62433397478,5,1.94909256681086,7,5.43826283575995
2020-03-15,"ESAN",450,493.994093633056,2867,2791.61842760783,4,3.01072932459747,11,8.44899216035742
2020-03-16,"ESAN",573,539.230913366748,3440,3330.84934097458,5,4.56030570586501,16,13.0092978662224
2020-03-17,"ESAN",574,574.789693254059,4014,3905.63903422864,8,6.71860894865017,24,19.7279068148726
2020-03-18,"ESAN",530,599.080166497712,4544,4504.71920072635,5,9.55010395039648,29,29.2780107652691
2020-03-19,"ESAN",556,611.312541265024,5100,5116.03174199138,15,12.9917268118288,44,42.2697375770979
2020-03-20,"ESAN",796,611.511569118568,5896,5727.54331110994,14,16.8402203792095,58,59.1099579563074
2020-03-21,"ESAN",544,600.440078548786,6440,6327.98338965873,18,20.885121656336,76,79.9950796126434
2020-03-22,"ESAN",523,579.453920957871,6963,6907.4373106166,28,24.9137202301062,104,104.90879984275
2020-03-23,"ESAN",562,550.391986424599,7525,7457.8292970412,29,28.7379959448308,133,133.64679578758
2020-03-24,"ESAN",492,515.987440789144,8017,7973.81673783034,36,32.2251304694663,169,165.871926257047
2020-03-25,"ESAN",522,479.147338532952,8539,8452.9640763633,30,35.3148353597946,199,201.186761616841
2020-03-26,"ESAN",472,442.298113893928,9011,8895.26219025722,45,38.0229937902862,244,239.209755407128
2020-03-27,"ESAN",423,407.314893527764,9434,9302.57708378499,48,40.3894447867807,292,279.599200193908
2020-03-28,"ESAN",324,375.550052449181,9758,9678.12713623417,27,42.3876292056575,319,321.986829399566
2020-03-29,"ESAN",340,347.921153727327,10098,10026.0482899615,40,43.994977439958,359,365.981806839524
2020-03-30,"ESAN",341,325.016747802077,10439,10351.0650377636,52,45.2067058607533,411,411.188512700277
2020-03-31,"ESAN",255,306.581809442816,10694,10657.6468472064,47,46.034292684775,458,457.222805385052
2020-04-01,"ESAN",357,291.474132119316,11051,10949.1209793257,43,46.503109980655,501,503.725915365707
2020-04-02,"ESAN",263,278.706656020747,11314,11227.8276353465,53,46.649497912318,554,550.375413278025
2020-04-03,"ESAN",203,267.466286075055,11517,11495.2939214215,43,46.4971588117074,597,596.872572089732
2020-04-04,"ESAN",317,257.066706842047,11834,11752.3606282636,51,46.0246734603931,648,642.897245550125
2020-04-05,"ESAN",277,246.921210166159,12111,11999.2818384297,40,45.2102409769793,688,688.107486527105
2020-04-06,"ESAN",187,236.530653417486,12298,12235.8124918472,42,44.041457556995,730,732.1489440841
2020-04-07,"ESAN",266,225.600571458524,12564,12461.4130633057,38,42.5169644762957,768,774.665908560395
2020-04-08,"ESAN",252,214.384534809004,12816,12675.7975981147,54,40.6476527025775,822,815.313561262973
2020-04-09,"ESAN",137,203.227863259364,12953,12879.0254613741,32,38.4573459881722,854,853.770907251145
2020-04-10,"ESAN",218,192.417974093397,13171,13071.4434354675,46,36.0221109643284,900,889.793018215474
2020-04-11,"ESAN",162,182.186697075794,13333,13253.6301325433,22,33.5133922981392,922,923.306410513613
2020-04-12,"ESAN",129,172.715921427014,13462,13426.3460539703,33,31.084107621218,955,954.390518134831
2020-04-13,"ESAN",111,164.14543945166,13573,13590.491493422,21,28.8496536299304,976,983.240171764761
2020-04-14,"ESAN",209,156.573581889777,13782,13747.0650753117,33,26.8928228662118,1009,1010.13299463097
2020-04-15,"ESAN",216,149.960459074969,13998,13897.0255343867,26,25.2718578764549,1035,1035.40485250743
2020-04-16,"ESAN",175,144.187381062612,14173,14041.2129154493,25,24.0299402466179,1060,1059.43479275405
2020-04-17,"ESAN",141,139.151383100403,14314,14180.3642985497,26,23.1514143003776,1086,1082.58620705442
2020-04-18,"ESAN",135,134.764388771879,14449,14315.1286873216,18,22.4887699150656,1104,1105.07497696949
2020-04-19,"ESAN",74,130.950654232489,14523,14446.0793415541,19,21.893408561856,1123,1126.96838553135
2020-04-20,"ESAN",79,127.644665808223,14602,14573.7240073623,28,21.2332628656284,1151,1148.20164839697
2020-04-21,"ESAN",154,124.788853930406,14756,14698.5128612927,22,20.3925686453239,1173,1168.5942170423
2020-04-22,"ESAN",134,122.264684196065,14890,14820.7775454888,15,19.2785843224714,1188,1187.87280136477
2020-04-23,"ESAN",168,119.833162557645,15058,14940.6107080464,23,17.8329934379277,1211,1205.7057948027
2020-04-24,"ESAN",169,117.259209195159,15227,15057.8699172416,11,16.0970239026564,1222,1221.80281870535
2020-04-25,"ESAN",58,114.32837820153,15285,15172.1982954431,13,14.2718792485652,1235,1236.07469795392
2020-04-26,"ESAN",36,110.851470783994,15321,15283.0497662271,13,12.5306456415335,1248,1248.60534359545
2020-04-27,"ESAN",46,106.67248303767,15367,15389.7222492648,11,10.98411130206,1259,1259.58945489751
2020-04-28,"ESAN",130,101.678719825682,15497,15491.4009690905,10,9.69165776111884,1269,1269.28111265863
