"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USSC",5148714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USSD",884659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USTN",6833174,0.00555555555555556,0.00555555555555556,0,0,0,0,360,6,0.00555555555555556,0.00555555555555556,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USTX",28995881,0.0533980582524272,0.0523333333333333,0.00485436893203883,0.005,0.0242718446601942,0.021,206,5,0.0533980582524272,0.0523333333333333,0.00485436893203883,0.005,0.0242718446601942,0.021
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USUT",3205958,0,0,NA,NA,NA,NA,1,1,0,0,NA,NA,NA,NA
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USVA",8535519,0.0144927536231884,0.0625,0,0,0,0,69,4,0.0144927536231884,0.0625,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USVT",623989,0,0,NA,NA,NA,NA,89,9,0,0,NA,NA,NA,NA
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USWA",7614893,0.0149253731343284,0.0165,0,0,0,0,201,5,0.0149253731343284,0.0165,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USWI",5822434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USWV",1792147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USWY",578759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
