"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs"
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLAI",103158,0,0,0,0,0,0,0,0,0,0
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLAN",607534,0,0,0,0,0,0,0,0,0,0
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLAP",226068,0,0,0,0,0,0,0,0,0,0
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLAR",957224,0,0,0,0,0,0,0,0,0,0
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLAT",286168,0,0,0,0,25,1,0,0,0,0
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLBI",1556805,0.00280112044817927,0.00103174603174603,0,0,1071,21,0.00280112044817927,0.00103174603174603,0,0
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLCO",757586,0,0,0,0,145,5,0,0,0,0
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLLI",914555,0,0,0,0,0,0,0,0,0,0
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLLL",828708,0,0,0,0,0,0,0,0,0,0
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLLR",384837,0,0,NA,NA,20,4,0,0,NA,NA
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLMA",166533,0,0,NA,NA,20,1,0,0,NA,NA
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLML",1044950,0,0,NA,NA,30,1,0,0,NA,NA
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLNB",480609,0,0,0,0,0,0,0,0,0,0
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLRM",7112808,0.0348294434470377,0.0405027685492802,0.00952380952380952,0.00952380952380952,2785,30,0.0348294434470377,0.0405027685492802,0.00952380952380952,0.00952380952380952
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLTA",330558,0,0,0,0,0,0,0,0,0,0
"CL","2020/08/10",17574003,0.00491803278688525,NA,610,10,0.0143448218544725,4196,0.00478336930725229,4026,0.0131483296923359,0.00415397860892962,"CLVS",1815902,0,0,NA,NA,100,1,0,0,NA,NA
