Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/04/16,Brazil,BR,,,,3,0,,,,,,,,,,,,,world-g-sheet,,
2020/04/17,Brazil,BR,,,,2,0,,,,,,,,,,,,,world-g-sheet,,
2020/04/20,Brazil,BR,,,,3,0,,,,,,,,,,,,,world-g-sheet,,
2020/04/23,Brazil,BR,,,,3,0,,,,,,,,,,,,,world-g-sheet,,
2020/04/28,Brazil,BR,,,,3,0,,,,,,,,,,,,,world-g-sheet,,
2020/05/01,Brazil,BR,,,,4,0,,,,,,,,,,,,,world-g-sheet,,
2020/12/14,Brazil,BR,"Minas Gerais",BRMG,en,15,3,,0,1,1,,,,,,,,,limesurvey-5973,v4ucwb7dz14fn9eeod,
2020/12/14,Brazil,BR,"São Paulo",BRSP,en,50033,30,,1,2,2,,,,,,,,,limesurvey-6017,xddj10r340rcxcpl8v,FBBR
2020/12/14,Brazil,BR,"São Paulo",BRSP,en,350,90,,5,0,0,,,,,,,,,limesurvey-5985,qatt0lpnsavczpdyzk,FBBR
2020/12/14,Brazil,BR,Bahia,BRBA,en,200,19,,2,3,2,,,,,,,,,limesurvey-5997,lzhjmirs6iwfz15sfr,FBBR
2020/12/14,Brazil,BR,"São Paulo",BRSP,en,50033,30,,1,2,2,,,,,,,,,limesurvey-6016,xddj10r340rcxcpl8v,FBBR
2020/12/14,Brazil,BR,"Rio de Janeiro",BRRJ,en,500,10,,0,3,4,,,,,,,,,limesurvey-5988,m5ax47xc7ivggxyt1x,FBBR
2020/12/14,Brazil,BR,"Rio de Janeiro",BRRJ,en,30,4,,1,0,0,,,,,,,,,limesurvey-5983,uzb35py5gkgc9ub2l2,FBBR
2020/12/14,Brazil,BR,"São Paulo",BRSP,en,350,90,,5,0,0,,,,,,,,,limesurvey-5984,qatt0lpnsavczpdyzk,FBBR
2020/12/14,Brazil,BR,Paraíba,BRPB,en,3000,50,,,1,0,,,,,,,,,limesurvey-6023,9m9npan8dh06p8wthi,FBBR
2020/12/14,Brazil,BR,"São Paulo",BRSP,en,100,30,,10,8,13,,,,,,,,,limesurvey-6049,jy8jn9hcwae3riwqkr,FBBR
2020/12/14,Brazil,BR,"São Paulo",BRSP,en,30,11,,0,0,0,,,,,,,,,limesurvey-6088,qk6x27y3c9q8oc99xp,FBBR
2020/12/14,Brazil,BR,Bahia,BRBA,en,200,19,,2,3,2,,,,,,,,,limesurvey-5998,lzhjmirs6iwfz15sfr,FBBR
2020/12/14,Brazil,BR,"Rio Grande do Sul",BRRS,en,10000,3,,0,0,0,,,,,,,,,limesurvey-6033,lyzs3i0c6qd43jros6,FBBR
2020/12/14,Brazil,BR,Bahia,BRBA,en,300,8,,0,0,0,,,,,,,,,limesurvey-6041,wezap1929rbqtgwk3f,FBBR
2020/12/14,Brazil,BR,"Rio de Janeiro",BRRJ,en,500,10,,0,3,4,,,,,,,,,limesurvey-5987,m5ax47xc7ivggxyt1x,FBBR
2020/12/15,Brazil,BR,"Rio Grande do Sul",BRRS,en,300,12,,1,0,0,,,,,,,,,limesurvey-6220,4zeqjgoie0vpkx1qge,FBBR
2020/12/15,Brazil,BR,"Rio de Janeiro",BRRJ,en,6,1,,0,0,0,,,,,,,,,limesurvey-6129,iraw72724pm3reho43,FBBR
2020/12/15,Brazil,BR,Goiás,BRGO,en,300,12,,0,0,0,,,,,,,,,limesurvey-6152,gzhhs0smzmvm3age9u,FBBR
2020/12/15,Brazil,BR,"São Paulo",BRSP,en,50,5,,0,0,0,,,,,,,,,limesurvey-6174,8z7ygz25dsx086e4uk,FBBR
2020/12/15,Brazil,BR,"São Paulo",BRSP,en,300,30,,5,4,10,,,,,,,,,limesurvey-6146,77zoqg3gepz7yk1gdh,FBBR
2020/12/15,Brazil,BR,"São Paulo",BRSP,en,300,30,,5,4,10,,,,,,,,,limesurvey-6145,77zoqg3gepz7yk1gdh,FBBR
2020/12/16,Brazil,BR,"Minas Gerais",BRMG,en,150,10,,2,3,5,,,,,,,,,limesurvey-6320,r4hvpspjbz5xsdxyl,FBBR
2020/12/16,Brazil,BR,"Minas Gerais",BRMG,en,150,10,,2,3,5,,,,,,,,,limesurvey-6321,r4hvpspjbz5xsdxyl,FBBR
2020/12/16,Brazil,BR,Pernambuco,BRPE,en,100,20,,0,1,1,,,,,,,,,limesurvey-6263,oataqntns4hirorrs3,FBBR
2020/12/16,Brazil,BR,"Rio Grande do Sul",BRRS,en,6,1,,0,0,0,,,,,,,,,limesurvey-6261,123kq25hp57112oaxc,FBBR
2020/12/16,Brazil,BR,"Santa Catarina",BRSC,en,5,50,,,,0,,,,,,,,,limesurvey-6266,pn828flmex83feyqoy,FBBR
2020/12/16,Brazil,BR,"Distrito Federal",BRDF,en,40,2,,0,0,0,,,,,,,,,limesurvey-6225,typk7434trwodjgvub,FBBR
2020/12/16,Brazil,BR,"São Paulo",BRSP,en,100,10,,3,1,2,,,,,,,,,limesurvey-6254,ltt20h9nd4pgk5clp2,FBBR
2020/12/16,Brazil,BR,"São Paulo",BRSP,en,100,10,,3,1,2,,,,,,,,,limesurvey-6251,ltt20h9nd4pgk5clp2,FBBR
2020/12/16,Brazil,BR,"São Paulo",BRSP,en,100,10,,3,1,2,,,,,,,,,limesurvey-6255,ltt20h9nd4pgk5clp2,FBBR
2020/12/16,Brazil,BR,"São Paulo",BRSP,en,100,10,,3,1,2,,,,,,,,,limesurvey-6257,ltt20h9nd4pgk5clp2,FBBR
