CountryName,RegionName,Date,PredictedDailyNewCases
Afghanistan,,2021-02-08,12385.001989275275
Afghanistan,,2021-02-09,12744.966241534205
Afghanistan,,2021-02-10,14257.923355520925
Afghanistan,,2021-02-11,16102.418983447136
Afghanistan,,2021-02-12,18052.962129829124
Afghanistan,,2021-02-13,20138.550719382918
Afghanistan,,2021-02-14,22532.10717138571
Afghanistan,,2021-02-15,26759.021467490922
Afghanistan,,2021-02-16,28840.441724879594
Afghanistan,,2021-02-17,32261.73073582948
Afghanistan,,2021-02-18,36213.30783201258
Afghanistan,,2021-02-19,40482.12801829795
Afghanistan,,2021-02-20,45109.66151696374
Afghanistan,,2021-02-21,50280.46729316986
Afghanistan,,2021-02-22,57527.773203766366
Afghanistan,,2021-02-23,62862.62257589195
Afghanistan,,2021-02-24,69783.16634961653
Afghanistan,,2021-02-25,77457.04920762155
Afghanistan,,2021-02-26,85641.29733878587
Afghanistan,,2021-02-27,94334.7044592528
Afghanistan,,2021-02-28,103663.56922095681
Albania,,2021-02-08,2701.434085466147
Albania,,2021-02-09,3580.7908407071013
Albania,,2021-02-10,3840.6961299508857
Albania,,2021-02-11,3996.0283281426728
Albania,,2021-02-12,4156.176531070138
Albania,,2021-02-13,4329.893980002046
Albania,,2021-02-14,4429.307260424499
Albania,,2021-02-15,4422.199040579029
Albania,,2021-02-16,5390.106571663093
Albania,,2021-02-17,5729.662954848132
Albania,,2021-02-18,5960.604682202587
Albania,,2021-02-19,6192.3502745976875
Albania,,2021-02-20,6432.577286980541
Albania,,2021-02-21,6592.5279946097535
Albania,,2021-02-22,6640.098813421224
Albania,,2021-02-23,7657.5676298295975
Albania,,2021-02-24,8023.142971241643
Albania,,2021-02-25,8263.376707803633
Albania,,2021-02-26,8486.806976367596
Albania,,2021-02-27,8698.608456804646
Albania,,2021-02-28,8807.688905287836
Algeria,,2021-02-08,1486.6374774836881
Algeria,,2021-02-09,1728.1449156323797
Algeria,,2021-02-10,1916.1716867377932
Algeria,,2021-02-11,2109.232613296085
Algeria,,2021-02-12,2318.414060295265
Algeria,,2021-02-13,2516.995229804531
Algeria,,2021-02-14,2733.421751736835
Algeria,,2021-02-15,3049.429997951981
Algeria,,2021-02-16,3477.3920708156693
Algeria,,2021-02-17,3875.4130417898677
Algeria,,2021-02-18,4305.097924943644
Algeria,,2021-02-19,4781.075759476798
Algeria,,2021-02-20,5280.705046108571
Algeria,,2021-02-21,5837.1977392518675
Algeria,,2021-02-22,6537.676767234401
Algeria,,2021-02-23,7400.291875149642
Algeria,,2021-02-24,8289.194203988549
Algeria,,2021-02-25,9272.333313149074
Algeria,,2021-02-26,10370.916929806775
Algeria,,2021-02-27,11569.226146168128
Algeria,,2021-02-28,12907.911534463565
Andorra,,2021-02-08,27.009573947063142
Andorra,,2021-02-09,30.808122813047596
Andorra,,2021-02-10,10.774040123143836
Andorra,,2021-02-11,0.0
Andorra,,2021-02-12,109.22032680496618
Andorra,,2021-02-13,62.12545065880478
Andorra,,2021-02-14,0.0
Andorra,,2021-02-15,21.1044394364735
Andorra,,2021-02-16,25.089188308724836
Andorra,,2021-02-17,5.226370675218704
Andorra,,2021-02-18,0.0
Andorra,,2021-02-19,104.02646876976088
Andorra,,2021-02-20,56.84135562151374
Andorra,,2021-02-21,0.0
Andorra,,2021-02-22,16.016755999835052
Andorra,,2021-02-23,20.20101593980384
Andorra,,2021-02-24,0.5181280260951269
Andorra,,2021-02-25,0.0
Andorra,,2021-02-26,99.65554673689704
Andorra,,2021-02-27,52.38227828950198
Andorra,,2021-02-28,0.0
Angola,,2021-02-08,709.6878557584594
Angola,,2021-02-09,867.3364450683746
Angola,,2021-02-10,991.2005860663028
Angola,,2021-02-11,1087.6564926393266
Angola,,2021-02-12,1173.8763779440606
Angola,,2021-02-13,1288.504869556848
Angola,,2021-02-14,1365.7042066349732
