"date","region","regionname","population","sample_size","reach","cases","recentcases","fatalities","cases_est","cases_low","cases_high","p_cases","p_cases_low","p_cases_high","recentcases_est","recentcases_low","recentcases_high","p_recentcases","p_recentcases_low","p_recentcases_high","p_recenthospital","p_recenthospital_low","p_recenthospital_high","recentcasesnursing_est","recentcasesnursing_low","recentcasesnursing_high","fatalities_est","fatalities_low","fatalities_high","hospital_est","hospital_low","hospital_high","icu_est","icu_low","icu_high","p_recovered","p_recovered_low","p_recovered_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recentcasesnursing","p_recentcasesnursing_low","p_recentcasesnursing_high","p_stillsick","p_stillsick_low","p_stillsick_high","p_hospital","p_hospital_low","p_hospital_high","p_severe","p_severe_low","p_severe_high","p_icu","p_icu_low","p_icu_high","p_tested","p_tested_low","p_tested_high","p_positive","p_positive_low","p_positive_high","p_cases_smooth","p_cases_smooth_low","p_cases_smooth_high","p_cases_low_smooth","p_cases_low_smooth_low","p_cases_low_smooth_high","p_cases_high_smooth","p_cases_high_smooth_low","p_cases_high_smooth_high","p_recentcases_smooth","p_recentcases_smooth_low","p_recentcases_smooth_high","p_recentcases_low_smooth","p_recentcases_low_smooth_low","p_recentcases_low_smooth_high","p_recentcases_high_smooth","p_recentcases_high_smooth_low","p_recentcases_high_smooth_high"
"2020/10/01","ESMRC","Rivas Barrio Centro",36332,17,290,14,11,NA,4238.73333333333,2151.92540555799,6325.54126110867,0.116666666666667,0.0592294782989649,0.174103855034368,1378.11034482759,579.30889599601,2176.91179365916,0.0379310344827586,0.0159448666738966,0.0599172022916207,0.0103448275862069,0,0.0219901809151654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143540391463268,0.129442661476053,0.157638121450484,0.0803613359295405,0.0734531921650707,0.0872694796940102,0.209009367374449,0.187974649620083,0.230044085128815,0.043260479642188,0.0396682197410828,0.0468527395432932,0.0184360456952221,0.0167486217577666,0.0201234696326777,0.0672843398760307,0.0618041294799817,0.0727645502720798
"2020/10/01","ESMRE","Rivas Barrio Este",17394,14,461,19,12,NA,1332.60483870968,756.814229975177,1908.39544744418,0.0766129032258065,0.0435100741620776,0.109715732289535,452.772234273319,199.953086985355,705.591381561283,0.0260303687635575,0.01149552069595,0.0405652168311649,0.00223713646532438,0,0.00661693602587891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0713032278633986,0.0659789517612779,0.0766275039655192,0.0313859033320168,0.0267704979967211,0.0360013086673125,0.103670048821343,0.0965982833638606,0.110741814278824,0.0266737697142017,0.0240554221058521,0.0292921173225512,0.0119322937447075,0.0116999819799508,0.0121646055094642,0.0361416881918883,0.0304201877433985,0.041863188640378
"2020/10/01","ESMRO","Rivas Barrio Oeste",39940,35,794,47,9,NA,4107.61487964989,2995.31290356526,5219.91685573452,0.102844638949672,0.0749953155624752,0.130693962336868,452.72040302267,158.629574406575,746.811231638765,0.0113350125944584,0.00397169690552266,0.0186983282833942,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107378969276521,0.103002014462928,0.111755924090114,0.069590839817888,0.0657051519084701,0.0734765277273059,0.150245624808601,0.142840804236082,0.15765044538112,0.00952990467723473,0.0075870080134167,0.0114728013410528,0.00407902111870443,0.00305962803486153,0.00509841420254733,0.0162460948143799,0.0135237527563571,0.0189684368724028
"2020/10/01","ESMAR","Arganda del Rey",55389,5,208,20,5,NA,7011.26582278481,4139.55618295899,9882.97546261063,0.126582278481013,0.0747360700312154,0.17842848693081,1331.46634615385,178.51857492577,2484.41411738192,0.0240384615384615,0.00322299689335013,0.044853926183573,0.00480769230769231,0,0.0142079175778743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0796982181455365,0.0726601595535792,0.0867362767374938,0.0430273853707934,0.0364237754733412,0.0496309952682455,0.117804799239652,0.109720976235482,0.125888622243822,0.023196077915724,0.0184563765118645,0.0279357793195836,0.00390017869775295,0.00286796334842192,0.00493239404708398,0.0447779437887564,0.0350440599754482,0.0545118276020646
