"date","region","regionname","population","sample_size","reach","cases","recentcases","fatalities","cases_est","cases_low","cases_high","p_cases","p_cases_low","p_cases_high","recentcases_est","recentcases_low","recentcases_high","p_recentcases","p_recentcases_low","p_recentcases_high","p_recenthospital","p_recenthospital_low","p_recenthospital_high","recentcasesnursing_est","recentcasesnursing_low","recentcasesnursing_high","fatalities_est","fatalities_low","fatalities_high","hospital_est","hospital_low","hospital_high","icu_est","icu_low","icu_high","p_recovered","p_recovered_low","p_recovered_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recentcasesnursing","p_recentcasesnursing_low","p_recentcasesnursing_high","p_stillsick","p_stillsick_low","p_stillsick_high","p_hospital","p_hospital_low","p_hospital_high","p_severe","p_severe_low","p_severe_high","p_icu","p_icu_low","p_icu_high","p_tested","p_tested_low","p_tested_high","p_positive","p_positive_low","p_positive_high","p_cases_smooth","p_cases_low_smooth","p_cases_high_smooth"
"2020/07/30","ESMAR","Arganda del Rey",55389,18,437,42,0,2,5323.42791762014,3792.78934681646,6854.06648842381,0.0961098398169336,0.0684754977850559,0.123744181848811,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,255.248847926267,0,608.183168228237,1148.6198156682,406.023584250035,1891.21604708637,1020.99539170507,320.045756260492,1721.94502714965,0.0921658986175115,0.0649519473139892,0.119379849921034,0.00460829493087558,0,0.0109802157148213,NA,NA,NA,0,0,0,0.0207373271889401,0.00733040105887514,0.034144253319005,0.0138248847926267,0.00283960794254474,0.0248101616427087,0.0184331797235023,0.00577814649588352,0.0310882129511211,0.0786240786240786,0.0524755593904583,0.104772597857699,0.5,0.32676202195629,0.67323797804371,0.0871751091499481,0.0758270807781255,0.107469150124323
"2020/07/31","ESMAR","Arganda del Rey",55389,21,523,48,0,2,5459.28542094456,3992.95767493204,6925.61316695708,0.0985626283367557,0.0720893620562212,0.12503589461729,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,228.880165289256,0,545.429999145809,1029.96074380165,363.351038275222,1696.57044932808,915.520661157025,286.373787555733,1544.66753475832,0.0950413223140496,0.068913932815051,0.121168711813048,0.00413223140495868,0,0.00984726207632939,NA,NA,NA,0,0,0,0.0185950413223141,0.00655998552555962,0.0306300971190685,0.012396694214876,0.00253912983694765,0.0222542585928044,0.0165289256198347,0.00517022852110947,0.0278876227185599,0.0831509846827133,0.0578362954254145,0.108465673940012,0.447368421052632,0.289277545703789,0.605459296401474,0.0872439889730153,0.0758462193134373,0.107469364268484
"2020/08/01","ESMAR","Arganda del Rey",55389,28,730,60,1,2,4788.67435158501,3630.55674568851,5946.79195748152,0.0864553314121038,0.0655465299190906,0.107364132905117,84.9524539877301,0,251.328468279674,0.00153374233128834,0,0.00453751590170745,NA,NA,NA,NA,NA,NA,161.483965014577,0,384.958730685807,807.419825072886,310.645902804919,1304.19374734085,796.327476038339,279.823163083281,1312.8317889934,0.0868055555555556,0.063812735519216,0.109798375591895,0.00291545189504373,0,0.00695009353275574,NA,NA,NA,0,0,0,0.0145772594752187,0.00560844035467185,0.0235460785957655,0.00958466453674121,0.00195231834397576,0.0172170107295067,0.0143769968051118,0.00505196271973281,0.0237020308904908,0.115963855421687,0.0916104115057459,0.140317299337628,0.266666666666667,0.166585458718679,0.366747874614654,0.0873188527817516,0.0758653577537645,0.107469599612564
"2020/08/02","ESMAR","Arganda del Rey",55389,33,860,60,1,2,4693.98305084746,3557.70437362889,5830.26172806603,0.0847457627118644,0.0642312439948164,0.105260281428912,71.2857142857143,0,210.913209693491,0.00128700128700129,0,0.00380785371993521,NA,NA,NA,NA,NA,NA,158.254285714286,0,377.265959641349,791.271428571429,304.360972553497,1278.18188458936,692.3625,215.596598308264,1169.12840169174,0.0847457627118644,0.0622732333964862,0.107218292027243,0.00285714285714286,0,0.00681120727294859,NA,NA,NA,0,0,0,0.0142857142857143,0.00549497143031102,0.0230764571411175,0.009375,0.00190882123471275,0.0168411787652873,0.0125,0.00389240820936041,0.0211075917906396,0.113569321533923,0.0896864716540992,0.137452171413747,0.25974025974026,0.161799283424358,0.357681236056161,0.0874048232075897,0.0758844960220437,0.107469874849137
"2020/08/03","ESMAR","Arganda del Rey",55389,37,960,61,1,2,4765.48519040903,3622.19972300937,5908.77065780868,0.0860366713681241,0.0653956511763955,0.106677691559853,63.519495412844,0,187.944012983333,0.00114678899082569,0,0.00339316494219671,NA,NA,NA,NA,NA,NA,158.028530670471,0,376.728224067513,790.142653352354,303.921765338532,1276.36354136618,691.282371294852,215.255554031128,1167.30918855858,0.0930626057529611,0.0696402480437397,0.116484963462182,0.00285306704707561,0,0.00680149892699838,NA,NA,NA,0,0,0,0.014265335235378,0.00548704192779311,0.023043628542963,0.0093603744149766,0.00190578832533553,0.0168149605046177,0.0124804992199688,0.00388625095291714,0.0210747474870205,0.114874815905744,0.0908904651435302,0.138859166667957,0.256410256410256,0.159507711788644,0.353312801031869,0.0875157466928904,0.0759036339770764,0.107470250401443
"2020/08/04","ESMAR","Arganda del Rey",55389,59,1502,100,1,2,4791.43598615917,3893.86909674414,5689.0028755742,0.0865051903114187,0.0703004043536467,0.102709976269191,39.5071326676177,0,116.912069867965,0.000713266761768902,0,0.00211074527194867,NA,NA,NA,NA,NA,NA,98.3818827708703,0,234.608566098742,688.673179396092,330.180376560329,1047.16598223186,519.596622889306,199.06729897614,840.125946802472,0.0911736178467507,0.0736027256045473,0.108744510088954,0.00177619893428064,0,0.0042356526765015,NA,NA,NA,0,0,0,0.0124333925399645,0.00596111821048094,0.018905666869448,0.00844277673545966,0.00295026450881708,0.0139352889621022,0.00938086303939963,0.00359398615205438,0.0151677399267449,0.105113636363636,0.0866154305409292,0.123611842186344,0.333333333333333,0.245637220251636,0.421029446415031,0.0876741934909427,0.0759227714135292,0.107470828423392
"2020/08/05","ESMAR","Arganda del Rey",55389,75,1841,114,1,4,4619.1265544989,3807.33074576493,5430.92236323288,0.0833942940746159,0.0687380300378221,0.0980505581114098,32.0167630057803,0,94.7503264468781,0.000578034682080925,0,0.00171063435784864,NA,NA,NA,NA,NA,NA,166.45830202855,3.57746617934273,329.339137877757,675.990846681922,346.788855463273,1005.19283790057,490.958098307816,202.114436921241,779.801759694392,0.0849514563106796,0.069408045092938,0.100494867528421,0.00300525920360631,6.45880261305083e-05,0.00594593038108211,NA,NA,NA,0.00078125,0,0.0023118736125131,0.0122044241037376,0.00626096978575661,0.0181478784217186,0.00865460267505901,0.00356233317019317,0.0137468721799249,0.0088638195004029,0.00364899956527904,0.0140786394355268,0.108129439621152,0.0910299686596426,0.125228910582662,0.343065693430657,0.26357113085082,0.422560256010493,0.0879383800262709,0.0759419081017175,0.107472074685006
"2020/08/06","ESMAR","Arganda del Rey",55389,63,1544,87,1,2,4470.16975881262,3569.55319993683,5370.78631768841,0.0807050092764379,0.0644451642011379,0.0969648543517378,38.7335664335664,0,114.623412799803,0.000699300699300699,0,0.00206942556825006,NA,NA,NA,0,0,0,107.135396518375,0,255.471085715668,491.618343195266,171.862147297332,811.374539093201,239.779220779221,5.30906718042847,474.249374378013,0.0851970181043663,0.0673407261539005,0.103053310054832,0.00193423597678917,0,0.00461230723998751,0,0,0,0.00101729399796541,0,0.0030101391669069,0.00887573964497041,0.00310282090843546,0.0146486583815054,0.00718685831622177,0.00188202291961852,0.012491693712825,0.00432900432900433,9.5850569254337e-05,0.00856215808875432,0.113095238095238,0.0935438103217216,0.132646665868755,0.333333333333333,0.246798809459819,0.419867857206848,0.0885075902238317,0.0759610437257072,0.107475902163241
"2020/08/07","ESMAR","Arganda del Rey",55389,68,1628,91,1,2,4667.03611111111,3749.43311240776,5584.63910981447,0.0842592592592593,0.0676927388544252,0.100825779664093,36.7057654075547,0,108.623902047179,0.000662690523525514,0,0.00196110964356062,NA,NA,NA,0,0,0,106.928571428571,0,254.978175238449,490.650590551181,171.521023150153,809.780157952209,244.543046357616,5.42487359713995,483.661219118092,0.0892667375132837,0.0710490306414435,0.107484444385124,0.00193050193050193,0,0.0046034081719917,0,0,0,0,0,0,0.00885826771653543,0.00309666221000836,0.0146198732230625,0.00717213114754098,0.00187812705067394,0.012466135244408,0.00441501103752759,9.7941352924587e-05,0.0087320807221306,0.124752475247525,0.104373730228275,0.145131220266774,0.396825396825397,0.311400576965198,0.482250216685595,0.0896255576998528,0.0759801779458664,0.107536698806289
"2020/08/08","ESMAR","Arganda del Rey",55389,66,1523,86,0,2,5144.11879049676,4108.63333280825,6179.60424818527,0.0928725701943845,0.0741777849899483,0.111567355398821,0,0,0,0,0,0,NA,NA,NA,0,0,0,125.598639455782,0,299.468806609091,514.051044083527,159.495202153537,868.606886013516,272.852216748768,6.12136756455587,539.583065932981,0.0925306577480491,0.0735674992456409,0.111493816250457,0.00226757369614512,0,0.00540664764861417,0,0,0,0,0,0,0.00928074245939675,0.00287954651922832,0.0156819383995652,0.00793650793650794,0.0020805458021111,0.0137924700709048,0.00492610837438424,0.000110515942958997,0.00974170080580948,0.0946261682242991,0.0750182808053561,0.114234055643242,0.432098765432099,0.32422061280409,0.539976918060108,0.0917472208423113,0.0759993103734527,0.108907455460738
