"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,8414240,0.111111111111111,0.111111111111111,0,0,45,0.0928209685842789,0.0928209685842789,0.000823086176926814,0.000823086176926814,730,730,1.52025438496152,1.36582737088771,0.374073557242209,0.322597885884271,47026208,0.14,0.14,0,0,50,1.52025438496152,1.36582737088771,157,0.374073557242209,0.322597885884271,157,1.18685960598531,1.06973380304043,0.283717625541193,0.244675691226234
"2","ES","ESAN","ESCO",782979,0.116666666666667,0.116666666666667,0,0,60,8414240,0.111111111111111,0.111111111111111,0,0,45,0.0928209685842789,0.0928209685842789,0.000823086176926814,0.000823086176926814,730,730,1.52025438496152,1.36582737088771,0.374073557242209,0.322597885884271,47026208,0.14,0.14,0,0,50,1.52025438496152,1.36582737088771,157,0.374073557242209,0.322597885884271,157,1.18685960598531,1.06973380304043,0.283717625541193,0.244675691226234
"3","ES","ESAN","ESGR",914678,0.05,0.05,0,0,20,8414240,0.111111111111111,0.111111111111111,0,0,45,0.0928209685842789,0.0928209685842789,0.000823086176926814,0.000823086176926814,730,730,1.52025438496152,1.36582737088771,0.374073557242209,0.322597885884271,47026208,0.14,0.14,0,0,50,1.52025438496152,1.36582737088771,157,0.374073557242209,0.322597885884271,157,1.18685960598531,1.06973380304043,0.283717625541193,0.244675691226234
"4","ES","ESAN","ESH",521870,0.16,0.16,0,0,50,8414240,0.111111111111111,0.111111111111111,0,0,45,0.0928209685842789,0.0928209685842789,0.000823086176926814,0.000823086176926814,730,730,1.52025438496152,1.36582737088771,0.374073557242209,0.322597885884271,47026208,0.14,0.14,0,0,50,1.52025438496152,1.36582737088771,157,0.374073557242209,0.322597885884271,157,1.18685960598531,1.06973380304043,0.283717625541193,0.244675691226234
"5","ES","ESAN","ESCA",1240155,0.06,0.06,0,0,50,8414240,0.111111111111111,0.111111111111111,0,0,45,0.0928209685842789,0.0928209685842789,0.000823086176926814,0.000823086176926814,730,730,1.52025438496152,1.36582737088771,0.374073557242209,0.322597885884271,47026208,0.14,0.14,0,0,50,1.52025438496152,1.36582737088771,157,0.374073557242209,0.322597885884271,157,1.18685960598531,1.06973380304043,0.283717625541193,0.244675691226234
"6","ES","ESAN","ESJ",633564,0.02,0.02,0.01,0.01,200,8414240,0.111111111111111,0.111111111111111,0,0,45,0.0928209685842789,0.0928209685842789,0.000823086176926814,0.000823086176926814,730,730,1.52025438496152,1.36582737088771,0.374073557242209,0.322597885884271,47026208,0.14,0.14,0,0,50,1.52025438496152,1.36582737088771,157,0.374073557242209,0.322597885884271,157,1.18685960598531,1.06973380304043,0.283717625541193,0.244675691226234
"7","ES","ESAN","ESMA",1661785,0.05,0.05,0,0,200,8414240,0.111111111111111,0.111111111111111,0,0,45,0.0928209685842789,0.0928209685842789,0.000823086176926814,0.000823086176926814,730,730,1.52025438496152,1.36582737088771,0.374073557242209,0.322597885884271,47026208,0.14,0.14,0,0,50,1.52025438496152,1.36582737088771,157,0.374073557242209,0.322597885884271,157,1.18685960598531,1.06973380304043,0.283717625541193,0.244675691226234
"8","ES","ESAN","ESSE",1942389,0.166666666666667,0.166666666666667,0,0,150,8414240,0.111111111111111,0.111111111111111,0,0,45,0.0928209685842789,0.0928209685842789,0.000823086176926814,0.000823086176926814,730,730,1.52025438496152,1.36582737088771,0.374073557242209,0.322597885884271,47026208,0.14,0.14,0,0,50,1.52025438496152,1.36582737088771,157,0.374073557242209,0.322597885884271,157,1.18685960598531,1.06973380304043,0.283717625541193,0.244675691226234
"9","ES","ESAR","ESTE",134137,0.05,0.05,0,0,200,1319291,0,0,0,0,27,0.0217942440295583,0.0217942440295583,0,0,260,260,1.52025438496152,1.36582737088771,0.374073557242209,0.322597885884271,47026208,0.14,0.14,0,0,50,1.52025438496152,1.36582737088771,157,0.374073557242209,0.322597885884271,157,1.18685960598531,1.06973380304043,0.283717625541193,0.244675691226234
"10","ES","ESAR","ESHU",220461,0.1,0.1,0,0,50,1319291,0,0,0,0,27,0.0217942440295583,0.0217942440295583,0,0,260,260,1.52025438496152,1.36582737088771,0.374073557242209,0.322597885884271,47026208,0.14,0.14,0,0,50,1.52025438496152,1.36582737088771,157,0.374073557242209,0.322597885884271,157,1.18685960598531,1.06973380304043,0.283717625541193,0.244675691226234
"11","ES","ESAR","ESZ",964693,0,0,0,0,10,1319291,0,0,0,0,27,0.0217942440295583,0.0217942440295583,0,0,260,260,1.52025438496152,1.36582737088771,0.374073557242209,0.322597885884271,47026208,0.14,0.14,0,0,50,1.52025438496152,1.36582737088771,157,0.374073557242209,0.322597885884271,157,1.18685960598531,1.06973380304043,0.283717625541193,0.244675691226234
