"date","population","total_responses","pct_cli","pct_cli_smooth","number_cli","batched_pct_cli","batched_pct_cli_smooth","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_symptom"
2020-04-23,5517919,122,3.2787,1.99909284124154,4.000014,NA,1.02609973499458,56619.3522362154,56619.3522362154,110308.323714507,110308.323714507,15000,1.02609973499458
2020-04-24,5517919,921,0.76,1.72021861413423,6.9996,1.05461303930968,1.00744171630912,55589.8178781472,112209.170114363,94920.2697508496,205228.593465357,15000,1.00744171630912
2020-04-25,5517919,597,1.34,1.49669095650879,7.9998,1.34,0.989132512704126,54579.5308536784,166788.700968041,82586.1946604805,287814.788125837,15000,0.989132512704126
2020-04-26,5517919,641,0.936,1.31722115702983,5.99976,0.936,0.971175520919383,53588.6785921596,220377.379560201,72683.196495769,360497.984621606,15000,0.971175520919383
2020-04-27,5517919,667,0.4498,1.17312311114396,3.000166,0.4498,0.953570454936997,52617.245311355,272994.624871556,64731.9830432039,425229.96766481,15000,0.953570454936997
2020-04-28,5517919,581,1.2048,1.05771112448354,6.999888,1.2048,0.936316684274684,51665.1962217628,324659.821093318,58363.6431029907,483593.610767801,15000,0.936316684274684
2020-04-29,5517919,553,0.7233,0.965849368615827,3.999849,0.723299999999999,0.919413255103337,50732.4786918655,375392.299785184,53294.7858222327,536888.396590033,15000,0.919413255103337
2020-04-30,5517919,461,0.8677,0.893615789230149,4.000097,0.867700000000001,0.902858910871287,49819.0233861598,425211.323171344,49308.9954209303,586197.392010964,15000,0.902858910871287
2020-05-01,5517919,463,1.0799,0.838053281355417,4.999937,1.0799,0.886652112415536,48924.7453748782,474136.068546222,46243.101242034,632440.493252998,15000,0.886652112415536
2020-05-02,5517919,425,1.4118,0.79682131566515,6.00015,1.4118,0.870791057543485,48049.5452144929,522185.613760715,43967.9547731373,676408.448026135,15000,0.870791057543485
2020-05-03,5517919,1320,0.6061,0.767237407797101,8.00052,0.6061,0.855274054425134,47193.3295511948,569378.94331191,42335.5386999437,718743.986726079,15000,0.855274054425134
2020-05-04,5517919,1376,0.7994,0.746900996301611,10.999744,0.7994,0.840100841833776,46356.0839707059,615735.027282616,41213.3919861159,759957.378712195,15000,0.840100841833776
2020-05-05,5517919,1316,1.0638,0.733913977312426,13.999608,1.0638,0.825271306493663,45537.8022225621,661272.829505178,40496.778797778,800454.157509973,15000,0.825271306493663
2020-05-06,5517919,1287,0.6216,0.726708997087422,7.999992,0.621600000000003,0.810784975747207,44738.4582259005,706011.287731078,40099.2138249963,840553.371334969,15000,0.810784975747207
2020-05-07,5517919,1227,0.652,0.723925009721777,8.00004,0.651999999999999,0.796641044385646,43958.007549954,749969.295281032,39945.5956571898,880498.966992159,15000,0.796641044385646
2020-05-08,5517919,1236,0.4854,0.724317030975909,5.999544,0.485400000000001,0.782838400884277,43196.3888616897,793165.684142722,39967.2270724555,920466.194064614,15000,0.782838400884277
2020-05-09,5517919,1210,0.7438,0.726691856427421,8.99998,0.743800000000001,0.769375652914596,42453.5253335486,835619.20947627,40098.2680172614,960564.462081876,15000,0.769375652914596
2020-05-10,5517919,1278,0.626,0.729882521689771,8.00028,0.626,0.756251152119084,41729.3260104978,877348.535486768,40274.326341999,1000838.78842387,15000,0.756251152119084
2020-05-11,5517919,1294,0.7728,0.733080256106226,10.000032,0.772799999999998,0.743463036933501,41023.6881729306,918372.223659699,40450.7747369341,1041289.56316081,15000,0.743463036933501
2020-05-12,5517919,1165,0.6867,0.735823172108993,8.000055,0.6867,0.731009430954872,40336.5082824508,958708.73194215,40602.1266202048,1081891.68978101,15000,0.731009430954872
2020-05-13,5517919,1130,0.9735,0.737657806083625,11.00055,0.973499999999998,0.718888372665288,39667.6781040887,998376.410046238,40703.3602368715,1122595.05001789,15000,0.718888372665288
2020-05-14,5517919,1232,1.0552,0.738128775900541,13.000064,1.0552,0.707097716954187,39017.0792723813,1037393.48931862,40729.3479698834,1163324.39798777,15000,0.707097716954187
2020-05-15,5517919,1186,0.5902,0.736785735232814,6.999772,0.590200000000001,0.695635155987641,38384.5844429217,1075778.07376154,40655.2400737011,1203979.63806147,15000,0.695635155987641
2020-05-16,5517919,1371,0.6565,0.733193027763651,9.000615,0.656499999999998,0.684498240973701,37770.0584933536,1113548.13225489,40456.9973856458,1244436.63544712,15000,0.684498240973701
2020-05-17,5517919,1203,0.665,0.726941822791635,7.99995,0.665000000000002,0.673684403187232,37173.3596835049,1150721.4919384,40112.060958766,1284548.69640588,15000,0.673684403187232
2020-05-18,5517919,1260,0.873,0.717665279634509,10.9998,0.873000000000001,0.663190974270493,36594.3407755566,1187315.83271396,39600.1888213557,1324148.88522724,15000,0.663190974270493
