"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_symptom","p_symptom_high","p_symptom_low"
2020-04-24,43993643,955,1.5707,1.30839088031547,1.08629875864021,1.53048300199073,15.000185,NA,1.1839274202888,1.02115270464291,1.3467021359347,520852.802660965,520852.802660965,575608.812930544,575608.812930544,1000,1.1839274202888,1.3467021359347,1.02115270464291
2020-04-25,43993643,4025,1.6646,1.28495428868275,1.07989840781133,1.49001016955418,67.00015,NA,1.17362665690178,1.02356270112363,1.32369061267993,516321.121590205,1037173.92425117,565298.20247628,1140907.01540682,1000,1.17362665690178,1.32369061267993,1.02356270112363
2020-04-26,43993643,2601,1.0381,1.26203128797196,1.07243872927118,1.45162384667274,27.000981,NA,1.16341551533156,1.02562816141,1.30120286925312,511828.868421575,1549002.79267275,555213.539378686,1696120.55478551,1000,1.16341551533156,1.30120286925312,1.02562816141
2020-04-27,43993643,2131,1.3609,1.23964654237402,1.06395127248619,1.41534181226185,29.000779,NA,1.15329321582329,1.02729901086379,1.27928742078278,507375.700112516,2056378.49278526,545365.674313871,2241486.22909938,1000,1.15329321582329,1.27928742078278,1.02729901086379
2020-04-28,43993643,2108,1.2334,1.21782242358528,1.05447419157053,1.38117065560003,26.000072,NA,1.1432589854064,1.02850784865222,1.25801012216057,502961.276605113,2559339.76939037,535764.449406054,2777250.67850544,1000,1.1432589854064,1.25801012216057,1.02850784865222
2020-04-29,43993643,2133,1.2658,1.19657916001073,1.0440655743378,1.34909274568365,26.999514,NA,1.13331205783555,1.02916358137299,1.2374605342981,498585.260800125,3057925.0301905,526418.763867517,3303669.44237295,1000,1.13331205783555,1.2374605342981,1.02916358137299
2020-04-30,43993643,1965,1.4249,1.17593498825028,1.03281311811486,1.3190568583857,27.999285,NA,1.12345167353212,1.02914320305566,1.21776014400857,494247.318531245,3552172.34872174,517336.64064292,3821006.08301587,1000,1.12345167353212,1.21776014400857,1.02914320305566
2020-05-01,43993643,1548,1.1628,1.15590630604002,1.02083754051528,1.29097507156476,18.000144,NA,1.11367707952619,1.02828234969883,1.19907180935355,489947.118539579,4042119.46726132,508525.293693732,4329531.37670961,1000,1.11367707952619,1.19907180935355,1.02828234969883
2020-05-02,43993643,1256,0.8758,1.13650782593162,1.00828732500164,1.26472832686161,11.000048,NA,1.10398752939908,1.02636742203191,1.18160763676626,485684.332448353,4527803.79970968,499991.19560742,4829522.57231703,1000,1.10398752939908,1.18160763676626,1.02636742203191
2020-05-03,43993643,2593,1.157,1.11775117520238,0.995316774473399,1.24018557593136,30.00101,1.08749635384648,1.09437899580742,1.02313176530053,1.16562622631432,481457.188482502,5009260.98819218,491739.46164684,5321262.03396387,1000,1.09437899580742,1.16562622631432,1.02313176530053
2020-05-04,43993643,3271,0.8254,1.09963700277093,0.982029538536328,1.21724446700553,26.998834,NA,1.08469792605212,1.01819238187478,1.15120347022946,477198.133215772,5486459.12140795,483770.377294942,5805032.41125881,1000,1.08469792605212,1.15120347022946,1.01819238187478
2020-05-05,43993643,3261,0.92,1.08216170675742,0.96850321973723,1.19582019377761,30.0012,NA,1.07487504138001,1.01166746504956,1.13808261771045,472876.688400823,5959335.80980877,476082.357953565,6281114.76921237,1000,1.07487504138001,1.13808261771045,1.01166746504956
2020-05-06,43993643,3222,0.9932,1.06532147555821,0.95481997140598,1.17582297971044,32.000904,NA,1.06492972288187,1.00388931587305,1.12597012989069,468501.38048554,6427837.19029431,468673.72675941,6749788.49597178,1000,1.06492972288187,1.12597012989069,1.00388931587305
2020-05-07,43993643,3271,1.0089,1.04911235711058,0.941076190771381,1.15714852344979,33.001119,NA,1.05488086017732,0.995179527631703,1.11458219272293,464080.519701738,6891917.70999605,461542.745056115,7211331.2410279,1000,1.05488086017732,1.11458219272293,0.995179527631703
2020-05-08,43993643,3326,0.7817,1.03353031728906,0.927384989408437,1.13967564516968,25.999342,NA,1.0447468326753,0.985819936654959,1.10367372869563,459622.191820977,7351539.90181703,454687.638084916,7666018.87911282,1000,1.0447468326753,1.10367372869563,0.985819936654959
2020-05-09,43993643,3018,0.8946,1.01857129661429,0.913871682278041,1.12327091095054,26.999028,NA,1.03454549391048,0.976037076946927,1.09305391087404,455134.251263565,7806674.15308059,448106.619932961,8114125.49904578,1000,1.03454549391048,1.09305391087404,0.976037076946927
2020-05-10,43993643,3134,1.053,1.00423126540872,0.900663517922079,1.10779901289536,33.00102,NA,1.024294158842,0.965999956173714,1.08258836151028,450624.315510801,8257298.46859139,441797.917798296,8555923.41684407,1000,1.024294158842,1.08258836151028,0.965999956173714
2020-05-11,43993643,3355,0.8048,0.990505666423267,0.887873143561083,1.09313818928545,27.00104,NA,1.01400959399457,0.955826518041666,1.07219266994747,446099.760767719,8703398.22935911,435759.526781023,8991682.94362509,1000,1.01400959399457,1.07219266994747,0.955826518041666
2020-05-12,43993643,3239,0.7718,0.977377074265056,0.87554120239083,1.07921294613928,24.998602,NA,1.00370801031722,0.945593899563768,1.06182212107068,441567.718821362,9144965.94818047,429983.780816014,9421666.72444111,1000,1.00370801031722,1.06182212107068,0.945593899563768
2020-05-13,43993643,2686,1.0052,0.964816520004633,0.86364442409589,1.06598861591338,26.999672,NA,0.99340505863064,0.935349221862634,1.05146089539865,437035.075037904,9582001.02321838,424457.935415862,9846124.65985697,1000,0.99340505863064,1.05146089539865,0.935349221862634
2020-05-14,43993643,2749,1.2368,0.952796005951695,0.852156352474021,1.05343565942937,33.999632,NA,0.983115827531602,0.925119310869155,1.04111234419405,432508.467440749,10014509.4906591,419169.673376647,10265294.3332336,1000,0.983115827531602,1.04111234419405,0.925119310869155
2020-05-15,43993643,3062,0.7185,0.941288932870855,0.841061184177708,1.041516681564,22.00047,NA,0.972854843621371,0.914918796282536,1.03079089096021,427994.286810994,10442503.7774701,414107.292725714,10679401.6259593,1000,0.972854843621371,1.03079089096021,0.914918796282536
2020-05-16,43993643,3112,0.964,0.930270006456689,0.830359246144239,1.03018076676914,29.99968,NA,0.962636073924171,0.904756537402396,1.02051561044595,423498.677751416,10866002.4552215,409259.665576633,11088661.291536,1000,0.962636073924171,1.02051561044595,0.904756537402396
2020-05-17,43993643,3349,0.6569,0.919715150308226,0.820066731574693,1.01936356904176,21.999581,NA,0.952472930362235,0.894640497161748,1.01030536356272,419027.5406552,11285029.9958767,404616.199843514,11493277.4913795,1000,0.952472930362235,1.01030536356272,0.894640497161748
2020-05-18,43993643,3330,1.1712,0.909601424919061,0.810210544337898,1.00899230550022,39.00096,NA,0.942378276155096,0.88458121407929,1.0001753382309,414586.534521227,11699616.530398,400166.803601805,11893444.2949813,1000,0.942378276155096,1.0001753382309,0.88458121407929
2020-05-19,43993643,3325,1.0226,0.899906969656803,0.800819027621858,0.998994911691747,34.00145,0.958144584085245,0.932364434012724,0.874594011878136,0.990134856147311,410181.080558528,12109797.6109565,395901.859562932,12289346.1545442,1000,0.932364434012724,0.990134856147311,0.874594011878136
2020-05-20,43993643,2954,1.1848,0.890615802786638,0.791897815052778,0.989333790520498,34.998992,NA,0.922443195994817,0.864700084126628,0.980186307863006,405816.36652375,12515613.9774802,391814.336779538,12681160.4913238,1000,0.922443195994817,0.980186307863006,0.864700084126628
2020-05-21,43993643,2456,0.9365,0.881724142354069,0.783410737492739,0.9800375472154,23.00044,NA,0.912625834911895,0.854926604903068,0.970325064920722,401497.351736908,12917111.3292172,387902.571432061,13069063.0627558,1000,0.912625834911895,0.970325064920722,0.854926604903068
2020-05-22,43993643,3031,1.1877,0.87323009792564,0.775318066981297,0.971142128869984,35.999187,NA,0.902923117147741,0.845306035280652,0.960540199014829,397228.772722449,13314340.1019396,384165.731849957,13453228.7946058,1000,0.902923117147741,0.960540199014829,0.845306035280652
2020-05-23,43993643,3014,1.0617,0.865131974074805,0.767591934371297,0.962672013778314,31.999638,NA,0.893345316787211,0.835874803002073,0.95081583057235,393015.149424585,13707355.2513642,380603.072153322,13833831.8667591,1000,0.893345316787211,0.95081583057235,0.835874803002073
