"date","pct_cli_weighted","pct_cli","population"
2020-05-08,6.3169,7.3394,58005461
2020-05-13,3.0238,3.7383,58005461
2020-05-15,2.9579,3.6036,58005461
2020-05-16,1.7647,1.8018,58005461
2020-05-17,2.7336,1.7699,58005461
2020-05-19,0,0,58005461
2020-05-20,4.348,3.9604,58005461
2020-05-21,3.3975,3.6364,58005461
2020-05-23,2.2292,1.8868,58005461
2020-05-24,2.659,2.7778,58005461
2020-05-25,2.7094,3.3058,58005461
2020-05-26,3.3804,3.6765,58005461
2020-05-28,2.9487,3.2,58005461
2020-05-29,6.4679,6.25,58005461
2020-05-30,5.1729,4.065,58005461
2020-05-31,5.1349,5.5046,58005461
2020-06-02,6.639,6.422,58005461
2020-06-12,2.1741,2.7027,58005461
2020-06-13,2.694,3.5088,58005461
2020-06-14,2.2727,2.4,58005461
2021-01-24,5.0805,6.3636,58005461
2021-01-26,3.5662,5.8824,58005461
