"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-05-17,9452409,542,2.214,2.85495800994066,2.27886988264383,3.43104613723749,11.99988,NA,3.09859607809468,2.45393029907866,3.74326185711069,292891.974559468,7055945.7216867,269862.307877852,6660379.99947037,1500,0.0309859607809468,0.0374326185711069,0.0245393029907866
2020-05-18,9452409,548,2.0073,2.85726709179805,2.28253219359124,3.43200199000487,11.000004,2.99204285491663,3.08631551292401,2.42992279656586,3.74270822928216,291731.165312025,7347676.88699872,270080.571739157,6930460.57120952,1500,0.0308631551292401,0.0374270822928216,0.0242992279656586
2020-05-19,9452409,516,3.4884,2.86185267366497,2.29154737921031,3.43215796811964,18.000144,NA,3.07412471593429,2.40678203094981,3.74146740091877,290578.841320197,7638255.72831892,270514.019692249,7200974.59090177,1500,0.0307412471593429,0.0374146740091877,0.0240678203094981
2020-05-20,9452409,445,2.9213,2.86877959664882,2.30473156818626,3.43282762511138,12.999785,NA,3.06201186262853,2.38443082811173,3.73959289714534,289433.884884167,7927689.61320309,271168.780783797,7472143.37168557,1500,0.0306201186262853,0.0373959289714534,0.0238443082811173
2020-05-21,9452409,358,4.1899,2.87812358187943,2.32058210576668,3.43566505799218,14.999842,NA,3.04996512057445,2.36278424502674,3.73714599612217,288295.17755404,8215984.79075713,272052.012484694,7744195.38417026,1500,0.0304996512057445,0.0373714599612217,0.0236278424502674
2020-05-22,9452409,390,4.8718,2.88996712766405,2.33763932191293,3.44229493341518,19.00002,NA,3.0379728390468,2.3417671834537,3.7341784946399,287161.618055615,8503146.40881274,273171.512872359,8017366.89704262,1500,0.030379728390468,0.037341784946399,0.023417671834537
2020-05-23,9452409,387,2.0672,2.90440011296938,2.35475751243339,3.45404271350536,8.000064,NA,3.02602354678081,2.32132203295372,3.7307250606079,286032.122078029,8789178.53089077,274535.777674327,8291902.67471695,1500,0.0302602354678081,0.037307250606079,0.0232132203295372
2020-05-24,9452409,482,2.4896,2.92152045242987,2.37133669312651,3.47170421173323,11.999872,NA,3.01410595016371,2.30141256527094,3.72679933505648,284905.62210281,9074084.15299358,276154.062182322,8568056.73689927,1500,0.0301410595016371,0.0372679933505648,0.0230141256527094
2020-05-25,9452409,497,3.2193,2.94143480887582,2.38747107310203,3.4953985446496,15.999921,NA,3.0022089318526,2.28202460501261,3.72239325869259,283781.067273239,9357865.22026682,278036.44860331,8846093.18550258,1500,0.030022089318526,0.0372239325869259,0.0228202460501261
2020-05-26,9452409,472,1.6949,2.96425937004997,2.40397301944671,3.52454572065324,7.999928,NA,2.99032154980733,2.26316388874529,3.71747921086938,282657.423302928,9640522.64356975,280193.919477947,9126287.10498053,1500,0.0299032154980733,0.0371747921086938,0.0226316388874529
