"","date","p_w_country","p_m_country"
"1","2020/04/07",NA,NA
"2","2020/04/08",NA,NA
"3","2020/04/09",NA,NA
"4","2020/04/10",NA,NA
"5","2020/04/11",0.00634666989169684,0.0052949324320266
"6","2020/04/12",0.0038335306179702,0.00452398861183388
"7","2020/04/13",0.00521655069126909,0.00744047673354364
"8","2020/04/14",0.00522176638918424,0.0082135093242123
"9","2020/04/15",0.00526762091224542,0.00788958621990364
"10","2020/04/16",0.00524410515283944,0.00783002667707572
"11","2020/04/17",0.00527352969163545,0.00787314381696855
"12","2020/04/18",0.00525147077561513,0.00780941644294215
"13","2020/04/19",0.0052545573752043,0.00787136126242113
"14","2020/04/20",0.00536993927385182,0.00793444903347814
"15","2020/04/21",0.00513574504949941,0.00774234016990674
"16","2020/04/23",0.00513625391666755,0.00774083926149081
"17","2020/04/24",0.005136557001418,0.00773994531021793
"18","2020/04/25",0.00513574504949941,0.00774234016990674
"19","2020/04/26",0.00513101426002861,0.00765976498774562
"20","2020/04/29",0.00513133289806669,0.00765909117887229
"21","2020/04/30",0.0051990522075173,0.00782819644429896
"22","2020/05/02",0.00521566500040795,0.00774441572812496
"23","2020/05/12",0.00547059868580511,0.00840789602510985
"24","2020/05/17",NA,NA
"25","2020/06/20",NA,NA
