"","date","p_cases","p_cases_recent","p_m_country","recent_p_m_country"
"1","2020/03/19",0.01,NA,0.01,NA
"2","2020/03/20",0.05,NA,0.04,NA
"3","2020/03/22",0.306489361702128,NA,0.306489361702128,NA
"4","2020/03/23",0.485274261603376,NA,0.485274261603376,NA
"5","2020/03/24",2.35779269602578,NA,2.35779269602578,NA
"6","2020/03/25",0.543975903614458,NA,0.543975903614458,NA
"7","2020/03/26",1.52718587746625,NA,1.52718587746625,NA
"8","2020/03/27",1.30190452511188,NA,1.30190452511188,NA
"9","2020/03/28",1.50034965034965,NA,1.50034965034965,NA
"10","2020/03/29",2.99263420724095,NA,2.99263420724095,NA
"11","2020/03/30",1.06568345323741,NA,1.06568345323741,NA
"12","2020/03/31",2.25591293047433,NA,2.25591293047433,NA
"13","2020/04/01",2.95942137025204,NA,2.95942137025204,NA
"14","2020/04/02",1.227166344294,NA,1.227166344294,NA
"15","2020/04/03",1.68562178975587,NA,1.68562178975587,NA
"16","2020/04/04",1.84554934823091,NA,1.84554934823091,NA
"17","2020/04/05",1.58064353946707,NA,1.58064353946707,NA
"18","2020/04/06",1.81818011257036,NA,1.81818011257036,NA
"19","2020/04/07",2.21312807881773,NA,2.21312807881773,NA
"20","2020/04/08",1.90310483870968,NA,1.90310483870968,NA
"21","2020/04/09",1.79872346816179,NA,1.79872346816179,NA
"22","2020/04/10",0.973396926338103,NA,0.973396926338103,NA
"23","2020/04/11",4.54660633484163,NA,4.54660633484163,NA
"24","2020/04/12",2.22814601344861,NA,2.22814601344861,NA
"25","2020/04/13",2.39568308590063,NA,2.4229540795408,NA
"26","2020/04/14",1.88850427350427,NA,1.88850427350427,NA
"27","2020/04/15",1.954335839599,NA,1.954335839599,NA
"28","2020/04/16",1.97673913043478,NA,1.97673913043478,NA
"29","2020/04/17",1.46352713178295,NA,1.46352713178295,NA
"30","2020/04/18",2.21537982376177,NA,2.21640534791857,NA
"31","2020/04/19",2.30068161829376,NA,2.30068161829376,NA
"32","2020/04/20",1.17413741223671,NA,1.17413741223671,NA
"33","2020/04/21",1.97115578681804,NA,1.97115578681804,NA
"34","2020/04/22",2.38679576299239,NA,2.38679576299239,NA
"35","2020/04/23",2.29383866225652,NA,2.29383866225652,NA
"36","2020/04/24",1.32598648259994,NA,1.32598648259994,NA
"37","2020/04/25",1.44785303422491,NA,1.44785303422491,NA
"38","2020/04/26",1.58970891672808,NA,1.58970891672808,NA
"39","2020/04/27",1.63495409284883,NA,1.63495409284883,NA
"40","2020/04/28",3.44311284934996,NA,3.44311284934996,NA
"41","2020/04/29",4.13785714285714,NA,4.13785714285714,NA
"42","2020/04/30",3.57057919621749,NA,3.57057919621749,NA
"43","2020/05/01",3.70918465227818,NA,3.70918465227818,NA
"44","2020/05/02",4.09906666666667,NA,4.09906666666667,NA
"45","2020/05/03",1.95510335917313,NA,1.95510335917313,NA
"46","2020/05/04",2.34114484614485,NA,2.34114484614485,NA
"47","2020/05/05",2.67429808286951,NA,2.67429808286951,NA
"48","2020/05/06",2.75916631755341,NA,2.75916631755341,NA
"49","2020/05/07",1.96207424920165,NA,2.65615708943834,NA
"50","2020/05/08",1.82557024429205,NA,2.51776226279986,NA
"51","2020/05/09",1.87812684777152,NA,2.56973168963017,NA
"52","2020/05/10",1.63136873091738,NA,2.32654412996148,NA
"53","2020/05/11",1.94700781805259,0,1.94273518123667,0
"54","2020/05/12",1.49390140312581,0.0636062229023208,1.49390140312581,0.0636062229023208
"55","2020/05/13",2.56740026227638,0.0635778635778636,2.56740026227638,0.0635778635778636
"56","2020/05/14",3.24140898727173,0.0644582935652227,3.24140898727173,0.0644582935652227
"57","2020/05/15",2.55047861102092,0.0375846148846309,2.54684644988504,0.0375846148846309
"58","2020/05/16",2.2133774558323,0.0302730029993226,2.14303647993577,0.0302730029993226
"59","2020/05/17",2.64323573742916,0.285853272345183,2.59838452795356,0.285853272345183
"60","2020/05/18",2.67613359697399,0.0851601157842087,2.67218776251969,0.0851601157842087
"61","2020/05/19",2.4466913174343,0.0859196189301378,2.44318422353983,0.0859196189301378
"62","2020/05/20",2.2507610868849,0.0841515328428638,2.24364353454995,0.0841515328428638
"63","2020/05/21",2.45293609511829,0.0833555976025883,2.44509587942366,0.0833555976025883
"64","2020/05/22",2.36474815751715,0.0837502569478665,2.35726626977932,0.0837502569478665
"65","2020/05/23",2.07922305864125,0.0837577825068888,2.07174800367761,0.0837577825068888
"66","2020/05/24",2.08474133797962,0.0839915489401207,2.07747852947458,0.0839915489401207
