"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"1",2020-04-07,0.00178571428571429,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"2",2020-04-08,0.0033921302578019,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"3",2020-04-09,0.0071609098567818,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"4",2020-04-10,0.00765654908394859,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"5",2020-04-11,0.00312963267995388,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"6",2020-04-12,0.0100072780203785,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"7",2020-04-13,0.0167992926613616,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"8",2020-04-14,0.0158773610730906,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"9",2020-04-15,0.0158773610730906,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"10",2020-04-16,0.0150142376391406,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"11",2020-04-17,0.0150142376391406,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"12",2020-04-18,0.0150142376391406,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"13",2020-04-19,0.0150142376391406,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"14",2020-04-20,0.0150142376391406,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"15",2020-04-21,0.0150142376391406,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"16",2020-04-22,0.0150142376391406,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"17",2020-04-23,0.0150142376391406,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"18",2020-04-24,0.0150142376391406,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"19",2020-04-25,0.0150142376391406,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"20",2020-04-26,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"21",2020-04-27,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"22",2020-04-28,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"23",2020-04-29,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"24",2020-04-30,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"25",2020-05-01,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"26",2020-05-02,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"27",2020-05-03,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"28",2020-05-04,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"29",2020-05-05,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"30",2020-05-06,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"31",2020-05-07,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"32",2020-05-08,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"33",2020-05-09,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"34",2020-05-10,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"35",2020-05-11,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"36",2020-05-12,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"37",2020-05-13,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"38",2020-05-14,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"39",2020-05-15,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"40",2020-05-16,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"41",2020-05-17,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"42",2020-05-18,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"43",2020-05-19,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"44",2020-05-20,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"45",2020-05-21,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
