"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_active_smooth","p_cases_active_smooth_low","p_cases_active_smooth_high"
"1",2020-03-28,0.00159235668789809,0,0,0,0.0053296810675917,0.00391070871265652,0.00674865342252687,4.46201409303081e+181,-3.58084338285811e+183,3.67008366471873e+183,0.000537569211885707,-0.00248944693095946,0.00356458535473088
"2",2020-03-29,0.00159235668789809,0,0,0,0.00537456495582684,0.00397097281100041,0.00677815710065328,1.56914931065684e+179,-1.2422755258371e+181,1.27365851205024e+181,0.000553563699548482,-0.0025335795449697,0.00364070694406666
"3",2020-03-30,0.00549450549450549,0,0,0,0.00541980787523732,0.0040315894657318,0.00680802628474284,5.51820211186788e+176,-4.30892818445563e+178,4.41929222669299e+178,0.000570034076882651,-0.00257813458694729,0.00371820274071259
"4",2020-03-31,0.00520833333333333,0,0,0,0.00546540810500992,0.00409254446919693,0.00683827174082291,1.94057725040074e+174,-1.49429738428443e+176,1.53310892929245e+176,0.000586994503202602,-0.00262309812853978,0.00379708713494499
"5",2020-04-01,0.0045045045045045,0,0,0,0.00551136379441987,0.00415382237174142,0.00686890521709833,6.82439676624591e+171,-5.18106336223485e+173,5.31755129755977e+173,0.000604459559109835,-0.00266845503882029,0.00387737415703996
"6",2020-04-02,0.00432900432900433,0,0,0,0.0055576729600345,0.0042154066371718,0.0068999392828972,2.39992462106497e+169,-1.79602504791721e+171,1.84402354033851e+171,0.000622444259027663,-0.00271418892507199,0.00395907744312732
"7",2020-04-03,0.00432900432900433,0,0,0,0.00560433348291218,0.00427727981000991,0.00693138715581445,8.43977626752574e+166,-6.2246497065207e+168,6.39344523187121e+168,0.000640964064108876,-0.00276028207111471,0.00404221019933246
"8",2020-04-04,0.00432900432900433,0,0,0,0.00565134310579862,0.00433942369414541,0.00696326251745183,2.96800252894069e+164,-2.15686912835569e+166,2.21622917893451e+166,0.000660034895527418,-0.00280671537307985,0.00412678516413468
"9",2020-04-05,0.00432900432900433,0,0,0,0.00569869943032196,0.00440181954218978,0.00699557931845413,1.04375266980654e+162,-7.47198877380086e+163,7.68073930776216e+163,0.000679673148165588,-0.00285346827253668,0.00421281456886785
"10",2020-04-06,0.00432900432900433,0,0,0,0.00574639991418863,0.00446444825447314,0.00702835157390411,3.67054820575565e+159,-2.58791033353949e+161,2.6613212976546e+161,0.000699895704708441,-0.00290051868686912,0.00430031009628601
"11",2020-04-07,0.00355871886120996,0,0,0,0.00579444186838192,0.00452729058619922,0.00706159315056462,1.29081577662206e+157,-8.96106771294828e+158,9.2192308682727e+158,0.000720719950157543,-0.00294784293679886,0.00438928283711395
"12",2020-04-08,0.00400320256204964,0,0,0,0.005842822454365,0.00459032736078292,0.00709531754794709,4.53939105489292e+154,-3.10216283871261e+156,3.19295065981047e+156,0.000742163786776596,-0.00299541567094692,0.00447974324450011
"13",2020-04-09,0.00400320256204964,0,0,0,0.00589153868129052,0.0046535396868407,0.00712953767574033,1.59636034223038e+152,-1.07364410506521e+154,1.10557131190981e+154,0.000764245649481712,-0.0030432097873215,0.00457170108628492
"14",2020-04-10,0.00431965442764579,0,0,0,0.00594058740321889,0.00471690917568848,0.00716426563074929,5.61389470840822e+149,-3.71486876598881e+151,3.82714666015697e+151,0.000786984521689602,-0.00309119635161638,0.00466516539499558
"15",2020-04-11,0.00431965442764579,0,0,0,0.00598996531634736,0.00478041815553014,0.00719951247716459,1.97422931172631e+147,-1.28502113648854e+149,1.32450572272307e+149,0.00081039995163732,-0.00313934451219974,0.00476014441547438
"16",2020-04-12,0.00474898236092266,0,0,0,0.00603966895625199,0.00484404987780112,0.00723528803470286,6.94274042839251e+144,-4.44382374334158e+146,4.58267855190943e+146,0.000834512069187556,-0.00318762141166892,0.00485664555004403
"17",2020-04-13,0.00571791613722999,0,0,0,0.00608969469514485,0.00490778871037429,0.00727160067991542,2.44154234615614e+142,-1.53631062560816e+144,1.58514147253128e+144,0.00085934160313396,-0.00323599209484241,0.00495467530111033
