"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"295",2020-10-21,"Extremadura","ESEX",1067710,458,7,16805,681,62739.581877043,62450.4353114456,63030.0671961011,1181.09049260528,6463.65638935629,8261.09134254036,0.0587608825215115,0.0584900725023139,0.0590329463956515,0.00110619034438685,0.0060537565344113,0.00773720517981508
"296",2020-10-22,"Extremadura","ESEX",1067710,446,6,17251,687,63707.9047753598,63415.7067817737,64001.4491178521,968.322898316837,7102.39950084238,9229.4142408572,0.0596677981618228,0.0593941302242872,0.0599427270680729,0.000906915640311355,0.00665199305133639,0.00864412082012644
"297",2020-10-23,"Extremadura","ESEX",1067710,485,4,17736,691,64549.6810516528,64254.4946111303,64846.2235846197,841.776276292934,7861.1002512406,10071.1905171501,0.0604561922728576,0.0601797254040239,0.060733929236047,0.00078839411103477,0.00736257996201272,0.00943251493116121
"298",2020-10-24,"Extremadura","ESEX",1067710,459,5,18195,696,65304.3060171837,65006.7995351523,65603.1740507371,754.624965530915,8481.08653110416,10825.815482681,0.0611629618690316,0.0608843220866643,0.0614428768586387,0.000706769596173975,0.00794324913235256,0.0101392845273352
"299",2020-10-25,"Extremadura","ESEX",1067710,382,1,18577,697,65330.6711530168,65033.1115190526,65629.592273979,26.3651358331481,8117.82937452498,10852.1806185142,0.0611876550308762,0.0609089654672641,0.0614676197412959,2.4693161844647e-05,0.00760302832653528,0.0101639776891798
"300",2020-10-26,"Extremadura","ESEX",1067710,547,10,19124,707,66717.3619385306,66415.9286344153,67020.1633186286,1386.69078551376,8848.3450554431,11366.3354472476,0.0624864073002319,0.0622040897195074,0.062770006198901,0.00129875226935569,0.00828721755480711,0.0106455268258681
"301",2020-10-27,"Extremadura","ESEX",1067710,476,6,19600,713,67418.4549094442,67115.2193726706,67723.0605049262,701.092970913625,8832.99802879454,11142.5294217575,0.0631430396919053,0.062859034169082,0.0634283283896622,0.000656632391673418,0.00827284377667582,0.0104359137048051
"302",2020-10-28,"Extremadura","ESEX",1067710,497,5,20097,718,68033.0833672365,67728.1797590749,68339.3596124687,614.628457792234,8825.76918762206,11427.578092719,0.0637186908123334,0.0634331230006976,0.0640055442137554,0.000575651120428051,0.00826607336039005,0.0107028857018469
"303",2020-10-29,"Extremadura","ESEX",1067710,570,6,20667,724,68925.9527539552,68618.3985222495,69234.8854731727,892.869386718739,9227.51058255335,12237.371953543,0.0645549379081915,0.0642668875652091,0.0648442793203891,0.000836247095858182,0.00864233788440059,0.0114613255973467
"304",2020-10-30,"Extremadura","ESEX",1067710,504,9,21171,733,69821.0980315555,69511.6584333065,70131.9151377956,895.145277600299,10020.6262704156,12997.878545476,0.0653933165668164,0.0651035004198766,0.065684422865568,0.000838378658624813,0.00938515727155837,0.0121736038301374
"305",2020-10-31,"Extremadura","ESEX",1067710,380,7,21551,740,70063.1217045374,69754.1741471148,70373.4376186843,242.023672981944,9560.61697241801,12850.2799260456,0.0656199920432865,0.0653306367338648,0.0659106289335909,0.000226675476470151,0.00895431996742375,0.0120353653389456
"306",2020-11-01,"Extremadura","ESEX",1067710,381,8,21932,748,70371.9683093121,70063.4469470137,70681.848232103,308.846604774619,8813.47692487434,12502.9514262246,0.065909252802083,0.0656202966601546,0.0661994813499012,0.000289260758796507,0.00825456062495841,0.0117100630566582
"307",2020-11-02,"Extremadura","ESEX",1067710,416,10,22348,758,70971.8788037747,70662.979017415,71282.128930572,599.910494462601,8232.29692673166,12386.421923125,0.0664711193149588,0.0661818087471457,0.0667616945898905,0.000561866512875782,0.00771023679344734,0.0116009233997293
