"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"148",2020-05-27,"Castilla y León","ESCL",2399548,26,8,20311,2703,202416.546975405,201908.131505106,202926.24266304,390.217172223813,2203.61727863707,3480.25436754015,0.0843561149747388,0.0841442352914408,0.0845685281824077,0.000162621115403323,0.000918346821416814,0.00145037914121333
"149",2020-05-28,"Castilla y León","ESCL",2399548,45,5,20356,2708,202777.817555312,202268.719399391,203288.197080557,361.270579907519,2564.88785854459,3841.52494744767,0.084506672738079,0.0842945085488565,0.0847193709317577,0.000150557763340229,0.00106890458475704,0.00160093690455355
"150",2020-05-29,"Castilla y León","ESCL",2399548,47,7,20403,2715,203314.18390309,202804.072617274,203825.5782673,536.366347777686,3101.25420632228,4377.89129522536,0.0847302008141074,0.0845176144079112,0.0849433219370063,0.000223528076028355,0.0012924326607854,0.00182446498058191
"151",2020-05-30,"Castilla y León","ESCL",2399548,36,9,20439,2724,203891.278278494,203380.159274887,204403.681786138,577.094375403743,3678.34858172602,4626.53681599692,0.0849707020982675,0.0847576957305657,0.085184243776802,0.000240501284160077,0.00153293394494547,0.00192808679634536
"152",2020-05-31,"Castilla y León","ESCL",2399548,18,9,20457,2733,204287.152251349,203775.47790164,204800.111400598,395.873972855945,4074.22255458197,4258.20114302723,0.0851356806579195,0.0849224428524205,0.0853494538974,0.000164978559652045,0.00169791250459752,0.00177458468971124
"153",2020-06-01,"Castilla y León","ESCL",2399548,28,5,20485,2738,204487.062869853,203975.110315866,205000.300362072,199.910618503549,4274.13317308552,4355.20575975999,0.0852189924393482,0.0850056386935647,0.0854328816769124,8.33117814286478e-05,0.00178122428602617,0.00181501089361829
"154",2020-06-02,"Castilla y León","ESCL",2399548,19,6,20504,2744,204681.16517868,204169.002788337,205194.612339535,194.102308827336,4124.22412694714,4468.23548191285,0.0852998836358682,0.0850864424418004,0.0855138602518202,8.08911965200679e-05,0.00171875041755662,0.00186211548254623
"155",2020-06-03,"Castilla y León","ESCL",2399548,28,4,20532,2748,204827.924972749,204315.565482185,205341.569300555,146.759794068872,3788.45233473906,4614.99527598172,0.0853610450688001,0.0851475217341704,0.0855751038531235,6.11614329318988e-05,0.0015788191504146,0.00192327691547813
"156",2020-06-04,"Castilla y León","ESCL",2399548,27,7,20559,2755,205201.521016599,204688.556753993,205715.770804584,373.596043849626,4136.68214244564,4988.59131983135,0.085516739409505,0.0853029640390579,0.0857310505164241,0.000155694340704844,0.00172394223513997,0.00207897125618298
"157",2020-06-05,"Castilla y León","ESCL",2399548,36,2,20595,2757,205304.09115447,204790.937125797,205818.53101669,102.570137871109,4239.25228031675,5091.16145770246,0.0855594850173741,0.085345630562838,0.0857738753368094,4.27456078691108e-05,0.00176668784300908,0.00212171686405209
"158",2020-06-06,"Castilla y León","ESCL",2399548,12,4,20607,2761,205325.189750448,204812.155026911,205839.509576559,21.0985959780228,3898.8376615656,5112.26005368048,0.0855682777549972,0.0853544730202984,0.0857826180499656,8.79273762309518e-06,0.00162482170040591,0.00213050960167518
"159",2020-06-07,"Castilla y León","ESCL",2399548,13,7,20620,2768,205587.657738157,205074.297547268,206102.303017858,262.467987708515,3561.32793497574,5374.728041389,0.0856776600168684,0.0854637196452282,0.0858921359430434,0.0001093822618712,0.00148416615753289,0.00223989186354638
"160",2020-06-08,"Castilla y León","ESCL",2399548,35,7,20655,2775,206082.550933319,205568.286382769,206598.102005406,494.893195162091,3666.00395791401,5525.60988158538,0.0858839043575367,0.0856695870983905,0.086098757768299,0.000206244340668364,0.00152778938279793,0.00230277113922513
"161",2020-06-09,"Castilla y León","ESCL",2399548,27,3,20682,2778,206213.339450581,205698.869754033,206729.095877917,130.78851726267,3435.52189526916,5173.8668125711,0.0859384098382617,0.0857240070855148,0.0861533488298285,5.45054807249825e-05,0.00143173710018269,0.0021561839198762
"162",2020-06-10,"Castilla y León","ESCL",2399548,17,5,20699,2783,206400.653249825,205885.943613408,206916.649647278,187.313799243973,3086.46934673545,5335.81437567202,0.0860164719563123,0.0858019692097877,0.086231510954262,7.80621180505551e-05,0.00128627114220489,0.00222367478194728
"163",2020-06-11,"Castilla y León","ESCL",2399548,17,5,20716,2788,206595.194483455,206080.22648067,207111.449325101,194.541233629832,2703.91620496154,5530.35560930186,0.0860975460726166,0.0858829356531605,0.0863126927759316,8.10741163043341e-05,0.00112684397434914,0.00230474889825161
"164",2020-06-12,"Castilla y León","ESCL",2399548,21,5,20737,2793,206839.116950637,206323.768134816,207355.752988015,243.922467181896,2551.96469928749,5412.76486175458,0.086199199578686,0.0859844304572428,0.0864145051434747,0.000101653506069433,0.00106351892076653,0.00225574352409478
"165",2020-06-13,"Castilla y León","ESCL",2399548,12,3,20749,2796,206855.49352642,206340.227889271,207372.045866989,16.3765757834481,2368.43065656739,4829.16372323965,0.0862060244372775,0.0859912899801427,0.0864212951218267,6.82485859147142e-06,0.000987031997929356,0.00201253057794203
"166",2020-06-14,"Castilla y León","ESCL",2399548,6,1,20755,2797,206675.152459776,206160.357429415,207191.232964835,0,2174.32834774005,4438.94655101583,0.0861308681717457,0.0859163298377092,0.086345942221133,0,0.000906140801409288,0.00184990946253871
"167",2020-06-15,"Castilla y León","ESCL",2399548,15,6,20770,2803,206967.459232708,206452.217506048,207483.986845468,0,2027.56855367118,4077.67597110831,0.0862526856027501,0.0860379611101957,0.0864679459821049,0,0.000844979368477389,0.00169935169919848
"168",2020-06-16,"Castilla y León","ESCL",2399548,42,3,20812,2806,207321.870108764,206805.872436816,207839.155237371,398.001221986866,2051.97373180842,3939.31084531749,0.0864003846177548,0.0861853450886651,0.0866159606881674,0.000165865080418006,0.000855150108190552,0.00164168870358813
"169",2020-06-17,"Castilla y León","ESCL",2399548,18,7,20830,2813,207741.206852127,207224.49941392,208259.202683247,487.712103719445,2437.11569765676,3849.92857363319,0.0865751411733071,0.086359805852569,0.0867910134255483,0.000203251655611575,0.00101565615593302,0.00160443907503963
"170",2020-06-18,"Castilla y León","ESCL",2399548,12,3,20842,2816,207806.941798752,207290.198505761,208324.973255066,65.7349466254527,2481.75204830419,3519.7895474027,0.0866025358937401,0.086387185630694,0.0868184229926079,2.73947204329535e-05,0.00103425813874287,0.00146685523582054
"171",2020-06-19,"Castilla y León","ESCL",2399548,14,4,20856,2820,207970.028858772,207453.058660676,208488.287339564,163.087060019432,2382.37112061511,3482.96598891859,0.0866705016356295,0.086455056810981,0.0868864833458483,6.79657418894859e-05,0.000992841618761161,0.00145150919628138
"172",2020-06-20,"Castilla y León","ESCL",2399548,18,3,20874,2823,208105.988730446,207588.808734564,208624.457211723,135.959871674713,2023.43779712773,3424.82355176596,0.0867271622532437,0.0865116299963845,0.0869432314801466,5.66606176141145e-05,0.000843257895706912,0.00142727861737542
"173",2020-06-21,"Castilla y León","ESCL",2399548,6,6,20880,2829,208350.73435601,207833.228005704,208869.529301144,244.745625563897,2137.39490542896,3522.80938326099,0.0868291588065795,0.0866134905430958,0.0870453640857127,0.000101996553335835,0.000890748968317764,0.00146811373777936
"174",2020-06-22,"Castilla y León","ESCL",2399548,14,0,20894,2829,208241.675900531,207724.416344974,208760.223496523,0,1950.08110618498,3149.21333941136,0.0867837092237917,0.0865681438108237,0.086999811421369,0,0.000812686850267209,0.00131241939707452
"175",2020-06-23,"Castilla y León","ESCL",2399548,29,1,20923,2830,208365.699355507,207848.160495787,208884.526879368,0,1755.53987255515,3046.64320154025,0.0868353953975945,0.08661971358597,0.0870516142537546,0,0.000731612733962875,0.00126967378920541
"176",2020-06-24,"Castilla y León","ESCL",2399548,14,1,20937,2831,208346.892635642,207829.429261381,208865.644414267,0,1511.61740537325,3025.54460556223,0.0868275577882342,0.0866119074348088,0.0870437450779344,0,0.000629959227893442,0.00126088105158231
"177",2020-06-25,"Castilla y León","ESCL",2399548,17,1,20954,2832,208360.841812851,207843.372582073,208879.599390721,0,1495.24082958981,2763.07661785372,0.0868333710402337,0.0866177182461336,0.0870495607467409,0,0.000623134369301971,0.00115149878971111
"178",2020-06-26,"Castilla y León","ESCL",2399548,15,2,20969,2834,208431.753665847,207914.188846676,208950.606869152,0,1495.24082958981,2268.18342269163,0.0868629232113079,0.0866472305812078,0.0870791527692517,0,0.000623134369301971,0.000945254449042747
"179",2020-06-27,"Castilla y León","ESCL",2399548,13,2,20982,2836,208486.420064049,207968.799946214,209005.328502952,128.877298365376,1624.11812795518,2266.27220379433,0.086885705167827,0.0866699894922768,0.0871019577449386,5.37089895119315e-05,0.000676843358813903,0.000944457957829696
"180",2020-06-28,"Castilla y León","ESCL",2399548,5,2,20987,2838,208466.069469325,207948.58021635,208984.846517229,0,1226.11690596832,2078.95840455036,0.0868772241561016,0.0866615630178476,0.0870934219766509,0,0.000510978278395896,0.000866395839779141
"181",2020-06-29,"Castilla y León","ESCL",2399548,11,3,20998,2841,208585.287755686,208067.634339858,209104.229046294,92.1339162597724,830.538718508644,1976.5510871803,0.0869269077991712,0.0867111782468439,0.0871431740670718,3.83963630899538e-05,0.000346122985874275,0.000823718086564761
"182",2020-06-30,"Castilla y León","ESCL",2399548,13,2,21011,2843,208659.380806271,208141.625551264,209178.423984842,87.6352356357675,852.439007518959,1820.26385563417,0.0869577857189234,0.0867420137256115,0.0871740944481386,3.65215597419878e-05,0.000355249825183309,0.000758586140237316
"183",2020-07-01,"Castilla y León","ESCL",2399548,10,2,21021,2845,208711.389203029,208193.587798945,209230.478438775,52.0083967581159,741.360344257643,1855.89567660884,0.0869794599662225,0.0867636687405065,0.0871957878895421,2.16742472991229e-05,0.000308958330592946,0.000773435528944967
"184",2020-07-02,"Castilla y León","ESCL",2399548,9,0,21030,2845,208613.501854581,208095.925345753,209132.365680505,0,605.400472582929,1855.89567660884,0.0869386658881508,0.0867229683864432,0.0871548998730198,0,0.000252297712978832,0.000773435528944967
"185",2020-07-03,"Castilla y León","ESCL",2399548,11,1,21041,2846,208615.478369259,208097.930348073,209134.313553434,0,360.654847019032,1855.89567660884,0.0869394895910641,0.0867238039614431,0.0871557116396232,0,0.000150301159642996,0.000773435528944967
"186",2020-07-04,"Castilla y León","ESCL",2399548,8,1,21049,2847,208594.119307715,208076.65859858,209112.866877122,0,360.654847019032,1457.89445462197,0.0869305883056787,0.0867149390629317,0.0871467738412075,0,0.000150301159642996,0.000607570448526961
"187",2020-07-05,"Castilla y León","ESCL",2399548,3,0,21052,2847,208456.066328664,207938.932114597,208974.486630875,0,360.654847019032,970.182350902527,0.0868730553957095,0.0866575422181998,0.0870891045442205,0,0.000150301159642996,0.000404318792915385
"188",2020-07-06,"Castilla y León","ESCL",2399548,16,1,21068,2848,208527.005983857,208009.731050399,209045.567267503,0,360.654847019032,904.447404277075,0.0869026191532141,0.0866870473315803,0.087118727055055,0,0.000150301159642996,0.000376924072482432
"189",2020-07-07,"Castilla y León","ESCL",2399548,10,1,21078,2849,208545.06918564,208027.785638065,209063.639014603,0,360.654847019032,741.360344257643,0.0869101469050173,0.0866945714934917,0.0871262583680771,0,0.000150301159642996,0.000308958330592946
"190",2020-07-08,"Castilla y León","ESCL",2399548,14,1,21092,2850,208606.715991208,208089.315721765,209125.402742073,0,360.654847019032,605.400472582929,0.0869358379124768,0.0867202138576788,0.0871519981021728,0,0.000150301159642996,0.000252297712978832
"191",2020-07-09,"Castilla y León","ESCL",2399548,8,0,21100,2850,208538.621173694,208021.375781012,209057.152697647,0,231.777548653656,360.654847019032,0.0869074597272879,0.0866919002166291,0.0871235552269206,0,9.65921701310646e-05,0.000150301159642996
"192",2020-07-10,"Castilla y León","ESCL",2399548,16,1,21116,2851,208624.991024782,208107.568536447,209143.699992189,0,231.777548653656,360.654847019032,0.0869434539441521,0.0867278206297383,0.0871596233924841,0,9.65921701310646e-05,0.000150301159642996
"193",2020-07-11,"Castilla y León","ESCL",2399548,13,1,21129,2852,208683.612310759,208166.080623758,209202.430658133,0,139.643632393884,360.654847019032,0.0869678840809846,0.086752205258556,0.0871840991128883,0,5.81958070411109e-05,0.000150301159642996
"194",2020-07-12,"Castilla y León","ESCL",2399548,9,0,21138,2852,208630.073715536,208112.661769804,209148.772056431,0,52.0083967581161,360.654847019032,0.0869455721308913,0.0867299432100563,0.0871617371506763,0,2.1674247299123e-05,0.000150301159642996
"195",2020-07-13,"Castilla y León","ESCL",2399548,21,0,21159,2852,208695.701052046,208178.113327393,209214.575641338,0,2.27373675443232e-13,360.654847019032,0.0869729220053301,0.0867572198294816,0.0871891604757804,0,9.47568773132407e-20,0.000150301159642996
"196",2020-07-14,"Castilla y León","ESCL",2399548,20,0,21179,2852,208751.483741518,208233.744663543,209270.510092857,0,2.27373675443232e-13,360.654847019032,0.0869961691708264,0.0867804039192143,0.087212470887374,0,9.47568773132407e-20,0.000150301159642996
"197",2020-07-15,"Castilla y León","ESCL",2399548,12,1,21191,2853,208798.823347043,208281.003110825,209317.930968059,0,2.27373675443232e-13,231.777548653656,0.0870158977220057,0.0868000986480891,0.0872322333072975,0,9.47568773132407e-20,9.65921701310646e-05
"198",2020-07-16,"Castilla y León","ESCL",2399548,21,0,21212,2853,208858.448113763,208340.466105098,209377.71794407,0,2.27373675443232e-13,231.777548653656,0.0870407460545748,0.0868248795627753,0.0872571492398028,0,9.47568773132407e-20,9.65921701310646e-05
"199",2020-07-17,"Castilla y León","ESCL",2399548,18,0,21230,2853,208885.819463687,208367.755687129,209405.17129979,0,2.27373675443232e-13,139.643632393884,0.0870521529320051,0.0868362523638322,0.087268590292751,0,9.47568773132407e-20,5.81958070411109e-05
"200",2020-07-18,"Castilla y León","ESCL",2399548,27,0,21257,2853,208998.099324322,208479.743206351,209517.744263264,0,2.27373675443232e-13,52.0083967581161,0.0870989450197796,0.0868829226197395,0.0873155045297133,0,9.47568773132407e-20,2.1674247299123e-05
"201",2020-07-19,"Castilla y León","ESCL",2399548,24,1,21281,2854,209149.161805554,208630.466456653,209669.146730563,0,2.27373675443232e-13,2.27373675443232e-13,0.0871618995767344,0.0869457358038484,0.0873786007742138,0,9.47568773132407e-20,9.47568773132407e-20
"202",2020-07-20,"Castilla y León","ESCL",2399548,35,0,21316,2854,209327.96031452,208808.805841105,209848.405544645,384.357550590968,384.357550590969,384.357550590969,0.0872364129888295,0.0870200578780275,0.0874533060162351,0.000160179146485492,0.000160179146485492,0.000160179146485492
"203",2020-07-21,"Castilla y León","ESCL",2399548,20,0,21336,2854,209350.279290174,208831.05378753,209870.795765198,254.532536553801,638.89008714477,638.89008714477,0.0872457143137683,0.0870293296018794,0.0874626370321402,0.000106075201060283,0.000266254347545775,0.000266254347545775
"204",2020-07-22,"Castilla y León","ESCL",2399548,24,0,21360,2854,209401.884410219,208882.513423251,209922.546774899,51.6051200449292,690.495207189699,690.495207189699,0.0872672204974516,0.0870507751556754,0.0874842040146305,2.15061836833142e-05,0.000287760531229089,0.000287760531229089
"205",2020-07-23,"Castilla y León","ESCL",2399548,45,0,21405,2854,209651.748062123,209131.739864585,210173.049265332,249.863651904539,940.358859094238,940.358859094238,0.0873713499634612,0.087154639067268,0.0875885997135012,0.000104129466009657,0.000391889997238746,0.000391889997238746
"206",2020-07-24,"Castilla y León","ESCL",2399548,37,1,21442,2855,209887.24395618,209366.683619383,210409.098591857,235.495894056308,1175.85475315055,1175.85475315055,0.0874694917360185,0.0872525507384653,0.0876869721263576,9.81417725572934e-05,0.000490031769796039,0.000490031769796039
"207",2020-07-25,"Castilla y León","ESCL",2399548,29,0,21471,2855,209957.126433411,209436.372578335,210479.175118866,69.8824772314692,1245.73723038202,1245.73723038202,0.0874986149197312,0.0872815932743731,0.0877161761793745,2.91231837127114e-05,0.000519154953508751,0.000519154953508751
"208",2020-07-26,"Castilla y León","ESCL",2399548,31,0,21502,2855,210033.260469281,209512.29670275,210555.519640666,76.1340358697635,1321.87126625178,1321.87126625178,0.0875303434102093,0.0873132342852694,0.0877479923888441,3.17284904781082e-05,0.000550883443986859,0.000550883443986859
"209",2020-07-27,"Castilla y León","ESCL",2399548,70,0,21572,2855,210479.440649806,209957.348192269,211002.831373569,446.180180524505,1768.05144677628,1768.05144677628,0.0877162868381068,0.0874987073366606,0.0879344073857112,0.000185943427897464,0.000736826871884323,0.000736826871884323
"210",2020-07-28,"Castilla y León","ESCL",2399548,87,0,21659,2855,211075.892687437,210552.297816017,211600.789618213,596.452037631359,2364.50348440764,2364.50348440764,0.0879648553341866,0.0877466497090356,0.0881836035862643,0.000248568496079828,0.000985395367964151,0.000985395367964151
"211",2020-07-29,"Castilla y León","ESCL",2399548,76,0,21735,2855,211535.848159162,211011.086660327,212061.914682463,459.955471725028,2824.45895613267,2824.45895613267,0.0881565395479323,0.0879378477364598,0.0883757752220264,0.000191684213745684,0.00117707958170984,0.00117707958170984
"212",2020-07-30,"Castilla y León","ESCL",2399548,74,0,21809,2855,211937.037340632,211411.251302592,212464.131024107,401.189181470138,3225.64813760281,3225.64813760281,0.0883237331950151,0.0881046144117944,0.0885433969331338,0.000167193647082758,0.00134427322879259,0.00134427322879259
"213",2020-07-31,"Castilla y León","ESCL",2399548,149,0,21958,2855,213025.112580041,212496.594153293,213554.945530105,1088.07523940923,4313.72337701204,4313.72337701204,0.0887771832778679,0.0885569257848948,0.088997988592062,0.000453450082852782,0.00179772331164538,0.00179772331164538
"214",2020-08-01,"Castilla y León","ESCL",2399548,90,1,22048,2856,213563.82451965,213033.983175957,214094.983643,538.711939608504,4468.07776602957,4852.43531662054,0.0890016888679242,0.088780880055726,0.0892230468584085,0.000224505590056337,0.00186204975521622,0.00202222890170171
"215",2020-08-02,"Castilla y León","ESCL",2399548,93,0,22141,2856,213994.595621231,213463.642574562,214526.869319672,430.771101581573,4644.31633105734,5283.20641820211,0.0891812106368497,0.0889599385278237,0.0894030331211012,0.00017952176892547,0.00193549632308141,0.00220175067062718
"216",2020-08-03,"Castilla y León","ESCL",2399548,124,1,22265,2857,214744.269805245,214211.460658543,215278.404210577,749.674184013362,5342.38539502578,6032.88060221547,0.0894936337198692,0.0892715880901497,0.0897162316447,0.000312423083019536,0.00222641322241763,0.00251417375364672
"217",2020-08-04,"Castilla y León","ESCL",2399548,205,0,22470,2857,216144.97143011,215608.634814531,216682.642208235,1400.70162486492,6493.22336798615,7433.58222708039,0.0900773693337702,0.0898538536484916,0.0903014410248241,0.000583735613901,0.00270601937030897,0.00309790936754772
"218",2020-08-05,"Castilla y León","ESCL",2399548,232,0,22702,2857,217731.066722613,217190.735766789,218272.74192335,1586.0952925031,7843.82276643295,9019.67751958349,0.0907383668601806,0.0905131865529629,0.0909641073749515,0.000660997526410433,0.00326887512416211,0.00375890689395815
"219",2020-08-06,"Castilla y León","ESCL",2399548,175,1,22877,2858,218742.114763076,218199.259434874,219286.320654556,1011.04804046283,8784.98832966431,10030.7255600463,0.0911597162311717,0.0909334839039995,0.0913865113990453,0.00042134937099105,0.00366110131144045,0.0041802562649492
"220",2020-08-07,"Castilla y León","ESCL",2399548,256,0,23133,2858,220331.567575977,219784.690850038,220879.805061632,1589.4528129017,10298.3071066962,11235.8208223571,0.0918221129879366,0.091594204762746,0.0920505883031439,0.000662396756764898,0.00429176957772724,0.00468247387522861
"221",2020-08-08,"Castilla y León","ESCL",2399548,189,1,23322,2859,221237.706774316,220688.54735715,221788.232714888,906.139198338991,10758.2661245107,11887.4274841422,0.0921997421073953,0.0919708825816989,0.0924291711250987,0.000377629119458744,0.00448345526928852,0.00495402779362707
"222",2020-08-09,"Castilla y León","ESCL",2399548,271,1,23593,2860,222796.746261921,222243.672999185,223351.19589695,1559.03948760443,11720.8535744838,13394.8618517017,0.0928494642582356,0.0926189736563657,0.0930805284565885,0.000649722150840254,0.00488460892404895,0.00558224376078401
"223",2020-08-10,"Castilla y León","ESCL",2399548,239,0,23832,2860,223852.656665448,223296.855543324,224409.84121452,1055.91040352738,12316.8085062862,14200.9086033246,0.093289509801616,0.093057882377566,0.093521713762142,0.000440045543380411,0.00513297025368367,0.00591815983815476
"224",2020-08-11,"Castilla y León","ESCL",2399548,258,1,24090,2861,225038.269502597,224479.462497085,225598.467571977,1185.61283714909,13101.2321619651,15151.0255464174,0.0937836082056275,0.0935507280942433,0.0940170680361373,0.000494098404011544,0.00545987501061246,0.00631411646960901
"225",2020-08-12,"Castilla y León","ESCL",2399548,312,1,24402,2862,226602.420449053,226039.658363909,227166.583620921,1564.15094645604,13577.3078690119,16645.2940156419,0.0944354605321724,0.0942009321605191,0.0946705727999279,0.000651852326544848,0.00565827725430453,0.00693684561244115
"226",2020-08-13,"Castilla y León","ESCL",2399548,325,0,24727,2862,228073.772810918,227507.221679296,228641.734799666,1471.35236186505,14509.9482912685,18040.5123416372,0.0950486394983215,0.0948125320599112,0.0952853349046012,0.000613178966149062,0.00604695063039725,0.0075182960881121
"227",2020-08-14,"Castilla y León","ESCL",2399548,379,3,25106,2865,230132.384577831,229560.739434783,230705.453214158,2058.611766913,16137.7889565999,19652.9439280257,0.0959065559754717,0.0956683256324868,0.0961453795523817,0.000857916477150281,0.00672534533862206,0.00819026913736492
