"","date","ccaa","reg_code","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"64",2020-04-03,"Canarias","ESCN",17,5,2009,88,81.6270193888834,3001.02152288295,1826.02152288295,0.00447963329245932,0.00437905511473226,0.00458252155068775,0.000182010509516508,0.00139362721871568,0.000847975689892976,2153389
"65",2020-04-04,"Canarias","ESCN",29,3,2038,91,138.20015499941,3025.51193512375,1914.51193512375,0.0045101628320049,0.00441188181511294,0.00461063319999151,0.000305841610625936,0.00140500018116734,0.000889069246254973,2153389
"66",2020-04-05,"Canarias","ESCN",17,2,2055,93,79.7432723721006,2986.34134866017,1975.34134866017,0.00447645752605249,0.00438071322462601,0.00457429440254279,0.000173706750249218,0.00138680997658118,0.000917317469653727,2153389
"67",2020-04-06,"Canarias","ESCN",13,3,2068,96,60.8229026148955,2930.410066582,1984.410066582,0.00449315948051416,0.00439975491420446,0.00458854697841384,0.000132150387580516,0.00136083636843227,0.00092152883969501,2153389
"68",2020-04-07,"Canarias","ESCN",26,0,2094,96,117.900644302001,2834.94049381272,1979.94049381272,0.00440957788234105,0.00431773792876771,0.00450337130720225,0.000248277016918749,0.00131650179963431,0.000919453240363318,2153389
"69",2020-04-08,"Canarias","ESCN",16,4,2110,100,73.4521643740632,2772.83818150707,1987.83818150707,0.00449826026641243,0.00440801595646182,0.00459035212763302,0.000156590972742106,0.00128766246205728,0.000923120802375732,2153389
"70",2020-04-09,"Canarias","ESCN",26,1,2136,101,117.438204118346,2745.53527890396,2009.53527890396,0.00448037960337057,0.00439120885928013,0.00457136110660649,0.000246333208983289,0.00127498342329415,0.000933196593325201,2153389
"71",2020-04-10,"Canarias","ESCN",14,0,2150,101,61.7264626859202,2594.29597914755,1941.29597914755,0.00440209412016953,0.00431435927426459,0.00449161310195575,0.000126384045790025,0.00120475026999188,0.000901507335250413,2153389
"72",2020-04-11,"Canarias","ESCN",14,2,2164,103,61.5529133750352,2497.77660993954,1893.77660993954,0.00441830145557193,0.00433176147842989,0.00450657032930282,0.000125674365415717,0.00115992819223073,0.000879440087201868,2153389
"73",2020-04-12,"Canarias","ESCN",8,0,2172,103,34.4496694121834,2375.11232558907,1818.11232558907,0.00434342575605606,0.00425825320844387,0.00443030190430251,6.88902308528978e-05,0.00110296482687943,0.000844302783003476,2153389
"74",2020-04-13,"Canarias","ESCN",13,3,2185,106,56.5157782567925,2220.10311039628,1712.10311039628,0.00441118539878274,0.0043269224196031,0.0044970893247998,0.000114096831051353,0.00103098098411215,0.0007950737699488,2153389
"75",2020-04-14,"Canarias","ESCN",13,2,2198,108,56.5724211906201,1995.35175845255,1545.35175845255,0.00444187785203778,0.00435843722137019,0.0045269159219921,0.000114325652740113,0.000926609989394646,0.000717637063462545,2153389
