"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"115",2020-04-24,"Baleares","ESIB",1149460,9,1,1988,182,14926.3066768885,14755.0001502074,15099.6020836634,0,2594.25772002812,4745.89906512024,0.0129854946469547,0.0128364624695139,0.0131362570978228,0,0.00225693605695554,0.00412880749666821
"116",2020-04-25,"Baleares","ESIB",1149460,11,4,1999,186,15183.6207810383,15012.6771357278,15356.5108966292,232.034437445347,2653.48579115551,4759.25991979481,0.0132093511570984,0.0130606346769159,0.0133597610152847,0.00020186386428875,0.00230846292272502,0.00414043108920259
"117",2020-04-26,"Baleares","ESIB",1149460,0,3,1999,189,15281.7090758715,15112.0209140867,15453.3026130136,110.728128185376,2227.60392354901,3792.08960885102,0.0132946853965092,0.0131470611540086,0.0134439672655104,9.63305623382942e-05,0.00193795688718964,0.00329901832934684
"118",2020-04-27,"Baleares","ESIB",1149460,3,2,2002,191,15328.1200508059,15159.4159011354,15498.7016534271,46.4109749343752,1780.51943457479,3663.65828211558,0.013335061725337,0.0131882935475227,0.0134834632378918,4.03763288277758e-05,0.0015490051281252,0.00318728644938978
"119",2020-04-28,"Baleares","ESIB",1149460,4,6,2006,197,15709.3800473144,15541.197605676,15879.382511733,381.259996508508,1701.17362489047,3593.93652291695,0.0136667479053768,0.0135204335998434,0.0138146455829111,0.000331686180039765,0.00147997635836869,0.00312663035070116
"120",2020-04-29,"Baleares","ESIB",1149460,3,3,2009,200,15849.3566421265,15681.8873219835,16018.6143932545,139.976594812164,1329.52084809961,3504.66785191389,0.0137885238652293,0.0136428299566609,0.0139357736617669,0.000121775959852595,0.00115664820707081,0.00304896895230272
"121",2020-04-30,"Baleares","ESIB",1149460,5,4,2014,204,16090.8625052572,15923.7815610159,16259.6965532962,241.50586313066,1454.85042892422,3746.17371504455,0.0139986276210196,0.0138532715892818,0.0141455088070017,0.000210103755790249,0.00126568164957825,0.00325907270809297
"122",2020-05-01,"Baleares","ESIB",1149460,7,1,2021,205,16118.3248126874,15951.5883816411,16286.8040819246,27.4623074302071,1368.16248438852,3600.8296561568,0.014022519106961,0.0138774627926515,0.0141690916447067,2.38914859414048e-05,0.00119026541540247,0.00313262719551511
"123",2020-05-02,"Baleares","ESIB",1149460,2,0,2023,205,16033.9308547304,15867.9694475447,16201.6280346478,0,1366.72613032239,3064.21966036492,0.0139490985808383,0.0138047165169251,0.0140949907214238,0,0.00118901582510256,0.00266579059764143
"124",2020-05-03,"Baleares","ESIB",1149460,4,1,2027,206,16049.3386917369,15883.8580556771,16216.54333218,0,1230.8803213227,2570.72419645633,0.0139625029942207,0.0138185391885556,0.0141079666384041,0,0.00107083354037783,0.00223646250974921
"125",2020-05-04,"Baleares","ESIB",1149460,0,1,2027,207,16038.3701377998,15873.6364419343,16204.8134098329,0,1201.75866051213,2110.1183902635,0.0139529606404745,0.0138096466531539,0.0140977619141448,0,0.00104549846059204,0.00183574755995293
"126",2020-05-05,"Baleares","ESIB",1149460,3,1,2030,208,16056.4799448485,15892.1974783422,16222.460649049,0,1179.37830244664,1598.48901866048,0.0139687156968042,0.0138257942671709,0.0141131145486133,0,0.00102602813707883,0.00139064344880246
"127",2020-05-06,"Baleares","ESIB",1149460,2,0,2032,208,15995.2505360375,15831.5180283155,16160.676395846,0,1179.37830244664,1482.31273635443,0.0139154477198315,0.0137730047398913,0.0140593638715971,0,0.00102602813707883,0.00128957313551966
"128",2020-05-07,"Baleares","ESIB",1149460,0,4,2032,212,16230.0678232414,16066.7195625615,16395.07682457,0,947.34386500129,1368.16248438852,0.0141197325902958,0.0139776238951869,0.0142632860861361,0,0.000824164272790084,0.00119026541540247
"129",2020-05-08,"Baleares","ESIB",1149460,2,0,2034,212,16178.6974792797,16015.7986086149,16343.2532165618,0,836.615736815915,1366.72613032239,0.0140750417407128,0.0139333240031101,0.0142182009087413,0,0.00072783371045179,0.00118901582510256
