"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"1","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,0,8414240,0.0367225154923112,0.0488104395761798,0.00338189386056191,0.00647058823529412,4357,82,0.0283252246410585,0.0210204197870679,0.00447643064720413,0.00307381571108017,203,183,0.0363486887285383,0.0475732961513575,0.00342601285438472,0.00633366987143263,47026208,0.109365179132621,0.0151285930408472,1591,22,0.0541052272089141,23073,0.00201202958448307,23073,0.0576698794758058,0.00285813939874983
"2","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,0,8414240,0.0367225154923112,0.0488104395761798,0.00338189386056191,0.00647058823529412,4357,82,0.0283252246410585,0.0210204197870679,0.00447643064720413,0.00307381571108017,203,183,0.0363486887285383,0.0475732961513575,0.00342601285438472,0.00633366987143263,47026208,0.109365179132621,0.0151285930408472,1591,22,0.0541052272089141,23073,0.00201202958448307,23073,0.0576698794758058,0.00285813939874983
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,0,8414240,0.0367225154923112,0.0488104395761798,0.00338189386056191,0.00647058823529412,4357,82,0.0283252246410585,0.0210204197870679,0.00447643064720413,0.00307381571108017,203,183,0.0363486887285383,0.0475732961513575,0.00342601285438472,0.00633366987143263,47026208,0.109365179132621,0.0151285930408472,1591,22,0.0541052272089141,23073,0.00201202958448307,23073,0.0576698794758058,0.00285813939874983
"4","ES","ESAN","ESH",521870,NA,NA,NA,NA,0,0,8414240,0.0367225154923112,0.0488104395761798,0.00338189386056191,0.00647058823529412,4357,82,0.0283252246410585,0.0210204197870679,0.00447643064720413,0.00307381571108017,203,183,0.0363486887285383,0.0475732961513575,0.00342601285438472,0.00633366987143263,47026208,0.109365179132621,0.0151285930408472,1591,22,0.0541052272089141,23073,0.00201202958448307,23073,0.0576698794758058,0.00285813939874983
"5","ES","ESAN","ESCA",1240155,0,0,NA,NA,20,1,8414240,0.0367225154923112,0.0488104395761798,0.00338189386056191,0.00647058823529412,4357,82,0.0283252246410585,0.0210204197870679,0.00447643064720413,0.00307381571108017,203,183,0.0363486887285383,0.0475732961513575,0.00342601285438472,0.00633366987143263,47026208,0.109365179132621,0.0151285930408472,1591,22,0.0541052272089141,23073,0.00201202958448307,23073,0.0576698794758058,0.00285813939874983
"6","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,0,8414240,0.0367225154923112,0.0488104395761798,0.00338189386056191,0.00647058823529412,4357,82,0.0283252246410585,0.0210204197870679,0.00447643064720413,0.00307381571108017,203,183,0.0363486887285383,0.0475732961513575,0.00342601285438472,0.00633366987143263,47026208,0.109365179132621,0.0151285930408472,1591,22,0.0541052272089141,23073,0.00201202958448307,23073,0.0576698794758058,0.00285813939874983
"7","ES","ESAN","ESMA",1661785,0.0679611650485437,0.0466666666666667,0.00970873786407767,0.00666666666666667,103,3,8414240,0.0367225154923112,0.0488104395761798,0.00338189386056191,0.00647058823529412,4357,82,0.0283252246410585,0.0210204197870679,0.00447643064720413,0.00307381571108017,203,183,0.0363486887285383,0.0475732961513575,0.00342601285438472,0.00633366987143263,47026208,0.109365179132621,0.0151285930408472,1591,22,0.0541052272089141,23073,0.00201202958448307,23073,0.0576698794758058,0.00285813939874983
"8","ES","ESAN","ESSE",1942389,0.0125,0.0125,0,0,80,1,8414240,0.0367225154923112,0.0488104395761798,0.00338189386056191,0.00647058823529412,4357,82,0.0283252246410585,0.0210204197870679,0.00447643064720413,0.00307381571108017,203,183,0.0363486887285383,0.0475732961513575,0.00342601285438472,0.00633366987143263,47026208,0.109365179132621,0.0151285930408472,1591,22,0.0541052272089141,23073,0.00201202958448307,23073,0.0576698794758058,0.00285813939874983
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,0,1319291,0.055939226519337,0.0840277056277056,0.000770416024653313,0.000434782608695652,1448,25,0.288461538461538,0.15,0,0,52,52,0.064,0.0863147451659452,0.000743708269131998,0.000419710144927536,47026208,0.109365179132621,0.0151285930408472,1591,22,0.0541052272089141,23073,0.00201202958448307,23073,0.0576698794758058,0.00285813939874983
"10","ES","ESAR","ESHU",220461,NA,NA,NA,NA,0,0,1319291,0.055939226519337,0.0840277056277056,0.000770416024653313,0.000434782608695652,1448,25,0.288461538461538,0.15,0,0,52,52,0.064,0.0863147451659452,0.000743708269131998,0.000419710144927536,47026208,0.109365179132621,0.0151285930408472,1591,22,0.0541052272089141,23073,0.00201202958448307,23073,0.0576698794758058,0.00285813939874983
