"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","stillsick_p_w_provs","stillsick_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","stillsick_p_w_regs_rhs","stillsick_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"ES",2020-05-10,47026208,0.0809411764705882,0.025,0.004,4250,30,0.0608085311480951,9177,0.0941279759379016,0.00505503089751777,9177,0.0671810449352848,0.0722471464349537,0.0722471464349537,"ESAN","ESAL",716820,0,0,0,0,0,0,0,0,8414240,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005,2175,30,0,0,0,0,0,0,0,0,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005
"ES",2020-05-10,47026208,0.0809411764705882,0.025,0.004,4250,30,0.0608085311480951,9177,0.0941279759379016,0.00505503089751777,9177,0.0671810449352848,0.0722471464349537,0.0722471464349537,"ESAN","ESCO",782979,0,0,0,0,0,0,0,0,8414240,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005,2175,30,0,0,0,0,0,0,0,0,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005
"ES",2020-05-10,47026208,0.0809411764705882,0.025,0.004,4250,30,0.0608085311480951,9177,0.0941279759379016,0.00505503089751777,9177,0.0671810449352848,0.0722471464349537,0.0722471464349537,"ESAN","ESGR",914678,0,0,0,0,0,0,0,0,8414240,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005,2175,30,0,0,0,0,0,0,0,0,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005
"ES",2020-05-10,47026208,0.0809411764705882,0.025,0.004,4250,30,0.0608085311480951,9177,0.0941279759379016,0.00505503089751777,9177,0.0671810449352848,0.0722471464349537,0.0722471464349537,"ESAN","ESH",521870,0,0,0,0,0,0,0,0,8414240,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005,2175,30,0,0,0,0,0,0,0,0,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005
"ES",2020-05-10,47026208,0.0809411764705882,0.025,0.004,4250,30,0.0608085311480951,9177,0.0941279759379016,0.00505503089751777,9177,0.0671810449352848,0.0722471464349537,0.0722471464349537,"ESAN","ESCA",1240155,0,0,0,0,0,0,0,0,8414240,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005,2175,30,0,0,0,0,0,0,0,0,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005
"ES",2020-05-10,47026208,0.0809411764705882,0.025,0.004,4250,30,0.0608085311480951,9177,0.0941279759379016,0.00505503089751777,9177,0.0671810449352848,0.0722471464349537,0.0722471464349537,"ESAN","ESJ",633564,0,0,0,0,0,0,0,0,8414240,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005,2175,30,0,0,0,0,0,0,0,0,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005
"ES",2020-05-10,47026208,0.0809411764705882,0.025,0.004,4250,30,0.0608085311480951,9177,0.0941279759379016,0.00505503089751777,9177,0.0671810449352848,0.0722471464349537,0.0722471464349537,"ESAN","ESMA",1661785,0,0,0,0,0,0,0,0,8414240,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005,2175,30,0,0,0,0,0,0,0,0,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005
"ES",2020-05-10,47026208,0.0809411764705882,0.025,0.004,4250,30,0.0608085311480951,9177,0.0941279759379016,0.00505503089751777,9177,0.0671810449352848,0.0722471464349537,0.0722471464349537,"ESAN","ESSE",1942389,0,0,0,0,0,0,0,0,8414240,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005,2175,30,0,0,0,0,0,0,0,0,0.032183908045977,0.046922514619883,0,0,0.00961538461538462,0.005
"ES",2020-05-10,47026208,0.0809411764705882,0.025,0.004,4250,30,0.0608085311480951,9177,0.0941279759379016,0.00505503089751777,9177,0.0671810449352848,0.0722471464349537,0.0722471464349537,"ESAR","ESTE",134137,0,0,0,0,0,0,0,0,1319291,0.0413361169102296,0.0493333333333333,NA,NA,NA,NA,2395,30,0,0,0,0,0,0,0,0,0.0413361169102296,0.0493333333333333,NA,NA,NA,NA
"ES",2020-05-10,47026208,0.0809411764705882,0.025,0.004,4250,30,0.0608085311480951,9177,0.0941279759379016,0.00505503089751777,9177,0.0671810449352848,0.0722471464349537,0.0722471464349537,"ESAR","ESHU",220461,0,0,0,0,0,0,0,0,1319291,0.0413361169102296,0.0493333333333333,NA,NA,NA,NA,2395,30,0,0,0,0,0,0,0,0,0.0413361169102296,0.0493333333333333,NA,NA,NA,NA
