"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","stillsick_p_w_provs","stillsick_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","stillsick_p_w_regs_rhs","stillsick_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESAN","ESAL",716820,0,0,0,0,0,0,40,1,8414240,0.0359004053271569,0.0402337718267951,0.00235571260306243,0.00386831275720165,0.00353356890459364,0.00543958099513655,1727,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,463,463,0.0315582447921673,0.0339821836129808,0.00219714080687953,0.0032592607731312,0.00312597999991351,0.0044983385114479
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESAN","ESCO",782979,0,0,0,0,0,0,0,0,8414240,0.0359004053271569,0.0402337718267951,0.00235571260306243,0.00386831275720165,0.00353356890459364,0.00543958099513655,1727,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,463,463,0.0315582447921673,0.0339821836129808,0.00219714080687953,0.0032592607731312,0.00312597999991351,0.0044983385114479
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESAN","ESGR",914678,0,0,0,0,0,0,0,0,8414240,0.0359004053271569,0.0402337718267951,0.00235571260306243,0.00386831275720165,0.00353356890459364,0.00543958099513655,1727,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,463,463,0.0315582447921673,0.0339821836129808,0.00219714080687953,0.0032592607731312,0.00312597999991351,0.0044983385114479
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESAN","ESH",521870,0,0,0,0,0,0,0,0,8414240,0.0359004053271569,0.0402337718267951,0.00235571260306243,0.00386831275720165,0.00353356890459364,0.00543958099513655,1727,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,463,463,0.0315582447921673,0.0339821836129808,0.00219714080687953,0.0032592607731312,0.00312597999991351,0.0044983385114479
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESAN","ESCA",1240155,0,0,0,0,0,0,20,1,8414240,0.0359004053271569,0.0402337718267951,0.00235571260306243,0.00386831275720165,0.00353356890459364,0.00543958099513655,1727,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,463,463,0.0315582447921673,0.0339821836129808,0.00219714080687953,0.0032592607731312,0.00312597999991351,0.0044983385114479
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESAN","ESJ",633564,0,0,0,0,0,0,0,0,8414240,0.0359004053271569,0.0402337718267951,0.00235571260306243,0.00386831275720165,0.00353356890459364,0.00543958099513655,1727,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,463,463,0.0315582447921673,0.0339821836129808,0.00219714080687953,0.0032592607731312,0.00312597999991351,0.0044983385114479
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESAN","ESMA",1661785,0.0569105691056911,0.035,0.00813008130081301,0.005,0.00813008130081301,0.005,123,4,8414240,0.0359004053271569,0.0402337718267951,0.00235571260306243,0.00386831275720165,0.00353356890459364,0.00543958099513655,1727,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,463,463,0.0315582447921673,0.0339821836129808,0.00219714080687953,0.0032592607731312,0.00312597999991351,0.0044983385114479
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESAN","ESSE",1942389,0.0178571428571429,0.01625,0,0,0,0,280,2,8414240,0.0359004053271569,0.0402337718267951,0.00235571260306243,0.00386831275720165,0.00353356890459364,0.00543958099513655,1727,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,463,463,0.0315582447921673,0.0339821836129808,0.00219714080687953,0.0032592607731312,0.00312597999991351,0.0044983385114479
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESAR","ESTE",134137,0,0,0,0,0,0,0,0,1319291,0.043141056713524,0.0773008658008658,0.0017825311942959,0.000833333333333333,0.0041592394533571,0.00579861111111111,2063,30,0,0,0,0,0,0,2,2,0.0430992736077482,0.0772259981342306,0.00178080477183169,0.000832526230831316,0.00415521113427395,0.0057929950228679
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESAR","ESHU",220461,0,0,0,0,0,0,0,0,1319291,0.043141056713524,0.0773008658008658,0.0017825311942959,0.000833333333333333,0.0041592394533571,0.00579861111111111,2063,30,0,0,0,0,0,0,2,2,0.0430992736077482,0.0772259981342306,0.00178080477183169,0.000832526230831316,0.00415521113427395,0.0057929950228679
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESAR","ESZ",964693,0,0,0,0,0,0,2,1,1319291,0.043141056713524,0.0773008658008658,0.0017825311942959,0.000833333333333333,0.0041592394533571,0.00579861111111111,2063,30,0,0,0,0,0,0,2,2,0.0430992736077482,0.0772259981342306,0.00178080477183169,0.000832526230831316,0.00415521113427395,0.0057929950228679
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESAS","ESO",1022800,0.0236318407960199,0.0258333333333333,0.000478011472275335,0.000416666666666667,0.00251004016064257,0.00152173913043478,2412,30,1022800,0,0,0,0,0,0,0,0,0.0236318407960199,0.0258333333333333,0.000478011472275335,0.000416666666666667,0.00251004016064257,0.00152173913043478,2412,2412,0.0236318407960199,0.0258333333333333,0.000478011472275335,0.000416666666666667,0.00251004016064257,0.00152173913043478
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESCB","ESS",581078,0.0333333333333333,0.0470811965811966,0,0,0,0,2400,30,581078,0,0,0,0,0,0,0,0,0.0333333333333333,0.0470811965811966,0,0,0,0,2400,2400,0.0333333333333333,0.0470811965811966,0,0,0,0
"ES",2020-06-21,47026208,0.0802448146888813,0.00861326442721792,0.0063441712926249,2941,30,0.0463316890207901,19432,0.00203710246059975,0.00207398388676906,19432,0.0507896742078395,0.00290155927657543,0.00290155927657543,"ESCE","ESCE",84777,0,0,0,0,0,0,100,1,84777,0,0,0,0,0,0,100,1,0,0,0,0,0,0,100,100,0,0,0,0,0,0
