"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","stillsick_p_w_provs","stillsick_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","stillsick_p_w_regs_rhs","stillsick_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"ES",2020-12-18,47026208,0.0747826086956522,0.00612959719789842,0.00175131348511384,1150,14,0.0541610897476717,901,0.00796644176403722,0.0167569379140765,901,0.0657236186556081,0.00693651916478826,0.00693651916478826,"ESAN","ESAL",716820,0,0,0,0,0,0,0,0,8414240,0,0,0,0,0,0,5,1,0.0483100823542468,0.0454508044764555,0.00683532226256591,0.00711178720042848,0.00976946763899091,0.00997722791914384,1021,1021,0.0480746531030078,0.0452293093279348,0.00680201172522397,0.00707712936806772,0.00972185814757282,0.00992860595072696
"ES",2020-12-18,47026208,0.0747826086956522,0.00612959719789842,0.00175131348511384,1150,14,0.0541610897476717,901,0.00796644176403722,0.0167569379140765,901,0.0657236186556081,0.00693651916478826,0.00693651916478826,"ESAN","ESCO",782979,0.0461538461538462,0.045,0,0,0,0,65,2,8414240,0,0,0,0,0,0,5,1,0.0483100823542468,0.0454508044764555,0.00683532226256591,0.00711178720042848,0.00976946763899091,0.00997722791914384,1021,1021,0.0480746531030078,0.0452293093279348,0.00680201172522397,0.00707712936806772,0.00972185814757282,0.00992860595072696
"ES",2020-12-18,47026208,0.0747826086956522,0.00612959719789842,0.00175131348511384,1150,14,0.0541610897476717,901,0.00796644176403722,0.0167569379140765,901,0.0657236186556081,0.00693651916478826,0.00693651916478826,"ESAN","ESGR",914678,0.153409090909091,0.136289855072464,0.0340909090909091,0.032,0.0568181818181818,0.052231884057971,176,5,8414240,0,0,0,0,0,0,5,1,0.0483100823542468,0.0454508044764555,0.00683532226256591,0.00711178720042848,0.00976946763899091,0.00997722791914384,1021,1021,0.0480746531030078,0.0452293093279348,0.00680201172522397,0.00707712936806772,0.00972185814757282,0.00992860595072696
"ES",2020-12-18,47026208,0.0747826086956522,0.00612959719789842,0.00175131348511384,1150,14,0.0541610897476717,901,0.00796644176403722,0.0167569379140765,901,0.0657236186556081,0.00693651916478826,0.00693651916478826,"ESAN","ESH",521870,0.0109090909090909,0.005,0.00363636363636364,0.00166666666666667,0,0,275,3,8414240,0,0,0,0,0,0,5,1,0.0483100823542468,0.0454508044764555,0.00683532226256591,0.00711178720042848,0.00976946763899091,0.00997722791914384,1021,1021,0.0480746531030078,0.0452293093279348,0.00680201172522397,0.00707712936806772,0.00972185814757282,0.00992860595072696
"ES",2020-12-18,47026208,0.0747826086956522,0.00612959719789842,0.00175131348511384,1150,14,0.0541610897476717,901,0.00796644176403722,0.0167569379140765,901,0.0657236186556081,0.00693651916478826,0.00693651916478826,"ESAN","ESCA",1240155,0.05,0.03,0,0,0,0,60,2,8414240,0,0,0,0,0,0,5,1,0.0483100823542468,0.0454508044764555,0.00683532226256591,0.00711178720042848,0.00976946763899091,0.00997722791914384,1021,1021,0.0480746531030078,0.0452293093279348,0.00680201172522397,0.00707712936806772,0.00972185814757282,0.00992860595072696
"ES",2020-12-18,47026208,0.0747826086956522,0.00612959719789842,0.00175131348511384,1150,14,0.0541610897476717,901,0.00796644176403722,0.0167569379140765,901,0.0657236186556081,0.00693651916478826,0.00693651916478826,"ESAN","ESJ",633564,0.155555555555556,0.155555555555556,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,90,1,8414240,0,0,0,0,0,0,5,1,0.0483100823542468,0.0454508044764555,0.00683532226256591,0.00711178720042848,0.00976946763899091,0.00997722791914384,1021,1021,0.0480746531030078,0.0452293093279348,0.00680201172522397,0.00707712936806772,0.00972185814757282,0.00992860595072696
"ES",2020-12-18,47026208,0.0747826086956522,0.00612959719789842,0.00175131348511384,1150,14,0.0541610897476717,901,0.00796644176403722,0.0167569379140765,901,0.0657236186556081,0.00693651916478826,0.00693651916478826,"ESAN","ESMA",1661785,0,0,0,0,0,0,20,1,8414240,0,0,0,0,0,0,5,1,0.0483100823542468,0.0454508044764555,0.00683532226256591,0.00711178720042848,0.00976946763899091,0.00997722791914384,1021,1021,0.0480746531030078,0.0452293093279348,0.00680201172522397,0.00707712936806772,0.00972185814757282,0.00992860595072696
"ES",2020-12-18,47026208,0.0747826086956522,0.00612959719789842,0.00175131348511384,1150,14,0.0541610897476717,901,0.00796644176403722,0.0167569379140765,901,0.0657236186556081,0.00693651916478826,0.00693651916478826,"ESAN","ESSE",1942389,0.0328358208955224,0.0433333333333333,0.00895522388059702,0.0116666666666667,0.0119402985074627,0.015,335,6,8414240,0,0,0,0,0,0,5,1,0.0483100823542468,0.0454508044764555,0.00683532226256591,0.00711178720042848,0.00976946763899091,0.00997722791914384,1021,1021,0.0480746531030078,0.0452293093279348,0.00680201172522397,0.00707712936806772,0.00972185814757282,0.00992860595072696
"ES",2020-12-18,47026208,0.0747826086956522,0.00612959719789842,0.00175131348511384,1150,14,0.0541610897476717,901,0.00796644176403722,0.0167569379140765,901,0.0657236186556081,0.00693651916478826,0.00693651916478826,"ESAR","ESTE",134137,0,0,0,0,0,0,0,0,1319291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"ES",2020-12-18,47026208,0.0747826086956522,0.00612959719789842,0.00175131348511384,1150,14,0.0541610897476717,901,0.00796644176403722,0.0167569379140765,901,0.0657236186556081,0.00693651916478826,0.00693651916478826,"ESAR","ESHU",220461,0,0,0,0,0,0,0,0,1319291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
