"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs"
"ES","2020/09/17",47026208,0.102313167259786,0.00841750841750842,2248,30,0.0596819158961946,16861,0.00301592087913154,16861,0.0646970947682106,0.00365136851041895,"ESAN","ESAL",716820,0,0,0,0,20,1,8414240,0.0374462860650706,0.0355922040922041,0.001875,0.00193415637860082,1629,30,0.0311563566126573,0.0260581992550724,0.00201220518798518,0.00162661630759284,657,657,0.0356385504350463,0.0328521160878316,0.0019144329870981,0.00184576887787806
"ES","2020/09/17",47026208,0.102313167259786,0.00841750841750842,2248,30,0.0596819158961946,16861,0.00301592087913154,16861,0.0646970947682106,0.00365136851041895,"ESAN","ESCO",782979,0,0,0,0,0,0,8414240,0.0374462860650706,0.0355922040922041,0.001875,0.00193415637860082,1629,30,0.0311563566126573,0.0260581992550724,0.00201220518798518,0.00162661630759284,657,657,0.0356385504350463,0.0328521160878316,0.0019144329870981,0.00184576887787806
"ES","2020/09/17",47026208,0.102313167259786,0.00841750841750842,2248,30,0.0596819158961946,16861,0.00301592087913154,16861,0.0646970947682106,0.00365136851041895,"ESAN","ESGR",914678,0.0192307692307692,0.0166666666666667,0,0,52,3,8414240,0.0374462860650706,0.0355922040922041,0.001875,0.00193415637860082,1629,30,0.0311563566126573,0.0260581992550724,0.00201220518798518,0.00162661630759284,657,657,0.0356385504350463,0.0328521160878316,0.0019144329870981,0.00184576887787806
"ES","2020/09/17",47026208,0.102313167259786,0.00841750841750842,2248,30,0.0596819158961946,16861,0.00301592087913154,16861,0.0646970947682106,0.00365136851041895,"ESAN","ESH",521870,0.00581395348837209,0.0125,0,0,172,4,8414240,0.0374462860650706,0.0355922040922041,0.001875,0.00193415637860082,1629,30,0.0311563566126573,0.0260581992550724,0.00201220518798518,0.00162661630759284,657,657,0.0356385504350463,0.0328521160878316,0.0019144329870981,0.00184576887787806
"ES","2020/09/17",47026208,0.102313167259786,0.00841750841750842,2248,30,0.0596819158961946,16861,0.00301592087913154,16861,0.0646970947682106,0.00365136851041895,"ESAN","ESCA",1240155,0,0,0,0,20,1,8414240,0.0374462860650706,0.0355922040922041,0.001875,0.00193415637860082,1629,30,0.0311563566126573,0.0260581992550724,0.00201220518798518,0.00162661630759284,657,657,0.0356385504350463,0.0328521160878316,0.0019144329870981,0.00184576887787806
"ES","2020/09/17",47026208,0.102313167259786,0.00841750841750842,2248,30,0.0596819158961946,16861,0.00301592087913154,16861,0.0646970947682106,0.00365136851041895,"ESAN","ESJ",633564,0.155555555555556,0.155555555555556,0.0111111111111111,0.0111111111111111,90,1,8414240,0.0374462860650706,0.0355922040922041,0.001875,0.00193415637860082,1629,30,0.0311563566126573,0.0260581992550724,0.00201220518798518,0.00162661630759284,657,657,0.0356385504350463,0.0328521160878316,0.0019144329870981,0.00184576887787806
"ES","2020/09/17",47026208,0.102313167259786,0.00841750841750842,2248,30,0.0596819158961946,16861,0.00301592087913154,16861,0.0646970947682106,0.00365136851041895,"ESAN","ESMA",1661785,0.0773809523809524,0.0546666666666667,0.00595238095238095,0.004,168,5,8414240,0.0374462860650706,0.0355922040922041,0.001875,0.00193415637860082,1629,30,0.0311563566126573,0.0260581992550724,0.00201220518798518,0.00162661630759284,657,657,0.0356385504350463,0.0328521160878316,0.0019144329870981,0.00184576887787806
"ES","2020/09/17",47026208,0.102313167259786,0.00841750841750842,2248,30,0.0596819158961946,16861,0.00301592087913154,16861,0.0646970947682106,0.00365136851041895,"ESAN","ESSE",1942389,0.00740740740740741,0.00416666666666667,0,0,135,3,8414240,0.0374462860650706,0.0355922040922041,0.001875,0.00193415637860082,1629,30,0.0311563566126573,0.0260581992550724,0.00201220518798518,0.00162661630759284,657,657,0.0356385504350463,0.0328521160878316,0.0019144329870981,0.00184576887787806
"ES","2020/09/17",47026208,0.102313167259786,0.00841750841750842,2248,30,0.0596819158961946,16861,0.00301592087913154,16861,0.0646970947682106,0.00365136851041895,"ESAR","ESTE",134137,0,0,0,0,0,0,1319291,0.0519693654266958,0.0808008658008658,0.000770416024653313,0.000434782608695652,1828,30,0.0896335155190027,0.0706421629984144,0,0,155,155,0.0549133610214047,0.0800068169181729,0.000710196920356155,0.000400798088096648
"ES","2020/09/17",47026208,0.102313167259786,0.00841750841750842,2248,30,0.0596819158961946,16861,0.00301592087913154,16861,0.0646970947682106,0.00365136851041895,"ESAR","ESHU",220461,0,0,0,0,0,0,1319291,0.0519693654266958,0.0808008658008658,0.000770416024653313,0.000434782608695652,1828,30,0.0896335155190027,0.0706421629984144,0,0,155,155,0.0549133610214047,0.0800068169181729,0.000710196920356155,0.000400798088096648
"ES","2020/09/17",47026208,0.102313167259786,0.00841750841750842,2248,30,0.0596819158961946,16861,0.00301592087913154,16861,0.0646970947682106,0.00365136851041895,"ESAR","ESZ",964693,0.12258064516129,0.0966085271317829,0,0,155,4,1319291,0.0519693654266958,0.0808008658008658,0.000770416024653313,0.000434782608695652,1828,30,0.0896335155190027,0.0706421629984144,0,0,155,155,0.0549133610214047,0.0800068169181729,0.000710196920356155,0.000400798088096648
"ES","2020/09/17",47026208,0.102313167259786,0.00841750841750842,2248,30,0.0596819158961946,16861,0.00301592087913154,16861,0.0646970947682106,0.00365136851041895,"ESAS","ESO",1022800,0.0303582270795386,0.0384444444444444,0.000739644970414201,4e-04,1647,30,1022800,0,0,0,0,0,0,0.0303582270795386,0.0384444444444444,0.000739644970414201,4e-04,1647,1647,0.0303582270795386,0.0384444444444444,0.000739644970414201,4e-04
