"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","stillsick_p_w_provs","stillsick_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","stillsick_p_w_regs_rhs","stillsick_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"ES",2020-05-20,47026208,0.0817925415230335,0.0116144018583043,0.0072840790842872,3191,30,0.0516981101909057,18615,0.0020219820520279,0.00339608939487575,18615,0.0561020050079661,0.00342569715804588,0.00342569715804588,"ESAN","ESAL",716820,0,0,0,0,0,0,0,0,8414240,0.0449507389162562,0.0483937044867277,0.00186915887850467,0.00285714285714286,0.00325732899022801,0.00512820512820513,1624,30,0.0175443489272159,0.0129677532274652,0.00191744411277267,0.00131664495743723,0.00191744411277267,0.00131664495743723,403,403,0.0395019105168564,0.0413504591204313,0.00187875875487863,0.00255086725103463,0.00299093845958445,0.00437040604146637
"ES",2020-05-20,47026208,0.0817925415230335,0.0116144018583043,0.0072840790842872,3191,30,0.0516981101909057,18615,0.0020219820520279,0.00339608939487575,18615,0.0561020050079661,0.00342569715804588,0.00342569715804588,"ESAN","ESCO",782979,0,0,0,0,0,0,0,0,8414240,0.0449507389162562,0.0483937044867277,0.00186915887850467,0.00285714285714286,0.00325732899022801,0.00512820512820513,1624,30,0.0175443489272159,0.0129677532274652,0.00191744411277267,0.00131664495743723,0.00191744411277267,0.00131664495743723,403,403,0.0395019105168564,0.0413504591204313,0.00187875875487863,0.00255086725103463,0.00299093845958445,0.00437040604146637
"ES",2020-05-20,47026208,0.0817925415230335,0.0116144018583043,0.0072840790842872,3191,30,0.0516981101909057,18615,0.0020219820520279,0.00339608939487575,18615,0.0561020050079661,0.00342569715804588,0.00342569715804588,"ESAN","ESGR",914678,0,0,0,0,0,0,0,0,8414240,0.0449507389162562,0.0483937044867277,0.00186915887850467,0.00285714285714286,0.00325732899022801,0.00512820512820513,1624,30,0.0175443489272159,0.0129677532274652,0.00191744411277267,0.00131664495743723,0.00191744411277267,0.00131664495743723,403,403,0.0395019105168564,0.0413504591204313,0.00187875875487863,0.00255086725103463,0.00299093845958445,0.00437040604146637
"ES",2020-05-20,47026208,0.0817925415230335,0.0116144018583043,0.0072840790842872,3191,30,0.0516981101909057,18615,0.0020219820520279,0.00339608939487575,18615,0.0561020050079661,0.00342569715804588,0.00342569715804588,"ESAN","ESH",521870,0,0,0,0,0,0,0,0,8414240,0.0449507389162562,0.0483937044867277,0.00186915887850467,0.00285714285714286,0.00325732899022801,0.00512820512820513,1624,30,0.0175443489272159,0.0129677532274652,0.00191744411277267,0.00131664495743723,0.00191744411277267,0.00131664495743723,403,403,0.0395019105168564,0.0413504591204313,0.00187875875487863,0.00255086725103463,0.00299093845958445,0.00437040604146637
"ES",2020-05-20,47026208,0.0817925415230335,0.0116144018583043,0.0072840790842872,3191,30,0.0516981101909057,18615,0.0020219820520279,0.00339608939487575,18615,0.0561020050079661,0.00342569715804588,0.00342569715804588,"ESAN","ESCA",1240155,0,0,0,0,0,0,20,1,8414240,0.0449507389162562,0.0483937044867277,0.00186915887850467,0.00285714285714286,0.00325732899022801,0.00512820512820513,1624,30,0.0175443489272159,0.0129677532274652,0.00191744411277267,0.00131664495743723,0.00191744411277267,0.00131664495743723,403,403,0.0395019105168564,0.0413504591204313,0.00187875875487863,0.00255086725103463,0.00299093845958445,0.00437040604146637
"ES",2020-05-20,47026208,0.0817925415230335,0.0116144018583043,0.0072840790842872,3191,30,0.0516981101909057,18615,0.0020219820520279,0.00339608939487575,18615,0.0561020050079661,0.00342569715804588,0.00342569715804588,"ESAN","ESJ",633564,0,0,0,0,0,0,0,0,8414240,0.0449507389162562,0.0483937044867277,0.00186915887850467,0.00285714285714286,0.00325732899022801,0.00512820512820513,1624,30,0.0175443489272159,0.0129677532274652,0.00191744411277267,0.00131664495743723,0.00191744411277267,0.00131664495743723,403,403,0.0395019105168564,0.0413504591204313,0.00187875875487863,0.00255086725103463,0.00299093845958445,0.00437040604146637
"ES",2020-05-20,47026208,0.0817925415230335,0.0116144018583043,0.0072840790842872,3191,30,0.0516981101909057,18615,0.0020219820520279,0.00339608939487575,18615,0.0561020050079661,0.00342569715804588,0.00342569715804588,"ESAN","ESMA",1661785,0.0679611650485437,0.0466666666666667,0.00970873786407767,0.00666666666666667,0.00970873786407767,0.00666666666666667,103,3,8414240,0.0449507389162562,0.0483937044867277,0.00186915887850467,0.00285714285714286,0.00325732899022801,0.00512820512820513,1624,30,0.0175443489272159,0.0129677532274652,0.00191744411277267,0.00131664495743723,0.00191744411277267,0.00131664495743723,403,403,0.0395019105168564,0.0413504591204313,0.00187875875487863,0.00255086725103463,0.00299093845958445,0.00437040604146637
"ES",2020-05-20,47026208,0.0817925415230335,0.0116144018583043,0.0072840790842872,3191,30,0.0516981101909057,18615,0.0020219820520279,0.00339608939487575,18615,0.0561020050079661,0.00342569715804588,0.00342569715804588,"ESAN","ESSE",1942389,0.0178571428571429,0.01625,0,0,0,0,280,2,8414240,0.0449507389162562,0.0483937044867277,0.00186915887850467,0.00285714285714286,0.00325732899022801,0.00512820512820513,1624,30,0.0175443489272159,0.0129677532274652,0.00191744411277267,0.00131664495743723,0.00191744411277267,0.00131664495743723,403,403,0.0395019105168564,0.0413504591204313,0.00187875875487863,0.00255086725103463,0.00299093845958445,0.00437040604146637
"ES",2020-05-20,47026208,0.0817925415230335,0.0116144018583043,0.0072840790842872,3191,30,0.0516981101909057,18615,0.0020219820520279,0.00339608939487575,18615,0.0561020050079661,0.00342569715804588,0.00342569715804588,"ESAR","ESTE",134137,0,0,0,0,0,0,0,0,1319291,0.043043043043043,0.0778564213564214,0.00185414091470952,0.000833333333333333,0.00432632880098887,0.00579861111111111,1998,30,0,0,0,0,0,0,2,2,0.043,0.0777785649350649,0.00185228677379481,0.0008325,0.00432200247218789,0.0057928125
"ES",2020-05-20,47026208,0.0817925415230335,0.0116144018583043,0.0072840790842872,3191,30,0.0516981101909057,18615,0.0020219820520279,0.00339608939487575,18615,0.0561020050079661,0.00342569715804588,0.00342569715804588,"ESAR","ESHU",220461,0,0,0,0,0,0,0,0,1319291,0.043043043043043,0.0778564213564214,0.00185414091470952,0.000833333333333333,0.00432632880098887,0.00579861111111111,1998,30,0,0,0,0,0,0,2,2,0.043,0.0777785649350649,0.00185228677379481,0.0008325,0.00432200247218789,0.0057928125
