"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2020/03/15","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/16","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/17","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/18","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/19","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/20","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/21","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/22","ESCT",7675217,10,1010,10,1010,0.0108910891089109,0.00640096005552719,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/23","ESCT",7675217,12,1110,12,1110,0.0162162162162162,0.00743038290549747,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/24","ESCT",7675217,19,1730,19,1730,0.0236994219653179,0.00716779687370546,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/25","ESCT",7675217,32,2810,32,2810,0.0277580071174377,0.00607402059329998,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/26","ESCT",7675217,40,3690,40,3690,0.029810298102981,0.00548714450636036,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/27","ESCT",7675217,42,3990,42,3990,0.0280701754385965,0.00512509194598762,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/28","ESCT",7675217,45,4210,45,4210,0.0285035629453682,0.00502663353503151,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/29","ESCT",7675217,51,4770,51,4770,0.0272536687631027,0.00462062995103101,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/30","ESCT",7675217,54,4925,54,4925,0.0265989847715736,0.00449389997252149,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/31","ESCT",7675217,57,4960,57,4960,0.0272177419354839,0.00452836181273689,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/01","ESCT",7675217,63,5190,63,5190,0.0294797687861272,0.00460181065247487,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/02","ESCT",7675217,71,5752,71,5752,0.0304242002781641,0.00443852961088594,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/03","ESCT",7675217,72,5852,72,5852,0.030416951469583,0.00439993521275298,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/04","ESCT",7675217,76,6102,76,6102,0.0299901671583087,0.00427946521778911,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/05","ESCT",7675217,79,6309,79,6309,0.0304327151688065,0.0042386460732377,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/06","ESCT",7675217,81,6434,71,5424,0.0301523158221946,0.0041784928751482,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/07","ESCT",7675217,89,6899,77,5789,0.0292796057399623,0.00397818254755041,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/08","ESCT",7675217,91,6974,72,5244,0.0303986234585604,0.00402931007864815,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/09","ESCT",7675217,100,7406,80,5706,0.0342965163381042,0.00414479581387114,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/10","ESCT",7675217,100,7197,76,5027,0.0347366958454912,0.0042304784856545,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/11","ESCT",7675217,100,7107,77,4847,0.0354579991557619,0.00429954617888084,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/12","ESCT",7675217,100,7020,77,4780,0.0358974358974359,0.00435183948438578,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/13","ESCT",7675217,100,6970,73,4370,0.0358680057388809,0.00436569674272011,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/14","ESCT",7675217,100,7030,71,4315,0.0365576102418208,0.00438704614922338,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/15","ESCT",7675217,100,6910,70,4410,0.0363241678726483,0.00441135885463772,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/16","ESCT",7675217,100,6850,66,4270,0.0372262773722628,0.00448321662342723,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/17","ESCT",7675217,100,6900,59,3808,0.037536231884058,0.00448477931226979,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/18","ESCT",7675217,100,6870,60,3828,0.0366812227074236,0.00444504986441015,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/19","ESCT",7675217,100,6810,57,3618,0.0370044052863436,0.00448346103476028,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/20","ESCT",7675217,100,6810,54,3411,0.0370044052863436,0.00448346103476028,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/21","ESCT",7675217,100,6810,52,3286,0.0370044052863436,0.00448346103476028,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/22","ESCT",7675217,100,6810,44,2821,0.0370044052863436,0.00448346103476028,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/23","ESCT",7675217,100,6810,42,2746,0.0370044052863436,0.00448346103476028,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/24","ESCT",7675217,100,6810,21,1204,0.0370044052863436,0.00448346103476028,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/25","ESCT",7675217,100,6810,17,1003,0.0370044052863436,0.00448346103476028,NA,NA,NA,NA,NA,NA,NA,NA
