"date","region","population","sample_size","reach","p_cases"
"2020/04/13","ESCE",84777,0,0,NA
"2020/04/14","ESCE",84777,0,0,NA
"2020/04/15","ESCE",84777,0,0,NA
"2020/04/16","ESCE",84777,0,0,NA
"2020/04/17","ESCE",84777,0,0,NA
"2020/04/18","ESCE",84777,0,0,NA
"2020/04/19","ESCE",84777,0,0,NA
"2020/04/20","ESCE",84777,0,0,NA
"2020/04/21","ESCE",84777,0,0,NA
"2020/04/22","ESCE",84777,0,0,NA
"2020/04/23","ESCE",84777,0,0,NA
"2020/04/24","ESCE",84777,0,0,NA
"2020/04/25","ESCE",84777,0,0,NA
"2020/04/26","ESCE",84777,0,0,NA
"2020/04/27","ESCE",84777,0,0,NA
"2020/04/13","ESML",86487,0,0,NA
"2020/04/14","ESML",86487,0,0,NA
"2020/04/15","ESML",86487,0,0,NA
"2020/04/16","ESML",86487,0,0,NA
"2020/04/17","ESML",86487,0,0,NA
"2020/04/18","ESML",86487,0,0,NA
"2020/04/19","ESML",86487,0,0,NA
"2020/04/20","ESML",86487,0,0,NA
"2020/04/21","ESML",86487,0,0,NA
"2020/04/22","ESML",86487,0,0,NA
"2020/04/23","ESML",86487,0,0,NA
"2020/04/24","ESML",86487,0,0,NA
"2020/04/25","ESML",86487,0,0,NA
"2020/04/26","ESML",86487,0,0,NA
"2020/04/27","ESML",86487,0,0,NA
"2020/04/13","ESGA",2699499,50,3797,0.0408217013431657
"2020/04/14","ESGA",2699499,50,3797,0.0408217013431657
"2020/04/15","ESGA",2699499,50,3797,0.0397682380826969
"2020/04/16","ESGA",2699499,50,3797,0.0397682380826969
"2020/04/17","ESGA",2699499,50,3887,0.0403910470800103
"2020/04/18","ESGA",2699499,50,3717,0.0427764326069411
"2020/04/19","ESGA",2699499,50,3717,0.0427764326069411
"2020/04/20","ESGA",2699499,50,3717,0.0427764326069411
"2020/04/21","ESGA",2699499,50,3717,0.0427764326069411
"2020/04/22","ESGA",2699499,50,3717,0.0427764326069411
"2020/04/23","ESGA",2699499,50,3717,0.0427764326069411
"2020/04/24","ESGA",2699499,50,3717,0.0427764326069411
