"date","region","population","sample_size","reach","p_cases"
"2020/04/25","ESGA",2699499,50,3717,0.0427764326069411
"2020/04/26","ESGA",2699499,50,3717,0.0427764326069411
"2020/04/27","ESGA",2699499,50,3717,0.0427764326069411
"2020/04/13","ESPV",2207776,50,3521,0.0494177790400454
"2020/04/14","ESPV",2207776,50,3521,0.0494177790400454
"2020/04/15","ESPV",2207776,50,3451,0.0521587945523037
"2020/04/16","ESPV",2207776,50,3351,0.0510295434198747
"2020/04/17","ESPV",2207776,50,3448,0.0510440835266821
"2020/04/18","ESPV",2207776,50,3298,0.0515463917525773
"2020/04/19","ESPV",2207776,50,3298,0.0515463917525773
"2020/04/20","ESPV",2207776,50,3298,0.0515463917525773
"2020/04/21","ESPV",2207776,50,3298,0.0515463917525773
"2020/04/22","ESPV",2207776,50,3338,0.0509286998202516
"2020/04/23","ESPV",2207776,50,3338,0.0509286998202516
"2020/04/24","ESPV",2207776,50,3378,0.0506216696269982
"2020/04/25","ESPV",2207776,50,3378,0.0506216696269982
"2020/04/26","ESPV",2207776,50,3378,0.0506216696269982
"2020/04/27","ESPV",2207776,50,3378,0.0506216696269982
"2020/04/13","ESCM",2032863,50,3333,0.108910891089109
"2020/04/14","ESCM",2032863,50,3373,0.107915801956715
"2020/04/15","ESCM",2032863,50,3303,0.106569785043899
"2020/04/16","ESCM",2032863,50,3278,0.106772422208664
"2020/04/17","ESCM",2032863,50,3243,0.100832562442183
"2020/04/18","ESCM",2032863,50,3129,0.0898050495365932
"2020/04/19","ESCM",2032863,50,3129,0.0898050495365932
"2020/04/20","ESCM",2032863,50,3129,0.0898050495365932
"2020/04/21","ESCM",2032863,50,3129,0.0898050495365932
"2020/04/22","ESCM",2032863,50,3079,0.0906138356609289
"2020/04/23","ESCM",2032863,50,3076,0.0890767230169051
"2020/04/24","ESCM",2032863,50,3076,0.0894018205461638
"2020/04/25","ESCM",2032863,50,3076,0.0894018205461638
"2020/04/26","ESCM",2032863,50,3016,0.0888594164456233
"2020/04/27","ESCM",2032863,50,3086,0.0871678548282566
"2020/04/13","ESVC",5003769,50,3923,0.0188631149630385
"2020/04/14","ESVC",5003769,50,4003,0.0199850112415688
"2020/04/15","ESVC",5003769,50,4003,0.0199850112415688
"2020/04/16","ESVC",5003769,50,4103,0.0221788934925664
"2020/04/17","ESVC",5003769,50,4228,0.021286660359508
"2020/04/18","ESVC",5003769,50,4228,0.021759697256386
"2020/04/19","ESVC",5003769,50,4228,0.022232734153264
"2020/04/20","ESVC",5003769,50,4228,0.022232734153264
"2020/04/21","ESVC",5003769,50,4228,0.0227057710501419
"2020/04/22","ESVC",5003769,50,4228,0.0227057710501419
"2020/04/23","ESVC",5003769,50,4228,0.0227057710501419
"2020/04/24","ESVC",5003769,50,4208,0.0232889733840304
"2020/04/25","ESVC",5003769,50,4208,0.0242395437262357
"2020/04/26","ESVC",5003769,50,4208,0.0242395437262357
"2020/04/27","ESVC",5003769,50,4208,0.0247148288973384
"2020/04/13","ESAN",8414240,50,3947,0.0258424119584495
"2020/04/14","ESAN",8414240,50,4067,0.0255716744529137
"2020/04/15","ESAN",8414240,50,4017,0.0253920836445108
"2020/04/16","ESAN",8414240,50,3912,0.0253067484662577
"2020/04/17","ESAN",8414240,50,3912,0.0253067484662577
"2020/04/18","ESAN",8414240,50,3922,0.0257521672616012
"2020/04/19","ESAN",8414240,50,3956,0.0273003033367037
"2020/04/20","ESAN",8414240,50,3906,0.0276497695852535
"2020/04/21","ESAN",8414240,50,3846,0.0273010920436817
"2020/04/22","ESAN",8414240,50,3846,0.0273010920436817
"2020/04/23","ESAN",8414240,50,3846,0.0273010920436817
"2020/04/24","ESAN",8414240,50,3919,0.0270477162541465
"2020/04/25","ESAN",8414240,50,3919,0.0270477162541465
"2020/04/26","ESAN",8414240,50,3919,0.0270477162541465
"2020/04/27","ESAN",8414240,50,3919,0.0270477162541465
"2020/04/13","ESAS",1022800,41,3235,0.0166924265842349
"2020/04/14","ESAS",1022800,42,3285,0.0164383561643836
"2020/04/15","ESAS",1022800,43,3385,0.0189069423929099
"2020/04/16","ESAS",1022800,43,3385,0.0189069423929099
"2020/04/17","ESAS",1022800,43,3385,0.0189069423929099
"2020/04/18","ESAS",1022800,44,3387,0.0188957779746088
"2020/04/19","ESAS",1022800,44,3387,0.0188957779746088
"2020/04/20","ESAS",1022800,44,3387,0.0188957779746088
"2020/04/21","ESAS",1022800,44,3387,0.0188957779746088
"2020/04/22","ESAS",1022800,44,3387,0.0188957779746088
"2020/04/23","ESAS",1022800,44,3387,0.0188957779746088
"2020/04/24","ESAS",1022800,44,3387,0.0188957779746088
"2020/04/25","ESAS",1022800,44,3387,0.0188957779746088
"2020/04/26","ESAS",1022800,44,3387,0.0188957779746088
"2020/04/27","ESAS",1022800,45,3437,0.0189118417224324
"2020/04/13","ESCL",2399548,50,3839,0.0523573847356082
"2020/04/14","ESCL",2399548,50,3839,0.0523573847356082
"2020/04/15","ESCL",2399548,50,3749,0.0536142971459056
"2020/04/16","ESCL",2399548,50,3664,0.0548580786026201
"2020/04/17","ESCL",2399548,50,3664,0.0548580786026201
"2020/04/18","ESCL",2399548,50,3664,0.0548580786026201
"2020/04/19","ESCL",2399548,50,3664,0.0548580786026201
"2020/04/20","ESCL",2399548,50,3664,0.0548580786026201
"2020/04/21","ESCL",2399548,50,3664,0.0548580786026201
"2020/04/22","ESCL",2399548,50,3664,0.0548580786026201
"2020/04/23","ESCL",2399548,50,3664,0.0548580786026201
"2020/04/24","ESCL",2399548,50,3664,0.0548580786026201
"2020/04/25","ESCL",2399548,50,3664,0.0548580786026201
"2020/04/26","ESCL",2399548,50,3664,0.0548580786026201
"2020/04/27","ESCL",2399548,50,3639,0.0546853531189887
"2020/04/13","ESEX",1067710,27,1943,0.0365414307771487
"2020/04/14","ESEX",1067710,31,2168,0.0387453874538745
"2020/04/15","ESEX",1067710,32,2218,0.0378719567177637
"2020/04/16","ESEX",1067710,32,2218,0.0378719567177637
"2020/04/17","ESEX",1067710,33,2368,0.035472972972973
"2020/04/18","ESEX",1067710,33,2368,0.035472972972973
"2020/04/19","ESEX",1067710,33,2368,0.035472972972973
"2020/04/20","ESEX",1067710,33,2368,0.035472972972973
"2020/04/21","ESEX",1067710,33,2368,0.035472972972973
"2020/04/22","ESEX",1067710,33,2368,0.035472972972973
"2020/04/23","ESEX",1067710,33,2368,0.035472972972973
"2020/04/24","ESEX",1067710,33,2368,0.035472972972973
"2020/04/25","ESEX",1067710,33,2368,0.035472972972973
"2020/04/26","ESEX",1067710,33,2368,0.035472972972973
"2020/04/27","ESEX",1067710,33,2368,0.035472972972973
"2020/04/13","ESIB",1149460,15,1170,0.0324786324786325
"2020/04/14","ESIB",1149460,16,1230,0.0308943089430894
"2020/04/15","ESIB",1149460,16,1230,0.0308943089430894
"2020/04/16","ESIB",1149460,31,1895,0.0284960422163588
"2020/04/17","ESIB",1149460,33,2005,0.027930174563591
"2020/04/18","ESIB",1149460,33,2005,0.027930174563591
"2020/04/19","ESIB",1149460,33,2005,0.027930174563591
"2020/04/20","ESIB",1149460,34,2155,0.0278422273781903
"2020/04/21","ESIB",1149460,34,2155,0.0278422273781903
"2020/04/22","ESIB",1149460,34,2155,0.0278422273781903
"2020/04/23","ESIB",1149460,34,2155,0.0278422273781903
"2020/04/24","ESIB",1149460,34,2155,0.0278422273781903
"2020/04/25","ESIB",1149460,34,2155,0.0278422273781903
"2020/04/26","ESIB",1149460,35,2235,0.0295302013422819
"2020/04/27","ESIB",1149460,35,2235,0.0295302013422819
"2020/04/13","ESCT",7675217,50,3158,0.0383153894870171
"2020/04/14","ESCT",7675217,50,3238,0.0395305744286597
"2020/04/15","ESCT",7675217,50,3168,0.0404040404040404
"2020/04/16","ESCT",7675217,50,3151,0.0403046651856553
"2020/04/17","ESCT",7675217,50,3151,0.0428435417327832
"2020/04/18","ESCT",7675217,50,3146,0.0432294977749523
"2020/04/19","ESCT",7675217,50,3086,0.042449773169151
"2020/04/20","ESCT",7675217,50,3086,0.042449773169151
"2020/04/21","ESCT",7675217,50,3086,0.042449773169151
"2020/04/22","ESCT",7675217,50,3086,0.042449773169151
"2020/04/23","ESCT",7675217,50,3086,0.042449773169151
"2020/04/24","ESCT",7675217,50,3086,0.042449773169151
"2020/04/25","ESCT",7675217,50,3086,0.042449773169151
"2020/04/26","ESCT",7675217,50,3166,0.0451674036639292
"2020/04/27","ESCT",7675217,50,3096,0.0481266149870801
"2020/04/13","ESCB",581078,19,1885,0.0228116710875332
"2020/04/14","ESCB",581078,19,1885,0.0228116710875332
"2020/04/15","ESCB",581078,19,1885,0.0228116710875332
"2020/04/16","ESCB",581078,19,1885,0.0228116710875332
"2020/04/17","ESCB",581078,19,1885,0.0228116710875332
"2020/04/18","ESCB",581078,19,1885,0.0228116710875332
"2020/04/19","ESCB",581078,19,1885,0.0228116710875332
"2020/04/20","ESCB",581078,19,1885,0.0228116710875332
"2020/04/21","ESCB",581078,19,1885,0.0228116710875332
"2020/04/22","ESCB",581078,19,1885,0.0228116710875332
"2020/04/23","ESCB",581078,19,1885,0.0228116710875332
"2020/04/24","ESCB",581078,19,1885,0.0228116710875332
"2020/04/25","ESCB",581078,19,1885,0.0228116710875332
"2020/04/26","ESCB",581078,19,1885,0.0228116710875332
"2020/04/27","ESCB",581078,19,1885,0.0228116710875332
"2020/04/13","ESAR",1319291,45,3535,0.0381895332390382
"2020/04/14","ESAR",1319291,46,3635,0.0371389270976616
"2020/04/15","ESAR",1319291,46,3635,0.0371389270976616
"2020/04/16","ESAR",1319291,47,3645,0.0373113854595336
"2020/04/17","ESAR",1319291,47,3645,0.0373113854595336
"2020/04/18","ESAR",1319291,47,3645,0.0373113854595336
"2020/04/19","ESAR",1319291,47,3645,0.0373113854595336
"2020/04/20","ESAR",1319291,47,3645,0.0373113854595336
"2020/04/21","ESAR",1319291,47,3645,0.0373113854595336
"2020/04/22","ESAR",1319291,47,3645,0.0373113854595336
"2020/04/23","ESAR",1319291,47,3645,0.0373113854595336
"2020/04/24","ESAR",1319291,47,3645,0.0373113854595336
"2020/04/25","ESAR",1319291,47,3645,0.0373113854595336
"2020/04/26","ESAR",1319291,49,3715,0.0379542395693136
"2020/04/27","ESAR",1319291,49,3715,0.0379542395693136
"2020/04/13","ESRI",316798,9,498,0.0401606425702811
"2020/04/14","ESRI",316798,9,498,0.0401606425702811
"2020/04/15","ESRI",316798,9,498,0.0401606425702811
"2020/04/16","ESRI",316798,9,498,0.0401606425702811
"2020/04/17","ESRI",316798,9,498,0.0401606425702811
"2020/04/18","ESRI",316798,9,498,0.0401606425702811
"2020/04/19","ESRI",316798,9,498,0.0401606425702811
"2020/04/20","ESRI",316798,9,498,0.0401606425702811
"2020/04/21","ESRI",316798,10,518,0.0482625482625483
"2020/04/22","ESRI",316798,10,518,0.0482625482625483
"2020/04/23","ESRI",316798,10,518,0.0482625482625483
"2020/04/24","ESRI",316798,10,518,0.0482625482625483
"2020/04/25","ESRI",316798,10,518,0.0482625482625483
"2020/04/26","ESRI",316798,10,518,0.0482625482625483
"2020/04/27","ESRI",316798,10,518,0.0482625482625483
"2020/04/13","ESCN",2153389,24,1678,0.0256257449344458
"2020/04/14","ESCN",2153389,25,1728,0.025462962962963
"2020/04/15","ESCN",2153389,25,1728,0.025462962962963
"2020/04/16","ESCN",2153389,25,1728,0.025462962962963
"2020/04/17","ESCN",2153389,25,1728,0.025462962962963
"2020/04/18","ESCN",2153389,27,1878,0.0234291799787007
"2020/04/19","ESCN",2153389,27,1878,0.0234291799787007
"2020/04/20","ESCN",2153389,27,1878,0.0234291799787007
"2020/04/21","ESCN",2153389,27,1878,0.0234291799787007
"2020/04/22","ESCN",2153389,27,1878,0.0234291799787007
"2020/04/23","ESCN",2153389,27,1878,0.0234291799787007
"2020/04/24","ESCN",2153389,27,1878,0.0234291799787007
"2020/04/25","ESCN",2153389,27,1878,0.0234291799787007
"2020/04/26","ESCN",2153389,27,1878,0.0234291799787007
"2020/04/27","ESCN",2153389,27,1878,0.0234291799787007
"2020/04/13","ESMD",6663394,50,4506,0.0878828229027963
"2020/04/14","ESMD",6663394,50,3922,0.0749617542070372
"2020/04/15","ESMD",6663394,50,4095,0.0796092796092796
"2020/04/16","ESMD",6663394,50,3719,0.0879268620596935
"2020/04/17","ESMD",6663394,50,3763,0.085835769332979
"2020/04/18","ESMD",6663394,50,3994,0.0981472208312469
"2020/04/19","ESMD",6663394,50,4223,0.0977977740942458
"2020/04/20","ESMD",6663394,50,4009,0.0885507607882265
"2020/04/21","ESMD",6663394,50,4321,0.104836843323305
"2020/04/22","ESMD",6663394,50,4351,0.110089634566766
"2020/04/23","ESMD",6663394,50,4301,0.120437107649384
"2020/04/24","ESMD",6663394,50,4407,0.12094395280236
"2020/04/25","ESMD",6663394,50,4343,0.113746258346765
"2020/04/26","ESMD",6663394,50,4528,0.116166077738516
"2020/04/27","ESMD",6663394,50,4318,0.110699397869384
"2020/04/13","ESMC",1493898,41,2783,0.0183255479698167
"2020/04/14","ESMC",1493898,44,2915,0.0178387650085763
"2020/04/15","ESMC",1493898,44,2915,0.0178387650085763
"2020/04/16","ESMC",1493898,45,2975,0.0178151260504202
"2020/04/17","ESMC",1493898,46,3035,0.0177924217462932
"2020/04/18","ESMC",1493898,46,3035,0.0177924217462932
"2020/04/19","ESMC",1493898,46,3035,0.0177924217462932
"2020/04/20","ESMC",1493898,46,3035,0.0177924217462932
"2020/04/21","ESMC",1493898,46,3035,0.0177924217462932
"2020/04/22","ESMC",1493898,46,3035,0.0177924217462932
"2020/04/23","ESMC",1493898,46,3035,0.0177924217462932
"2020/04/24","ESMC",1493898,46,3035,0.0177924217462932
"2020/04/25","ESMC",1493898,46,3035,0.0177924217462932
"2020/04/26","ESMC",1493898,46,3035,0.0177924217462932
"2020/04/27","ESMC",1493898,46,3035,0.0177924217462932
"2020/04/13","ESNC",654214,13,1250,0.0352
"2020/04/14","ESNC",654214,13,1250,0.0352
"2020/04/15","ESNC",654214,13,1250,0.0352
"2020/04/16","ESNC",654214,17,1690,0.0378698224852071
"2020/04/17","ESNC",654214,17,1690,0.0378698224852071
"2020/04/18","ESNC",654214,19,1780,0.0421348314606742
"2020/04/19","ESNC",654214,19,1780,0.0421348314606742
"2020/04/20","ESNC",654214,19,1780,0.0421348314606742
"2020/04/21","ESNC",654214,20,1880,0.0420212765957447
"2020/04/22","ESNC",654214,20,1880,0.0420212765957447
"2020/04/23","ESNC",654214,20,1880,0.0420212765957447
"2020/04/24","ESNC",654214,20,1880,0.0420212765957447
"2020/04/25","ESNC",654214,20,1880,0.0420212765957447
"2020/04/26","ESNC",654214,20,1880,0.0420212765957447
"2020/04/27","ESNC",654214,20,1880,0.0420212765957447
