"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2021/01/03","ESCE",84777,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/03","ESML",86487,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/03","ESGA",2699499,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/03","ESPV",2207776,1,30,0,0,0.133333333333333,0.121641811365596,0,0,NA,NA,NA,NA,NA,NA
"2021/01/03","ESCM",2032863,3,166,0,0,0.108433734939759,0.0472991209196244,0.0120481927710843,0.0165967434511956,NA,NA,NA,NA,NA,NA
"2021/01/03","ESVC",5003769,4,248,1,18,0.0161290322580645,0.0156781739485884,0,0,NA,NA,NA,NA,NA,NA
"2021/01/03","ESAN",8414240,2,50,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/03","ESAS",1022800,17,1172,5,360,0.0426621160409556,0.0115701264164248,0,0,0.00833333333333333,0.00939050774651639,0.00119047619047619,0.00356203789142095,0.00277777777777778,0.00543677755364395
"2021/01/03","ESCL",2399548,6,395,1,25,0.0607594936708861,0.0235583583295754,0,0,0,0,0,0,0,0
"2021/01/03","ESEX",1067710,1,200,0,0,0.05,0.0302050735790339,0,0,NA,NA,NA,NA,NA,NA
"2021/01/03","ESIB",1149460,7,430,5,305,0.0418604651162791,0.0189291131917534,0,0,0.00327868852459016,0.00641556816671849,0.000468384074941452,0.00242827293610772,0,0
"2021/01/03","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/03","ESCB",581078,2,150,0,0,0.0533333333333333,0.035958400740232,0,0,NA,NA,NA,NA,NA,NA
"2021/01/03","ESAR",1319291,2,77,2,77,0,0,NA,NA,0,0,0,0,0,0
"2021/01/03","ESRI",316798,2,120,1,100,0.158333333333333,0.0653151170258606,0,0,0.04,0.0384072934108425,0.00571428571428571,0.0147735432009541,0.04,0.0384072934108425
"2021/01/03","ESCN",2153389,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/03","ESMD",6663394,50,3600,31,2427,0.110555555555556,0.0102434567877655,0.00864197530864197,0.00450725736982057,0.00644606789858186,0.00325156964458469,0.000920866842654552,0.00123239027178256,0.00715187210769878,0.00338754271872054
"2021/01/03","ESMC",1493898,9,744,2,220,0.00940860215053763,0.00693699612076543,0.00381679389312977,0.00527960473732457,0,0,0,0,0,0
"2021/01/03","ESNC",654214,2,112,0,0,0.00892857142857143,0.0174213797031353,0,0,NA,NA,NA,NA,NA,NA
