"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2020/03/15","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/16","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/17","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/18","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/19","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/20","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/21","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/22","ESMD",6663394,112,11540,112,11540,0.0422876949740035,0.00367172145234405,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/23","ESMD",6663394,123,12750,123,12750,0.0433725490196078,0.00353567136652109,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/24","ESMD",6663394,197,21050,197,21050,0.0431353919239905,0.00274450585005115,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/25","ESMD",6663394,200,20497,200,20497,0.0467385471044543,0.00288965876275767,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/26","ESMD",6663394,200,19982,200,19982,0.0476428785907317,0.00295343574924756,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/27","ESMD",6663394,200,19787,200,19787,0.0486177793500783,0.00299663045391853,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/28","ESMD",6663394,200,19706,200,19706,0.0544504211915153,0.00316804707516439,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/29","ESMD",6663394,200,18269,200,18269,0.0628386884886967,0.00351893654075232,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/30","ESMD",6663394,200,18194,200,18194,0.062328240079147,0.0035127872367891,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/31","ESMD",6663394,200,17534,200,17534,0.0629063533705943,0.00359373741969555,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/01","ESMD",6663394,200,17956,200,17956,0.0632657607484963,0.00356070387626531,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/02","ESMD",6663394,200,18755,200,18755,0.0670221274326846,0.00357877449213669,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/03","ESMD",6663394,200,18644,200,18644,0.0686011585496675,0.0036283745802515,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/04","ESMD",6663394,200,19743,200,19743,0.0688851744922251,0.00353269399844476,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/05","ESMD",6663394,200,20473,200,20473,0.0664778000293069,0.00341238474939863,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/06","ESMD",6663394,200,20371,200,20371,0.0686269697118453,0.00347177168575115,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/07","ESMD",6663394,200,20494,200,20494,0.0718259002634918,0.00353500462943414,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/08","ESMD",6663394,200,20219,200,20219,0.0717641822048568,0.00355755224112189,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/09","ESMD",6663394,200,16755,200,16755,0.0891674127126231,0.00431517325772021,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/10","ESMD",6663394,200,17140,200,17140,0.0866977829638273,0.00421263599322125,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/11","ESMD",6663394,200,17142,200,17142,0.0847042352117606,0.00416822001676144,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/12","ESMD",6663394,200,17294,200,17294,0.0890482248178559,0.00424483379287967,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/13","ESMD",6663394,200,17590,200,17590,0.0897669130187607,0.00422425012501199,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/14","ESMD",6663394,200,17173,200,17173,0.0840272520817563,0.0041493145887227,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/15","ESMD",6663394,200,16946,200,16946,0.0846217396435737,0.00419040270680305,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/16","ESMD",6663394,200,15720,200,15720,0.0893765903307888,0.00445967403704314,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/17","ESMD",6663394,200,16026,200,16026,0.0881692250093598,0.00438986491653913,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/18","ESMD",6663394,200,16113,200,16113,0.0891205858623472,0.00439925713875968,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/19","ESMD",6663394,200,16123,200,16123,0.0899956583762327,0.00441730793504782,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/20","ESMD",6663394,200,15903,200,15903,0.0870904860718103,0.00438235732020544,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/21","ESMD",6663394,200,16155,200,16155,0.0904982977406376,0.00442401481956645,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/22","ESMD",6663394,200,16105,200,16105,0.0920832039739211,0.00446561175735438,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/23","ESMD",6663394,200,16200,200,16200,0.0900617283950617,0.00440825479163587,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/24","ESMD",6663394,200,16348,200,16348,0.093528260337656,0.00446338489325203,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/25","ESMD",6663394,200,16166,200,16166,0.0920450327848571,0.00445634839708691,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/26","ESMD",6663394,200,16205,200,16205,0.0950323974082073,0.00451518897927199,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/27","ESMD",6663394,200,16145,200,16145,0.0953236296066894,0.00452976816301074,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/28","ESMD",6663394,200,16167,200,16167,0.0964310014226511,0.00455011497950715,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/29","ESMD",6663394,200,16026,152,12373,0.0973418195432422,0.00458930491121796,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/30","ESMD",6663394,200,16236,144,11731,0.0982384823848238,0.0045782050603483,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/01","ESMD",6663394,200,16366,107,9162,0.0990468043504827,0.00457665490726096,0,0,NA,NA,NA,NA,NA,NA
"2020/05/02","ESMD",6663394,200,16426,98,8188,0.0985023742846706,0.00455709229852664,0,0,NA,NA,NA,NA,NA,NA
"2020/05/03","ESMD",6663394,200,16426,90,7486,0.0994155606964568,0.00457584794307473,0,0,NA,NA,NA,NA,NA,NA
"2020/05/04","ESMD",6663394,200,16386,91,7536,0.0995361894300012,0.00458390124499518,0,0,NA,NA,NA,NA,NA,NA
"2020/05/05","ESMD",6663394,200,16256,90,7606,0.100455216535433,0.00462103105856995,0,0,NA,NA,NA,NA,NA,NA
"2020/05/06","ESMD",6663394,200,16351,84,7071,0.102256742706868,0.00464406174231838,0,0,0,0,0,0,0,0
"2020/05/07","ESMD",6663394,200,16971,108,9661,0.112073537210536,0.00474607299666279,0,0,0.00503875968992248,0.00273214121364092,0.00106609808102345,0.00123551394360437,0.00853242320819113,0.00333034889201673
"2020/05/08","ESMD",6663394,200,17058,109,9838,0.110681205299566,0.00470814371685235,0,0,0.00409716125256073,0.00214178373035267,0.000852999715666761,0.000964830545884518,0.00916950484673828,0.00302384576402675
"2020/05/09","ESMD",6663394,200,17068,105,9278,0.113252870869463,0.00475424194555168,0,0,0.00425871706148523,0.00208228487156776,0.000851883403089003,0.00092072150550796,0.00866009141207602,0.00281663526139882
"2020/05/10","ESMD",6663394,200,17367,100,9050,0.11343352334888,0.00471641544133491,0,0,0.00370627750752838,0.00181267410488245,0.000743879168149035,0.000804033230386888,0.00826796692813229,0.00258411411870723
"2020/05/11","ESMD",6663394,200,17372,94,8371,0.113573566658991,0.0047182740481719,0,0,0.00356903859022976,0.00174567322297463,0.000716935257629126,0.000774920937904028,0.00819168543927913,0.00252816395294839
"2020/05/12","ESMD",6663394,200,17225,94,8288,0.111117561683599,0.00469333970967917,0,0,0.00333333333333333,0.00163057887598377,0.000670553935860058,0.000724805117819116,0.00865384615384615,0.00251746630969836
"2020/05/13","ESMD",6663394,200,17518,93,8431,0.111199908665373,0.00465543310516039,0,0,0.00226714528622709,0.0012812797335155,0.000503297925882758,0.000598599202540551,0.0100122958018619,0.00258618289736438
"2020/05/14","ESMD",6663394,200,15774,199,15674,0.101622923798656,0.00471522418950996,0,0,0.00206300087280806,0.000792159055324553,0.000371115934368709,0.000334941638956377,0.00742013590564711,0.00148655464577122
"2020/05/15","ESMD",6663394,200,12388,200,12388,0.0833064255731353,0.00486629952435119,NA,NA,0.0025045917515445,0.000895117117329945,0.000403484204780101,0.000358753839215549,0.00561386380278252,0.00132087873378287
"2020/05/16","ESMD",6663394,200,12921,200,12921,0.0829657147279622,0.00475600326087142,NA,NA,0.00231796019502837,0.000842657601702383,0.000375012784526745,0.000338457986356604,0.00584840923268871,0.00131971915186761
"2020/05/17","ESMD",6663394,200,13081,200,13081,0.0849323446219708,0.00477739089151736,NA,NA,0.00228869071107253,0.000832029350393455,0.00037029971834779,0.000334205119527945,0.00593037584719655,0.00132066706783985
"2020/05/18","ESMD",6663394,200,13041,200,13041,0.0847327658921862,0.0047796081470261,NA,NA,0.00221852468108708,0.000820825912727907,0.00036049432784706,0.00033040169235705,0.00587598577392918,0.00131717146288816
"2020/05/19","ESMD",6663394,200,13286,200,13286,0.085578804756887,0.0047567159410668,NA,NA,0.00240945126690502,0.000847152416192039,0.000386817267522822,0.000338988471743919,0.00553911525912436,0.00126712924932187
"2020/05/20","ESMD",6663394,200,13306,200,13306,0.086201713512701,0.00476878179112369,NA,NA,0.0024057116250194,0.000845839160016694,0.000386219681754982,0.000338464876835203,0.00553072202439579,0.0012652145502244
"2020/05/21","ESMD",6663394,200,13371,200,13371,0.0871288609677661,0.00478026423350362,NA,NA,0.00239363755694541,0.000841599056057972,0.000384290215971101,0.000336774308229486,0.00535283474065139,0.00124175888688349
