"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2021/01/08","ESCE",84777,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/08","ESML",86487,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/08","ESGA",2699499,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/08","ESPV",2207776,1,30,0,0,0.133333333333333,0.121641811365596,0,0,NA,NA,NA,NA,NA,NA
"2021/01/08","ESCM",2032863,3,166,0,0,0.108433734939759,0.0472991209196244,0.0120481927710843,0.0165967434511956,NA,NA,NA,NA,NA,NA
"2021/01/08","ESVC",5003769,4,248,1,18,0.0161290322580645,0.0156781739485884,0,0,NA,NA,NA,NA,NA,NA
"2021/01/08","ESAN",8414240,2,50,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/08","ESAS",1022800,17,1172,5,360,0.0426621160409556,0.0115701264164248,0,0,0.00833333333333333,0.00939050774651639,0.00119047619047619,0.00356203789142095,0.00277777777777778,0.00543677755364395
"2021/01/08","ESCL",2399548,6,395,1,25,0.0607594936708861,0.0235583583295754,0,0,0,0,0,0,0,0
"2021/01/08","ESEX",1067710,1,200,0,0,0.05,0.0302050735790339,0,0,NA,NA,NA,NA,NA,NA
"2021/01/08","ESIB",1149460,8,630,5,455,0.0682539682539682,0.0196920325628673,0,0,0,0,0,0,0.00879120879120879,0.00857727358233886
"2021/01/08","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/08","ESCB",581078,2,150,0,0,0.0533333333333333,0.035958400740232,0,0,NA,NA,NA,NA,NA,NA
"2021/01/08","ESAR",1319291,2,77,2,77,0,0,NA,NA,0,0,0,0,0,0
"2021/01/08","ESRI",316798,2,120,1,100,0.158333333333333,0.0653151170258606,0,0,0.04,0.0384072934108425,0.00571428571428571,0.0147735432009541,0.04,0.0384072934108425
"2021/01/08","ESCN",2153389,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/01/08","ESMD",6663394,200,14256,36,2825,0.109988776655443,0.00513595458902419,0.0100241653987291,0.00184713909520066,0.0100111234705228,0.00375719887912432,0.0018348623853211,0.00160682205916007,0.0203266787658802,0.00526939969562836
"2021/01/08","ESMC",1493898,8,739,2,220,0.0094722598105548,0.00698370673661188,0.00385356454720617,0.00533036960262905,0,0,0,0,0,0
"2021/01/08","ESNC",654214,2,112,0,0,0.00892857142857143,0.0174213797031353,0,0,NA,NA,NA,NA,NA,NA
