"date","region","regionname","population","sample_size","reach","cases","recentcases","fatalities","cases_est","cases_low","cases_high","p_cases","p_cases_low","p_cases_high","recentcases_est","recentcases_low","recentcases_high","p_recentcases","p_recentcases_low","p_recentcases_high","p_recenthospital","p_recenthospital_low","p_recenthospital_high","recentcasesnursing_est","recentcasesnursing_low","recentcasesnursing_high","fatalities_est","fatalities_low","fatalities_high","hospital_est","hospital_low","hospital_high","icu_est","icu_low","icu_high","p_recovered","p_recovered_low","p_recovered_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recentcasesnursing","p_recentcasesnursing_low","p_recentcasesnursing_high","p_stillsick","p_stillsick_low","p_stillsick_high","p_hospital","p_hospital_low","p_hospital_high","p_severe","p_severe_low","p_severe_high","p_icu","p_icu_low","p_icu_high","p_tested","p_tested_low","p_tested_high","p_positive","p_positive_low","p_positive_high"
"2020/11/18","GBLIV","Liverpool",498042,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/19","GBLIV","Liverpool",498042,2,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/20","GBLIV","Liverpool",498042,12,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/21","GBLIV","Liverpool",498042,14,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/22","GBLIV","Liverpool",498042,14,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/23","GBLIV","Liverpool",498042,17,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/24","GBLIV","Liverpool",498042,19,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/25","GBLIV","Liverpool",498042,27,778,43,4,NA,28253.0422163588,20051.4627022946,36454.621730423,0.0567282321899736,0.0402605858588124,0.0731958785211348,2560.62724935733,57.7177880019868,5063.53671071266,0.0051413881748072,0.000115889398890027,0.0101668869507244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00527704485488127,0.000119298851952778,0.0104347908578098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/26","GBLIV","Liverpool",498042,32,842,49,4,NA,30128.4666666667,21951.788589119,38305.1447442143,0.0604938271604938,0.0440761794971489,0.0769114748238388,2438.394124847,54.6686206888266,4822.11962900518,0.00489596083231334,0.000109767089299349,0.00968215457532733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00617283950617284,0.000778931874772399,0.0115667471375733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/27","GBLIV","Liverpool",498042,36,994,57,4,NA,29509.7650727651,22079.3483889416,36940.1817565885,0.0592515592515593,0.0443323020728004,0.0741708164303181,2055.90092879257,45.3177432476248,4066.48411433751,0.00412796697626419,9.09918104248734e-05,0.00816494214210351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0051975051975052,0.000653629377206741,0.00974138101780365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/28","GBLIV","Liverpool",498042,36,994,57,4,NA,29509.7650727651,22079.3483889416,36940.1817565885,0.0592515592515593,0.0443323020728004,0.0741708164303181,2055.90092879257,45.3177432476248,4066.48411433751,0.00412796697626419,9.09918104248734e-05,0.00816494214210351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0051975051975052,0.000653629377206741,0.00974138101780365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/29","GBLIV","Liverpool",498042,37,1007,61,5,NA,31159.5507692308,23588.6918849007,38730.4096535608,0.0625641025641026,0.0473628567167041,0.077765348411501,2535.85539714868,318.786895824429,4752.92389847292,0.00509164969450102,0.00064008034628491,0.00954321904271713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00512820512820513,0.000644758163750525,0.00961165209265973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/30","GBLIV","Liverpool",498042,41,1114,63,5,NA,30403.726744186,23128.8326261072,37678.6208622649,0.061046511627907,0.046439522422019,0.0756535008337949,2286.69421487603,286.961815143463,4286.4266146086,0.00459136822773186,0.000576179950974943,0.00860655650448879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00484496124031008,0.000608543587394626,0.00908137889322553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/01","GBLIV","Liverpool",498042,41,1114,63,5,NA,30403.726744186,23128.8326261072,37678.6208622649,0.061046511627907,0.046439522422019,0.0756535008337949,2286.69421487603,286.961815143463,4286.4266146086,0.00459136822773186,0.000576179950974943,0.00860655650448879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00484496124031008,0.000608543587394626,0.00908137889322553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/02","GBLIV","Liverpool",498042,40,1094,61,5,NA,30020.3181818182,22717.3658366074,37323.270527029,0.0602766798418972,0.0456133535657784,0.0749400061180161,2329.47614593078,292.418506076927,4366.53378578463,0.00467726847521048,0.000587136237660533,0.00876740071276042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00395256916996047,8.67851722709916e-05,0.00781835316764996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/03","GBLIV","Liverpool",498042,40,1157,66,4,NA,30577.4623255814,23430.5424375255,37724.3822136373,0.0613953488372093,0.0470453143259515,0.0757453833484672,1759.86572438163,38.2787635314308,3481.45268523182,0.00353356890459364,7.68585049683176e-05,0.00699027930421896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0027906976744186,0,0.00594420188121023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/04","GBLIV","Liverpool",498042,30,925,55,3,NA,32493.8434163701,24191.1853773562,40796.501455384,0.0652431791221827,0.0485725809818373,0.0819137772625281,1660.14,0,3535.59714249012,0.00333333333333333,0,0.00709899394526992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00355871886120996,0,0.00757854249738793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/05","GBLIV","Liverpool",498042,28,903,54,3,NA,32757.9390986602,24313.0512628502,41202.8269344702,0.0657734470158343,0.0488172709587749,0.0827296230728938,1701.73804100228,0,3624.10786009142,0.00341685649202733,0,0.00727671132171869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00365408038976857,0,0.00778142407797069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/06","GBLIV","Liverpool",498042,28,903,54,3,NA,32757.9390986602,24313.0512628502,41202.8269344702,0.0657734470158343,0.0488172709587749,0.0827296230728938,1701.73804100228,0,3624.10786009142,0.00341685649202733,0,0.00727671132171869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00365408038976857,0,0.00778142407797069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/07","GBLIV","Liverpool",498042,26,765,54,3,NA,39376.6734992679,29297.9575259185,49455.3894726174,0.0790629575402635,0.058826278759459,0.0992996363210681,2019.08918918919,0,4299.22571243023,0.00405405405405405,0,0.00863225533675921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00439238653001464,0,0.00935182057743565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
