"date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","cases_infect","cases_infect_undected","cases_symptom","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","p_infect","p_infect_undected","p_symptom","population"
"2020/07/11",520,4,102630,146,272.232827427853,2263.86925032065,-5953.13074967935,2263.86925032065,-5953.13074967935,2965.96784840365,0.00417574828374041,0.00411237519686088,0.00424009797123355,9.61250009014087e-05,0.000799368818903429,-0.0021020414917844,0.000799368818903429,-0.0021020414917844,0.00104727877528623,2832071
"2020/07/12",498,0,103128,146,0,2226.98795548606,-5795.01204451394,2226.98795548606,-5795.01204451394,2965.96784840365,0.00415770674566934,0.00409460666745072,0.00422177922983426,0,0.000786346089305692,-0.00204621001539648,0.000786346089305692,-0.00204621001539648,0.00104727877528623,2832071
"2020/07/13",470,1,103598,147,0,2193.63730517482,-5316.36269482518,2193.63730517482,-5316.36269482518,2660.60099154738,0.00416848234534706,0.00410559289256865,0.0042323351384698,0,0.000774570024965766,-0.00187719965171254,0.000774570024965766,-0.00187719965171254,0.000939454198552006,2832071
"2020/07/14",418,2,104016,149,16.0161503466061,2081.41269855665,-4931.58730144335,2081.41269855665,-4931.58730144335,2504.10558324236,0.00420671103874361,0.00414398569314635,0.00427038582511399,5.65527853878172e-06,0.000734943685577323,-0.00174133604046062,0.000734943685577323,-0.00174133604046062,0.00088419590583794,2832071
"2020/07/15",517,1,104533,150,114.665926993946,1982.65559820722,-4653.34440179278,1982.65559820722,-4653.34440179278,2416.79977210474,0.00422189192821138,0.00415930426762234,0.00428542138459269,4.04883659321911e-05,0.000700072702346523,-0.00164308889211915,0.000700072702346523,-0.00164308889211915,0.000853368355561967,2832071
"2020/07/16",450,1,104983,151,38.8009227136681,1820.69977441494,-4509.30022558506,1820.69977441494,-4509.30022558506,2433.35225037487,0.00423559247551887,0.00417316215646416,0.00429895674935203,1.37005473074892e-05,0.000642886345156933,-0.0015922271106851,0.000642886345156933,-0.0015922271106851,0.000859213010681891,2832071
"2020/07/17",464,1,105447,152,43.4553625769422,1769.23972612544,-4494.76027387456,1769.23972612544,-4494.76027387456,2476.80761295182,0.00425093649852428,0.00418863706112892,0.00431416254279512,1.53440230054057e-05,0.000624715879695614,-0.00158709307565897,0.000624715879695614,-0.00158709307565897,0.000874557033687297,2832071
"2020/07/18",451,1,105898,153,44.7778835459594,1458.54590979804,-4640.45409020196,1458.54590979804,-4640.45409020196,2484.70420166318,0.00426674750168979,0.00420457008445332,0.004329844402045,1.58110031655137e-05,0.000515010361603942,-0.00163853734253201,0.000515010361603942,-0.00163853734253201,0.000877345307255074,2832071
"2020/07/19",410,1,106308,154,42.664581275636,1152.58981340498,-4810.41018659502,1152.58981340498,-4810.41018659502,2494.01813262758,0.00428181230101002,0.00421976577569165,0.00434477114504671,1.50647993202275e-05,0.000406977725277713,-0.00169854858391439,0.000406977725277713,-0.00169854858391439,0.000880634042235375,2832071
"2020/07/20",340,3,106648,157,194.061693962069,1319.32439803625,-4383.67560196375,1319.32439803625,-4383.67560196375,2559.83906962488,0.00435033519254842,0.00428833793651301,0.0044132287538221,6.85228915384073e-05,0.000465851455714297,-0.00154786924549694,0.000465851455714297,-0.00154786924549694,0.000903875315846557,2832071
