"date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","cases_infect","cases_symptom","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","p_infect","p_symptom","population"
"2020/03/31",3,0,168,1,5.48174493963116,198.081581842208,36.0815818422084,198.081581842208,204.081581842208,1.19369693396458e-05,1.76253084825002e-06,8.08446769355103e-05,3.89496555191283e-07,7.70249318171511e-06,1.40304886269787e-06,7.70249318171511e-06,7.9358059342713e-06,25716554
"2020/04/01",0,0,168,1,0,195.081581842208,36.0815818422084,195.081581842208,203.081581842208,9.54083136409321e-06,1.39499542159245e-06,6.52528758941392e-05,0,7.58583680543701e-06,1.40304886269787e-06,7.58583680543701e-06,7.89692047551194e-06,25716554
"2020/04/02",22,0,190,1,26.5984140989929,216.679995941201,40.6799959412012,216.679995941201,226.679995941201,8.93251779804884e-06,1.2975468931927e-06,6.14928636730274e-05,1.25047793336383e-06,8.4257010461511e-06,1.58186030450274e-06,8.4257010461511e-06,8.81455563374476e-06,25716554
"2020/04/03",4,0,194,1,4.12308865972006,217.803084600921,40.8030846009213,217.803084600921,230.803084600921,7.7759174108795e-06,1.12427901267217e-06,5.37810373575389e-05,1.65261839668645e-07,8.46937286391175e-06,1.58664666350403e-06,8.46937286391175e-06,8.97488382778351e-06,25716554
"2020/04/04",24,0,218,1,24,233.803084600921,40.8030846009213,233.803084600921,253.803084600921,7.60416910076465e-06,1.09527415319725e-06,5.27935289481906e-05,9.33251010224776e-07,9.09154020406161e-06,1.58664666350403e-06,9.09154020406161e-06,9.86924937924892e-06,25716554
"2020/04/05",27,1,245,2,42.8151330413449,276.618217642266,56.6182176422662,276.618217642266,296.618217642266,1.51072997069708e-05,5.78244740398178e-06,3.94695340037303e-05,2.64008590550786e-06,1.07564262942176e-05,2.20162536715713e-06,1.07564262942176e-05,1.15341354694049e-05,25716554
"2020/04/06",16,1,261,3,33.9011555025234,262.51937314479,74.5193731447896,262.51937314479,329.51937314479,2.15041486170703e-05,1.13822164269314e-05,4.06272724397417e-05,2.79316278243936e-06,1.02081862579562e-05,2.8977200111955e-06,1.02081862579562e-05,1.28135119948337e-05,25716554
"2020/04/07",62,0,323,3,117.603774834075,373.123147978864,130.123147978865,373.123147978864,444.123147978864,2.38242546098506e-05,1.25852414562347e-05,4.51000570540346e-05,8.67437236757442e-06,1.45090647828968e-05,5.05989830437097e-06,1.45090647828968e-05,1.72699323548118e-05,25716554
"2020/04/08",26,0,349,3,44.1737182756717,401.296866254536,148.296866254536,401.296866254536,483.296866254536,2.30570246072888e-05,1.21588846733129e-05,4.37232853197438e-05,2.91837968274386e-06,1.56046127430034e-05,5.76659167688394e-06,1.56046127430034e-05,1.87932203612714e-05,25716554
"2020/04/09",35,0,384,3,53.0714860161791,449.368352270715,166.368352270715,449.368352270715,533.368352270715,2.26418367719905e-05,1.19207770280662e-05,4.30049795581675e-05,3.12926021777423e-06,1.7473894529987e-05,6.46930970108652e-06,1.7473894529987e-05,2.07402730657737e-05,25716554
"2020/04/10",60,0,444,3,81.2135585427578,491.581910813473,187.581910813473,491.581910813473,606.581910813473,2.33693959624765e-05,1.22849924048808e-05,4.44549454856835e-05,4.27457614213394e-06,1.91153881197875e-05,7.29420865694032e-06,1.91153881197875e-05,2.35872158771145e-05,25716554
