"date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","cases_infect","cases_infect_undected","cases_symptom","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","p_infect","p_infect_undected","p_symptom","population"
"2020/07/07",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502471787048659,0.00026459950358304,0.000954188852817093,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/08",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502434920954849,0.000264580090055011,0.000954118844476988,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/09",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.00050239968344641,0.000264561534133106,0.000954051928804069,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/10",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502365989700061,0.000264543791149743,0.000953987944719779,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/11",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502333760049043,0.000264526819152748,0.000953926740937748,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/12",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502302919620715,0.000264510578714505,0.000953868175275584,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/13",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502273398003291,0.000264495032756471,0.00095381211402202,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/14",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502245128939089,0.000264480146387629,0.000953758431354383,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/15",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502218050041878,0.000264465886755657,0.00095370700880185,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/16",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502192102536206,0.000264452222909652,0.000953657734750433,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/17",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502167231016763,0.000264439125673414,0.000953610503986007,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/18",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502143383226045,0.000264426567528363,0.000953565217272097,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/19",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502120509848732,0.000264414522505263,0.000953521780959412,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/20",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.00050209856432139,0.000264402966084007,0.000953480106624456,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/21",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502077502656172,0.000264391875100781,0.000953440110734754,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/22",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502057283277385,0.000264381227662004,0.000953401714338486,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/23",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502037866869852,0.000264371003064471,0.000953364842776525,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/24",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000502019216238104,0.000264361181721204,0.000953329425415051,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/25",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.00050200129617554,0.00026435174509256,0.000953295395397087,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/26",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000501984073342761,0.000264342675622152,0.000953262689411447,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/27",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000501967516154339,0.000264333956677228,0.000953231247477723,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/28",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000501951594673384,0.000264325572493149,0.000953201012746064,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/29",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000501936280513286,0.000264317508121648,0.000953171931310585,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
"2020/07/30",0,0,141,3,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0,-8.88178419700125e-16,0.000501921546746097,0.000264309749382581,0.00095314395203538,0,-2.04981910680026e-21,0,-2.04981910680026e-21,0,-2.04981910680026e-21,433296
